place,athlete,nation,best_mark,throw_number,throw_distance
1,Tamara Press,Soviet Union,18.14,1,17.51
2,Renate Culmberger,Germany,17.61,1,17.41
3,Galina Zybina,Soviet Union,17.45,1,17.38
4,Valerie Young,New Zealand,17.26,1,17.08
5,Margitta Helmbold,Germany,16.91,1,16.67
7,Nancy McCredie,Canada,15.89,1,15.89
8,Ana Salagean,Romania,15.83,1,15.79
9,Johanna Hubner,Germany,15.77,1,15.77
10,Ivanka Khristova,Bulgaria,15.69,1,15.69
11,Judit Bognar,Hungary,15.65,1,15.65
12,Earlene Brown,United States,14.80,1,14.25
1,Tamara Press,Soviet Union,18.14,2,17.72
2,Renate Culmberger,Germany,17.61,2,17.1
3,Galina Zybina,Soviet Union,17.45,2,17.25
4,Valerie Young,New Zealand,17.26,2,15.84
5,Margitta Helmbold,Germany,16.91,2,15.87
6,Irina Press,Soviet Union,16.71,2,16.5
7,Nancy McCredie,Canada,15.89,2,15.13
8,Ana Salagean,Romania,15.83,2,15.83
12,Earlene Brown,United States,14.80,2,13.43
1,Tamara Press,Soviet Union,18.14,3,17.18
2,Renate Culmberger,Germany,17.61,3,16.38
3,Galina Zybina,Soviet Union,17.45,3,17.45
4,Valerie Young,New Zealand,17.26,3,16.81
7,Nancy McCredie,Canada,15.89,3,15.27
8,Ana Salagean,Romania,15.83,3,15.7
10,Ivanka Khristova,Bulgaria,15.69,3,15.35
12,Earlene Brown,United States,14.80,3,14.8
1,Tamara Press,Soviet Union,18.14,4,16.49
2,Renate Culmberger,Germany,17.61,4,17.61
3,Galina Zybina,Soviet Union,17.45,4,17.42
4,Valerie Young,New Zealand,17.26,4,17.26
5,Margitta Helmbold,Germany,16.91,4,16.6
6,Irina Press,Soviet Union,16.71,4,15.81
2,Renate Culmberger,Germany,17.61,5,17.0
3,Galina Zybina,Soviet Union,17.45,5,16.65
4,Valerie Young,New Zealand,17.26,5,17.24
5,Margitta Helmbold,Germany,16.91,5,16.91
6,Irina Press,Soviet Union,16.71,5,15.78
1,Tamara Press,Soviet Union,18.14,6,18.14
2,Renate Culmberger,Germany,17.61,6,17.01
3,Galina Zybina,Soviet Union,17.45,6,17.36
4,Valerie Young,New Zealand,17.26,6,17.23
5,Margitta Helmbold,Germany,16.91,6,16.34
6,Irina Press,Soviet Union,16.71,6,16.71
