ethnicity,ethnicity_after_1956,year,population
"139,671",,1880,139671
"139,671",,1899,258242
"139,671",,1913,380430
"139,671",,1930,437131
"139,671",,1956,593659
"139,671",,1966,702461
"139,671",,1977,863348
"139,671",,1992,1019766
"139,671",,2002,971643
Romanian,,1880,43671
Romanian,,1899,118919
Romanian,,1913,216425
Romanian,,1930,282844
Romanian,,1956,514331
Romanian,,1966,622996
Romanian,,1977,784934
Romanian,,1992,926608
Romanian,,2002,883620
Bulgarian,,1880,24915
Bulgarian,,1899,38439
Bulgarian,,1913,51149
Bulgarian,,1930,42070
Bulgarian,,1956,749
Bulgarian,,1966,524
Bulgarian,,1977,415
Bulgarian,,1992,311
Bulgarian,,2002,135
Turkish,,1880,18624
Turkish,,1899,12146
Turkish,,1913,20092
Turkish,,1930,21748
Turkish,,1956,11994
Turkish,,1966,16209
Turkish,,1977,21666
Turkish,,1992,27685
Turkish,,2002,27580
Tatar,,1880,29476
Tatar,,1899,28670
Tatar,,1913,21350
Tatar,,1930,15546
Tatar,,1956,20239
Tatar,,1966,21939
Tatar,,1977,22875
Tatar,,1992,24185
Tatar,,2002,23409
Russian-Lipovan,,1880,8250
Russian-Lipovan,,1899,12801
Russian-Lipovan,,1913,35859
Russian-Lipovan,,1930,26210
Russian-Lipovan,,1956,29944
Russian-Lipovan,,1966,30509
Russian-Lipovan,,1977,24098
Russian-Lipovan,,1992,26154
Russian-Lipovan,,2002,21623
Ruthenian,(Ukrainian from 1956),1880,455
Ruthenian,(Ukrainian from 1956),1899,13680
Ruthenian,(Ukrainian from 1956),1913,35859
Ruthenian,(Ukrainian from 1956),1930,33
Ruthenian,(Ukrainian from 1956),1956,7025
Ruthenian,(Ukrainian from 1956),1966,5154
Ruthenian,(Ukrainian from 1956),1977,2639
Ruthenian,(Ukrainian from 1956),1992,4101
Ruthenian,(Ukrainian from 1956),2002,1465
Dobrujan Germans,,1880,2461
Dobrujan Germans,,1899,8566
Dobrujan Germans,,1913,7697
Dobrujan Germans,,1930,12023
Dobrujan Germans,,1956,735
Dobrujan Germans,,1966,599
Dobrujan Germans,,1977,648
Dobrujan Germans,,1992,677
Dobrujan Germans,,2002,398
Greek,,1880,4015
Greek,,1899,8445
Greek,,1913,9999
Greek,,1930,7743
Greek,,1956,1399
Greek,,1966,908
Greek,,1977,635
Greek,,1992,1230
Greek,,2002,2270
Roma,,1880,702
Roma,,1899,2252
Roma,,1913,3263
Roma,,1930,3831
Roma,,1956,1176
Roma,,1966,378
Roma,,1977,2565
Roma,,1992,5983
Roma,,2002,8295
