year,victim_gender,metric_type,value
2018,female victims,number,110.0
2018,female victims,percent,2.5
2018,female victims,number,250.0
2018,female victims,percent,5.8
2018,female victims,number,80.0
2018,female victims,percent,1.9
2018,female victims,number,310.0
2018,female victims,percent,7.0
2018,male victims,number,260.0
2018,male victims,percent,1.2
2018,male victims,number,280.0
2018,male victims,percent,1.2
2016,female victims,number,80.0
2016,female victims,percent,1.9
2016,female victims,number,290.0
2016,female victims,percent,6.7
2016,female victims,number,70.0
2016,female victims,percent,1.5
2016,female victims,number,360.0
2016,female victims,percent,8.2
2016,male victims,number,280.0
2016,male victims,percent,1.3
2016,male victims,number,310.0
2016,male victims,percent,1.4
