club,season,competition,period,apps,goals
shrewsbury town,1999-2000,third division,1,6,1
shrewsbury town,1999-2000,third division,2,1,0
shrewsbury town,1999-2000,third division,3,0,0
shrewsbury town,1999-2000,third division,4,1,0
shrewsbury town,2000-01,third division,1,26,7
shrewsbury town,2000-01,third division,2,0,0
shrewsbury town,2000-01,third division,3,0,0
shrewsbury town,2000-01,third division,4,1,0
shrewsbury town,2001-02,third division,1,38,22
shrewsbury town,2001-02,third division,2,1,0
shrewsbury town,2001-02,third division,3,1,0
shrewsbury town,2001-02,third division,4,1,0
shrewsbury town,2002-03,third division,1,36,16
shrewsbury town,2002-03,third division,2,4,0
shrewsbury town,2002-03,third division,3,1,0
shrewsbury town,2002-03,third division,4,6,4
shrewsbury town,2003-04,football conference,1,34,13
shrewsbury town,2003-04,football conference,2,2,0
shrewsbury town,2003-04,football conference,3,0,0
shrewsbury town,2003-04,football conference,4,5,2
shrewsbury town,2004-05,league two,1,36,6
shrewsbury town,2004-05,league two,2,1,0
shrewsbury town,2004-05,league two,3,1,1
shrewsbury town,2004-05,league two,4,2,1
crewe alexandra,2005-06,championship,1,26,6
crewe alexandra,2005-06,championship,2,0,0
crewe alexandra,2005-06,championship,3,0,0
crewe alexandra,2005-06,championship,4,0,0
crewe alexandra,2006-07,league one,1,12,3
crewe alexandra,2006-07,league one,2,1,0
crewe alexandra,2006-07,league one,3,0,0
crewe alexandra,2006-07,league one,4,0,0
port vale,2006-07,league one,1,8,3
port vale,2006-07,league one,2,0,0
port vale,2006-07,league one,3,0,0
port vale,2006-07,league one,4,0,0
port vale,2007-08,league one,1,36,9
port vale,2007-08,league one,2,3,1
port vale,2007-08,league one,3,1,1
port vale,2007-08,league one,4,1,1
port vale,2008-09,league two,1,15,4
port vale,2008-09,league two,2,0,0
port vale,2008-09,league two,3,1,1
port vale,2008-09,league two,4,1,0
yeovil town,2008-09,league one,1,22,3
yeovil town,2008-09,league one,2,0,0
yeovil town,2008-09,league one,3,0,0
yeovil town,2008-09,league one,4,0,0
notts county,2009-10,league two,1,42,13
notts county,2009-10,league two,2,6,1
notts county,2009-10,league two,3,1,0
notts county,2009-10,league two,4,0,0
notts county,2010-11,league one,1,4,0
notts county,2010-11,league one,2,1,1
notts county,2010-11,league one,3,0,0
notts county,2010-11,league one,4,0,0
new york red bulls,2011,major league soccer,1,23,9
new york red bulls,2011,major league soccer,2,0,0
new york red bulls,2011,major league soccer,3,2,1
new york red bulls,2011,major league soccer,4,0,0
lillestrøm sk,2012,tippeligaen,1,7,1
lillestrøm sk,2012,tippeligaen,2,0,0
lillestrøm sk,2012,tippeligaen,3,0,0
lillestrøm sk,2012,tippeligaen,4,0,0
portsmouth,2012-13,league one,1,10,2
portsmouth,2012-13,league one,2,1,0
portsmouth,2012-13,league one,3,0,0
portsmouth,2012-13,league one,4,2,1
shrewsbury town,2012-13,league one,1,15,2
shrewsbury town,2012-13,league one,2,0,0
shrewsbury town,2012-13,league one,3,0,0
shrewsbury town,2012-13,league one,4,0,0
hammarby if,2013,superettan,1,6,0
hammarby if,2013,superettan,2,0,0
hammarby if,2013,superettan,3,0,0
hammarby if,2013,superettan,4,0,0
forest green rovers,2013-14,conference national,1,10,0
forest green rovers,2013-14,conference national,2,0,0
forest green rovers,2013-14,conference national,3,0,0
forest green rovers,2013-14,conference national,4,0,0
forest green rovers,2014-15,conference national,1,10,0
forest green rovers,2014-15,conference national,2,1,1
forest green rovers,2014-15,conference national,3,0,0
forest green rovers,2014-15,conference national,4,0,0
solihull moors,2016-17,national league,1,0,0
solihull moors,2016-17,national league,2,0,0
solihull moors,2016-17,national league,3,0,0
solihull moors,2016-17,national league,4,2,1
