category_type,subgroup,block,year,percentage
,men,1,2003,5.0
,men,1,2008,6.0
,men,1,2013,7.0
,men,2,2003,61.0
,men,2,2008,64.0
,men,2,2013,62.0
,women,1,2003,6.0
,women,1,2008,7.0
,women,1,2013,7.0
,women,2,2003,52.0
,women,2,2008,58.0
,women,2,2013,58.0
age group,15 to 24 years,1,2003,2.0
age group,15 to 24 years,1,2008,2.0
age group,15 to 24 years,1,2013,3.0
age group,15 to 24 years,2,2003,68.0
age group,15 to 24 years,2,2008,76.0
age group,15 to 24 years,2,2013,75.0
age group,25 to 34 years,1,2003,3.0
age group,25 to 34 years,1,2008,4.0
age group,25 to 34 years,1,2013,3.0
age group,25 to 34 years,2,2003,58.0
age group,25 to 34 years,2,2008,66.0
age group,25 to 34 years,2,2013,70.0
age group,35 to 44 years,1,2003,5.0
age group,35 to 44 years,1,2008,6.0
age group,35 to 44 years,1,2013,6.0
age group,35 to 44 years,2,2003,56.0
age group,35 to 44 years,2,2008,61.0
age group,35 to 44 years,2,2013,62.0
age group,45 to 54 years,1,2003,6.0
age group,45 to 54 years,1,2008,7.0
age group,45 to 54 years,1,2013,8.0
age group,45 to 54 years,2,2003,54.0
age group,45 to 54 years,2,2008,58.0
age group,45 to 54 years,2,2013,57.0
age group,55 to 64 years,1,2003,7.0
age group,55 to 64 years,1,2008,8.0
age group,55 to 64 years,1,2013,10.0
age group,55 to 64 years,2,2003,52.0
age group,55 to 64 years,2,2008,57.0
age group,55 to 64 years,2,2013,51.0
age group,65 to 74 years,1,2003,9.0
age group,65 to 74 years,1,2008,11.0
age group,65 to 74 years,1,2013,11.0
age group,65 to 74 years,2,2003,53.0
age group,65 to 74 years,2,2008,51.0
age group,65 to 74 years,2,2013,50.0
age group,75 years and older,1,2003,19.0
age group,75 years and older,1,2008,15.0
age group,75 years and older,1,2013,17.0
age group,75 years and older,2,2003,42.0
age group,75 years and older,2,2008,44.0
age group,75 years and older,2,2013,43.0
province,newfoundland and labrador,1,2003,2.0
province,newfoundland and labrador,1,2008,3.0
province,newfoundland and labrador,1,2013,4.0
province,newfoundland and labrador,2,2003,66.0
province,newfoundland and labrador,2,2008,74.0
province,newfoundland and labrador,2,2013,72.0
province,prince edward island,1,2003,3.0
province,prince edward island,1,2008,3.0
province,prince edward island,1,2013,5.0
province,prince edward island,2,2003,62.0
province,prince edward island,2,2008,70.0
province,prince edward island,2,2013,70.0
province,nova scotia,1,2003,3.0
province,nova scotia,1,2008,4.0
province,nova scotia,1,2013,5.0
province,nova scotia,2,2003,66.0
province,nova scotia,2,2008,71.0
province,nova scotia,2,2013,70.0
province,new brunswick,1,2003,3.0
province,new brunswick,1,2008,5.0
province,new brunswick,1,2013,5.0
province,new brunswick,2,2003,62.0
province,new brunswick,2,2008,65.0
province,new brunswick,2,2013,65.0
province,quebec,1,2003,8.0
province,quebec,1,2008,10.0
province,quebec,1,2013,11.0
province,quebec,2,2003,41.0
province,quebec,2,2008,46.0
province,quebec,2,2013,47.0
province,ontario,1,2003,6.0
province,ontario,1,2008,5.0
province,ontario,1,2013,7.0
province,ontario,2,2003,60.0
province,ontario,2,2008,65.0
province,ontario,2,2013,63.0
province,manitoba,1,2003,5.0
province,manitoba,1,2008,5.0
province,manitoba,1,2013,5.0
province,manitoba,2,2003,62.0
province,manitoba,2,2008,65.0
province,manitoba,2,2013,67.0
province,saskatchewan,1,2003,5.0
province,saskatchewan,1,2008,4.0
province,saskatchewan,1,2013,4.0
province,saskatchewan,2,2003,65.0
province,saskatchewan,2,2008,69.0
province,saskatchewan,2,2013,67.0
province,alberta,1,2003,5.0
province,alberta,1,2008,5.0
province,alberta,1,2013,6.0
province,alberta,2,2003,63.0
province,alberta,2,2008,66.0
province,alberta,2,2013,66.0
province,british columbia,1,2003,4.0
province,british columbia,1,2008,6.0
province,british columbia,1,2013,6.0
province,british columbia,2,2003,60.0
province,british columbia,2,2008,67.0
province,british columbia,2,2013,63.0
