year_start,year_end,franchise,program_title,person_name_primary,person_name_secondary,network
2018,,Ipaglaban Mo,Gapang,Tanya,,ABS-CBN
2018,,,Asintado,Yvonne Calata,,ABS-CBN
2018,,Ipaglaban Mo,Haciendero,Ruth,,ABS-CBN
2017,,Maalaala Mo Kaya,Siopao,Annie,,ABS-CBN
2017,,Wansapanataym,Louie's Biton,Melissa,,ABS-CBN
2017,,,Hour Glass,Tuesday,,Sari-Sari Channel
2017,,,FPJ Ang Probinsyano,PO3 Katrina Velasco,,ABS-CBN
2017,,Wattpad Presents,I'm Making Out With the Playboy at School,Amber Tuazon,,TV5
2016,,Wagas,Past Life,Jade,,GMA News TV
2016,,Maynila,Once Upon A Fairytale,Gelay,,GMA
2016,,Wagas,Champion ng Buhay Ko,Janice,,GMA News TV
2016,,,Magkaibang Mundo,"Princess ""Pepay"" Sandoval-Cruz",,GMA
2016,,Maynila,Lucky I'm In Love,Eunice,,GMA
2016,,Magpakailanman,"Dalawang Ina, Isang Anak",Kath,,GMA
2016,,Wagas,Summit Lovin',Gracey,,GMA News TV
2015,,,Dangwa,Toni,,GMA
2015,,,My Faithful Husband,Mylene Fernandez-Sanreal,,GMA
2014,,,Kambal Sirena,Alona Natividad-Ramos,"Pearl ""Perlas"" Natividad-Villanueva",GMA
2013,,,Mundo Mo'y Akin,Marilyn Mendoza-Carbonel,,GMA
2012,,,One True Love,Elize Samonte,,GMA
2012,,,My Beloved,Grace Velasco,,GMA
2011,,,Alakdana,Adana San Miguel,,GMA
2010,2011.0,Reel Love Presents,Tween Hearts,Luisa dela Cruz,,GMA
2010,2011.0,,Pilyang Kerubin,Isabel,,GMA
2010,,,BFGF (TV series),Hermes,,TV5
2008,2009.0,,Lipgloss,Louise Tanco,,TV5
2003,,,Ang Iibigin Ay Ikaw,Young Stella,,GMA Network
2001,,,Ang TV 2,Herself,,ABS-CBN
