year,work,collaborator,variant,award_category,outcome
2006,Since U Been Gone,,,Best Female Pop Vocal Performance,Won
2006,Breakaway,,,Best Pop Vocal Album,Won
2008,Because of You,with Reba McEntire,,Best Country Collaboration with Vocals,Nominated
2010,All I Ever Wanted,,,Best Pop Vocal Album,Nominated
2012,Don't You Wanna Stay,with Jason Aldean,,Best Country Duo/Group Performance,Nominated
2013,Stronger (What Doesn't Kill You),,,Record of the Year,Nominated
2013,Stronger (What Doesn't Kill You),,,Best Pop Solo Performance,Nominated
2013,Stronger,,,Best Pop Vocal Album,Won
2014,Don't Rush,,featuring Vince Gill,Best Country Duo/Group Performance,Nominated
2016,Piece by Piece,,,Best Pop Vocal Album,Nominated
2016,Heartbeat Song,,,Best Pop Solo Performance,Nominated
2017,Piece by Piece,,Idol Version,Best Pop Solo Performance,Nominated
2018,Love So Soft,,,Best Pop Solo Performance,Nominated
2019,Meaning of Life,,,Best Pop Vocal Album,Nominated
