commodity,dimension_id,dollars
sweet potatoes,1,4854708.0
"black, white, or red currants and gooseberries",1,
garlic,1,624926.0
true hemp; tow and waste of true hemp,1,35415.0
"cabbages, kohlrabi, kale and other similar edible brassicas",1,29849514.0
kiwi,1,21845.0
quinoa,1,
sweet potatoes,2,17062982.0
"black, white, or red currants and gooseberries",2,132960.0
garlic,2,583616.0
true hemp; tow and waste of true hemp,2,137386.0
"cabbages, kohlrabi, kale and other similar edible brassicas",2,57540228.0
kiwi,2,4425.0
quinoa,2,4424715.0
