category,nominee_slot,nominee,role,affiliated_group,tie_indicator
Outstanding Hard Rock/Metal Artist/Group,1,Forge,,,
Outstanding Industrial Artist/Group,1,Haf/Life,,,Haf/Life
Outstanding Pop Artist/Group,1,Liz Larin,,,
Outstanding Rock Artist/Group,1,The Kingsnakes,,,
Outstanding Rock/Pop Instrumentalist,1,Jimmy Paluzzi - drums The Fags,drums,The Fags,
Outstanding Rock/Pop Recording,1,Sista Otis and The Wholly Rollers,,,
Outstanding Rock/Pop Songwriter,1,Liz Larin,,,
Outstanding Rock/Pop Vocalist,1,Liz Larin,,,
Outstanding Hard Rock/Metal Artist/Group,2,Broadzilla,,,
Outstanding Industrial Artist/Group,2,The Impaler,,,
Outstanding Pop Artist/Group,2,Jill Jack,,,
Outstanding Rock Artist/Group,2,The Reefermen,,,
Outstanding Rock/Pop Instrumentalist,2,Bobby East - guitar The Reefermen,guitar,The Reefermen,
Outstanding Rock/Pop Recording,2,Mindcandy Recognize,,,
Outstanding Rock/Pop Songwriter,2,Tim Diaz,,,
Outstanding Rock/Pop Vocalist,2,Jezter Soot,,,
Outstanding Hard Rock/Metal Artist/Group,3,Broadzilla,,,
Outstanding Industrial Artist/Group,3,,,,
Outstanding Pop Artist/Group,3,Jill Jack,,,
Outstanding Rock Artist/Group,3,Liz Larin,,,
Outstanding Rock/Pop Instrumentalist,3,Bobby East - guitar The Reefermen,guitar,The Reefermen,
Outstanding Rock/Pop Recording,3,"Liz Larin Wake Up, Start Dreaming",,,
Outstanding Rock/Pop Songwriter,3,Liz Larin,,,
Outstanding Rock/Pop Vocalist,3,Liz Larin,,,
Outstanding Hard Rock/Metal Artist/Group,4,,,,
Outstanding Industrial Artist/Group,4,Crud,,,
Outstanding Pop Artist/Group,4,Ty Stone,,,
Outstanding Rock Artist/Group,4,Broadzilla,,,
Outstanding Rock/Pop Instrumentalist,4,Rachel May - guitar,guitar,,
Outstanding Rock/Pop Recording,4,The Muggs On With The Show,,,
Outstanding Rock/Pop Songwriter,4,Vinnie Dombroski,,,
Outstanding Rock/Pop Vocalist,4,Vinnie Dombroski,,,
Outstanding Hard Rock/Metal Artist/Group,5,,,,
Outstanding Industrial Artist/Group,5,Cybertribe,,,
Outstanding Pop Artist/Group,5,,,,
Outstanding Rock Artist/Group,5,,,,
Outstanding Rock/Pop Instrumentalist,5,Larry Fratangelo - percussion,percussion,,
Outstanding Rock/Pop Recording,5,Carolyn Striho Honesty,,,
Outstanding Rock/Pop Songwriter,5,Vinnie Dombroski,,,
Outstanding Rock/Pop Vocalist,5,Ty Stone,,,
Outstanding Hard Rock/Metal Artist/Group,6,,,,
Outstanding Industrial Artist/Group,6,Crud,,,
Outstanding Pop Artist/Group,6,André / Serena Knight (tie),,,André / Serena Knight (tie)
Outstanding Rock Artist/Group,6,André,,,
Outstanding Rock/Pop Instrumentalist,6,Jimmy Bones - keyboards,keyboards,,
Outstanding Rock/Pop Recording,6,André 3 Soldiers,,,
Outstanding Rock/Pop Songwriter,6,André,,,
Outstanding Rock/Pop Vocalist,6,Ty Stone,,,
