year,team,stat_type,metric,value
2006,ole miss,passing,att,8.0
2006,ole miss,passing,yards,68.0
2006,ole miss,passing,avg,8.5
2006,ole miss,passing,td,1.0
2006,ole miss,receiving,rec,15.0
2006,ole miss,receiving,yards,232.0
2006,ole miss,receiving,avg,15.5
2006,ole miss,receiving,td,1.0
2007,ole miss,passing,att,6.0
2007,ole miss,passing,yards,63.0
2007,ole miss,passing,avg,10.5
2007,ole miss,passing,td,0.0
2007,ole miss,receiving,rec,27.0
2007,ole miss,receiving,yards,326.0
2007,ole miss,receiving,avg,12.1
2007,ole miss,receiving,td,2.0
2008,ole miss,passing,att,109.0
2008,ole miss,passing,yards,655.0
2008,ole miss,passing,avg,6.0
2008,ole miss,passing,td,6.0
2008,ole miss,receiving,rec,44.0
2008,ole miss,receiving,yards,625.0
2008,ole miss,receiving,avg,14.2
2008,ole miss,receiving,td,1.0
2009,ole miss,passing,att,181.0
2009,ole miss,passing,yards,1169.0
2009,ole miss,passing,avg,6.5
2009,ole miss,passing,td,8.0
2009,ole miss,receiving,rec,44.0
2009,ole miss,receiving,yards,520.0
2009,ole miss,receiving,avg,11.8
2009,ole miss,receiving,td,3.0
