team,season,division,season_block,apps,goals
stoke,1893-94,first division,1,1,0
stoke,1893-94,first division,2,0,0
stoke,1893-94,first division,3,1,0
stoke,1894-95,first division,1,10,2
stoke,1894-95,first division,2,2,2
stoke,1894-95,first division,3,12,4
southampton,1895-96,southern league,1,18,0
southampton,1895-96,southern league,2,5,1
southampton,1895-96,southern league,3,23,1
southampton,1896-97,southern league,1,19,4
southampton,1896-97,southern league,2,7,0
southampton,1896-97,southern league,3,26,4
southampton,1897-98,southern league,1,22,2
southampton,1897-98,southern league,2,9,1
southampton,1897-98,southern league,3,31,3
southampton,1898-99,southern league,1,18,1
southampton,1898-99,southern league,2,3,0
southampton,1898-99,southern league,3,21,1
southampton,1899-1900,southern league,1,27,3
southampton,1899-1900,southern league,2,6,0
southampton,1899-1900,southern league,3,33,3
southampton,1900-01,southern league,1,28,2
southampton,1900-01,southern league,2,1,0
southampton,1900-01,southern league,3,29,2
southampton,1901-02,southern league,1,26,4
southampton,1901-02,southern league,2,8,0
southampton,1901-02,southern league,3,34,4
southampton,1902-03,southern league,1,24,1
southampton,1902-03,southern league,2,1,0
southampton,1902-03,southern league,3,25,1
southampton,1903-04,southern league,1,24,1
southampton,1903-04,southern league,2,2,0
southampton,1903-04,southern league,3,26,1
southampton,1904-05,southern league,1,18,0
southampton,1904-05,southern league,2,0,0
southampton,1904-05,southern league,3,18,0
southampton,1905-06,southern league,1,22,0
southampton,1905-06,southern league,2,0,0
southampton,1905-06,southern league,3,22,0
