year,team,metric,value
,,cmp,cmp
2004.0,sd,cmp,5.0
2005.0,sd,cmp,12.0
2006.0,sd,cmp,284.0
2007.0,sd,cmp,277.0
2008.0,sd,cmp,312.0
2009.0,sd,cmp,317.0
2010.0,sd,cmp,357.0
2011.0,sd,cmp,366.0
2012.0,sd,cmp,338.0
2013.0,sd,cmp,378.0
2014.0,sd,cmp,379.0
2015.0,sd,cmp,437.0
2016.0,sd,cmp,349.0
2017.0,lac,cmp,360.0
2018.0,lac,cmp,347.0
,,att,att
2004.0,sd,att,8.0
2005.0,sd,att,22.0
2006.0,sd,att,460.0
2007.0,sd,att,460.0
2008.0,sd,att,478.0
2009.0,sd,att,486.0
2010.0,sd,att,541.0
2011.0,sd,att,582.0
2012.0,sd,att,527.0
2013.0,sd,att,544.0
2014.0,sd,att,570.0
2015.0,sd,att,661.0
2016.0,sd,att,578.0
2017.0,lac,att,575.0
2018.0,lac,att,508.0
,,yds,yds
2004.0,sd,yds,33.0
2005.0,sd,yds,115.0
2006.0,sd,yds,3388.0
2007.0,sd,yds,3152.0
2008.0,sd,yds,4009.0
2009.0,sd,yds,4254.0
2010.0,sd,yds,4710.0
2011.0,sd,yds,4624.0
2012.0,sd,yds,3606.0
2013.0,sd,yds,4478.0
2014.0,sd,yds,4286.0
2015.0,sd,yds,4792.0
2016.0,sd,yds,4386.0
2017.0,lac,yds,4515.0
2018.0,lac,yds,4308.0
,,yds,yds
2004.0,sd,yds,0.0
2005.0,sd,yds,16.0
2006.0,sd,yds,144.0
2007.0,sd,yds,163.0
2008.0,sd,yds,151.0
2009.0,sd,yds,167.0
2010.0,sd,yds,227.0
2011.0,sd,yds,198.0
2012.0,sd,yds,311.0
2013.0,sd,yds,150.0
2014.0,sd,yds,189.0
2015.0,sd,yds,264.0
2016.0,sd,yds,188.0
2017.0,lac,yds,120.0
2018.0,lac,yds,204.0
,,td,td
2004.0,sd,td,1.0
2005.0,sd,td,0.0
2006.0,sd,td,22.0
2007.0,sd,td,21.0
2008.0,sd,td,34.0
2009.0,sd,td,28.0
2010.0,sd,td,30.0
2011.0,sd,td,27.0
2012.0,sd,td,26.0
2013.0,sd,td,32.0
2014.0,sd,td,31.0
2015.0,sd,td,29.0
2016.0,sd,td,33.0
2017.0,lac,td,28.0
2018.0,lac,td,32.0
,,int,int
2004.0,sd,int,0.0
2005.0,sd,int,1.0
2006.0,sd,int,9.0
2007.0,sd,int,15.0
2008.0,sd,int,11.0
2009.0,sd,int,9.0
2010.0,sd,int,13.0
2011.0,sd,int,20.0
2012.0,sd,int,15.0
2013.0,sd,int,11.0
2014.0,sd,int,18.0
2015.0,sd,int,13.0
2016.0,sd,int,21.0
2017.0,lac,int,10.0
2018.0,lac,int,12.0
,,rtg,rtg
2004.0,sd,rtg,110.9
2005.0,sd,rtg,50.4
2006.0,sd,rtg,92.0
2007.0,sd,rtg,82.4
2008.0,sd,rtg,105.5
2009.0,sd,rtg,104.4
2010.0,sd,rtg,101.8
2011.0,sd,rtg,88.7
2012.0,sd,rtg,88.6
2013.0,sd,rtg,105.5
2014.0,sd,rtg,93.8
2015.0,sd,rtg,93.8
2016.0,sd,rtg,87.9
2017.0,lac,rtg,96.0
2018.0,lac,rtg,105.5
,,sck,sck
2004.0,sd,sck,0.0
2005.0,sd,sck,3.0
2006.0,sd,sck,27.0
2007.0,sd,sck,22.0
2008.0,sd,sck,25.0
2009.0,sd,sck,25.0
2010.0,sd,sck,38.0
2011.0,sd,sck,30.0
2012.0,sd,sck,49.0
2013.0,sd,sck,30.0
2014.0,sd,sck,36.0
2015.0,sd,sck,40.0
2016.0,sd,sck,36.0
2017.0,lac,sck,18.0
2018.0,lac,sck,32.0
