series,category,style_number,color_code,block_id,metric,value_type,tag_price,value
Spring and Summer Home,Trousers,113841101,61,A,Cumulative Sales,Quantity,199,60.0
Spring and Summer Home,Trousers,113841101,61,A,Cumulative Sales,Tag Price Amount,199,11940.0
Spring and Summer Home,Trousers,113841101,61,A,Cumulative Sales,Sales Amount,199,8781.7
Spring and Summer Home,Trousers,113841101,61,A,Cumulative Sales,Discount,199,0.735485762144054
Spring and Summer Home,Trousers,113841101,61,A,Inventory,Quantity,199,141.0
Spring and Summer Home,Trousers,113841101,61,A,Inventory,Tag Price Amount,199,28059.0
Spring and Summer Home,Trousers,113851106,49,B,Cumulative Sales,Quantity,799,1.0
Spring and Summer Home,Trousers,113851106,49,B,Cumulative Sales,Tag Price Amount,799,799.0
Spring and Summer Home,Trousers,113851106,49,B,Cumulative Sales,Sales Amount,799,562.4
Spring and Summer Home,Trousers,113851106,49,B,Cumulative Sales,Discount,799,0.703879849812265
Spring and Summer Home,Trousers,113851106,49,B,Inventory,Quantity,799,48.0
Spring and Summer Home,Trousers,113851106,49,B,Inventory,Tag Price Amount,799,38352.0
Spring and Summer Home,Trousers,113841101,92,A,Cumulative Sales,Quantity,199,50.0
Spring and Summer Home,Trousers,113841101,92,A,Cumulative Sales,Tag Price Amount,199,9950.0
Spring and Summer Home,Trousers,113841101,92,A,Cumulative Sales,Sales Amount,199,6955.5
Spring and Summer Home,Trousers,113841101,92,A,Cumulative Sales,Discount,199,0.699045226130653
Spring and Summer Home,Trousers,113841101,92,A,Inventory,Quantity,199,204.0
Spring and Summer Home,Trousers,113841101,92,A,Inventory,Tag Price Amount,199,40596.0
Spring and Summer Home,Trousers,113851106,75,B,Cumulative Sales,Quantity,799,1.0
Spring and Summer Home,Trousers,113851106,75,B,Cumulative Sales,Tag Price Amount,799,799.0
Spring and Summer Home,Trousers,113851106,75,B,Cumulative Sales,Sales Amount,799,639.0
Spring and Summer Home,Trousers,113851106,75,B,Cumulative Sales,Discount,799,0.799749687108886
Spring and Summer Home,Trousers,113851106,75,B,Inventory,Quantity,799,54.0
Spring and Summer Home,Trousers,113851106,75,B,Inventory,Tag Price Amount,799,43146.0
Spring and Summer Home,Trousers,113841101,80,A,Cumulative Sales,Quantity,199,47.0
Spring and Summer Home,Trousers,113841101,80,A,Cumulative Sales,Tag Price Amount,199,9353.0
Spring and Summer Home,Trousers,113841101,80,A,Cumulative Sales,Sales Amount,199,6454.6
Spring and Summer Home,Trousers,113841101,80,A,Cumulative Sales,Discount,199,0.690110125093553
Spring and Summer Home,Trousers,113841101,80,A,Inventory,Quantity,199,74.0
Spring and Summer Home,Trousers,113841101,80,A,Inventory,Tag Price Amount,199,14726.0
Spring and Summer Home,Short sleeve,113811801,75,B,Cumulative Sales,Quantity,799,1.0
Spring and Summer Home,Short sleeve,113811801,75,B,Cumulative Sales,Tag Price Amount,799,799.0
Spring and Summer Home,Short sleeve,113811801,75,B,Cumulative Sales,Sales Amount,799,639.0
Spring and Summer Home,Short sleeve,113811801,75,B,Cumulative Sales,Discount,799,0.799749687108886
Spring and Summer Home,Short sleeve,113811801,75,B,Inventory,Quantity,799,122.0
Spring and Summer Home,Short sleeve,113811801,75,B,Inventory,Tag Price Amount,799,97478.0
