impact_category,frequency,percent_total,percent_subgroup_a,percent_subgroup_b
avoided or wanted to avoid specific people at work,never,53.0,17.0,34.0
avoided or wanted to avoid specific people at work,sometimes,35.0,38.0,36.0
avoided or wanted to avoid specific people at work,always,,45.0,29.0
negative impacts on personal or social life,never,69.0,32.0,49.0
negative impacts on personal or social life,sometimes,26.0,40.0,34.0
negative impacts on personal or social life,always,,28.0,17.0
"stayed or wanted to stay away from specific locations on the base, wing, or formation",never,58.0,42.0,50.0
"stayed or wanted to stay away from specific locations on the base, wing, or formation",sometimes,33.0,31.0,33.0
"stayed or wanted to stay away from specific locations on the base, wing, or formation",always,,27.0,18.0
"stayed or wanted to stay away from the gym on the base, wing, or formation",never,83.0,70.0,76.0
"stayed or wanted to stay away from the gym on the base, wing, or formation",sometimes,17.0,15.0,16.0
"stayed or wanted to stay away from the gym on the base, wing, or formation",always,,15.0,7.9
avoided or wanted to avoid the mess,never,71.0,46.0,57.0
avoided or wanted to avoid the mess,sometimes,26.0,32.0,30.0
avoided or wanted to avoid the mess,always,,23.0,13.0
missed work or worked fewer hours,sometimes,,28.0,20.0
always,always,,,
avoided optional work-related social functions,never,71.0,44.0,57.0
avoided optional work-related social functions,sometimes,18.0,42.0,30.0
avoided optional work-related social functions,always,,14.0,13.0
negative emotional impacts,never,58.0,28.0,42.0
negative emotional impacts,sometimes,33.0,40.0,37.0
negative emotional impacts,always,,32.0,21.0
difficulty sleeping,never,77.0,49.0,62.0
difficulty sleeping,sometimes,20.0,26.0,23.0
difficulty sleeping,always,,25.0,15.0
loss of trust in chain of command,never,64.0,56.0,59.0
loss of trust in chain of command,sometimes,23.0,23.0,24.0
loss of trust in chain of command,always,,21.0,17.0
loss of trust in unit,never,72.0,53.0,61.0
loss of trust in unit,sometimes,,27.0,22.0
loss of trust in unit,always,,20.0,17.0
