company_type,rd_performance_type,funding_source,year,expenditure
,domestic r&d performance,paid for by the company,2019,232505.0
,domestic r&d performance,paid for by others,2019,58176.0
,domestic r&d performance,federal,2019,36360.0
,domestic r&d performance,othera,2019,21816.0
linked parent companies of u.s. mncs,domestic r&d performance,,2019,
linked parent companies of u.s. mncs,domestic r&d performance,paid for by the company,2019,157782.0
linked parent companies of u.s. mncs,domestic r&d performance,paid for by others,2019,35684.0
linked parent companies of u.s. mncs,domestic r&d performance,federal,2019,28827.0
linked parent companies of u.s. mncs,domestic r&d performance,othera,2019,6856.0
linked u.s. affiliates of foreign mncs,domestic r&d performance,,2019,
linked u.s. affiliates of foreign mncs,domestic r&d performance,paid for by the company,2019,29059.0
linked u.s. affiliates of foreign mncs,domestic r&d performance,paid for by others,2019,5996.0
linked u.s. affiliates of foreign mncs,domestic r&d performance,federal,2019,1414.0
linked u.s. affiliates of foreign mncs,domestic r&d performance,othera,2019,4581.0
,domestic r&d performance,paid for by the company,2020,224920.0
,domestic r&d performance,paid for by others,2020,57473.0
,domestic r&d performance,federal,2020,39573.0
,domestic r&d performance,othera,2020,17900.0
linked parent companies of u.s. mncs,domestic r&d performance,,2020,
linked parent companies of u.s. mncs,domestic r&d performance,paid for by the company,2020,162968.0
linked parent companies of u.s. mncs,domestic r&d performance,paid for by others,2020,35367.0
linked parent companies of u.s. mncs,domestic r&d performance,federal,2020,27386.0
linked parent companies of u.s. mncs,domestic r&d performance,othera,2020,7982.0
linked u.s. affiliates of foreign mncs,domestic r&d performance,,2020,
linked u.s. affiliates of foreign mncs,domestic r&d performance,paid for by the company,2020,27798.0
linked u.s. affiliates of foreign mncs,domestic r&d performance,paid for by others,2020,7739.0
linked u.s. affiliates of foreign mncs,domestic r&d performance,federal,2020,1749.0
linked u.s. affiliates of foreign mncs,domestic r&d performance,othera,2020,5990.0
,domestic r&d performance,paid for by the company,2021,221706.0
,domestic r&d performance,paid for by others,2021,57271.0
,domestic r&d performance,federal,2021,34199.0
,domestic r&d performance,othera,2021,23072.0
linked parent companies of u.s. mncs,domestic r&d performance,,2021,
linked parent companies of u.s. mncs,domestic r&d performance,paid for by the company,2021,162421.0
linked parent companies of u.s. mncs,domestic r&d performance,paid for by others,2021,34742.0
linked parent companies of u.s. mncs,domestic r&d performance,federal,2021,25524.0
linked parent companies of u.s. mncs,domestic r&d performance,othera,2021,9218.0
linked u.s. affiliates of foreign mncs,domestic r&d performance,,2021,
linked u.s. affiliates of foreign mncs,domestic r&d performance,paid for by the company,2021,30175.0
linked u.s. affiliates of foreign mncs,domestic r&d performance,paid for by others,2021,9524.0
linked u.s. affiliates of foreign mncs,domestic r&d performance,federal,2021,1469.0
linked u.s. affiliates of foreign mncs,domestic r&d performance,othera,2021,8055.0
