province,agricultural_region,language_origin,metric_type,value,distribution_of_official_language_minority
newfoundland and labrador,agricultural region 1,english,number,21135.0,77.8
newfoundland and labrador,agricultural region 1,french,number,70.0,77.8
newfoundland and labrador,agricultural region 1,other,number,0.0,77.8
newfoundland and labrador,agricultural region 1,english,percent,99.7,77.8
newfoundland and labrador,agricultural region 1,french,percent,0.3,77.8
newfoundland and labrador,agricultural region 1,other,percent,0.0,77.8
newfoundland and labrador,agricultural region 2,english,number,10165.0,0.0
newfoundland and labrador,agricultural region 2,french,number,0.0,0.0
newfoundland and labrador,agricultural region 2,other,number,30.0,0.0
newfoundland and labrador,agricultural region 2,english,percent,99.6,0.0
newfoundland and labrador,agricultural region 2,french,percent,0.0,0.0
newfoundland and labrador,agricultural region 2,other,percent,0.3,0.0
newfoundland and labrador,agricultural region 3,english,number,6975.0,22.2
newfoundland and labrador,agricultural region 3,french,number,20.0,22.2
newfoundland and labrador,agricultural region 3,other,number,0.0,22.2
newfoundland and labrador,agricultural region 3,english,percent,99.6,22.2
newfoundland and labrador,agricultural region 3,french,percent,0.3,22.2
newfoundland and labrador,agricultural region 3,other,percent,0.0,22.2
prince edward island,agricultural region 1,english,number,1880.0,0.0
prince edward island,agricultural region 1,french,number,0.0,0.0
prince edward island,agricultural region 1,other,number,0.0,0.0
prince edward island,agricultural region 1,english,percent,99.5,0.0
prince edward island,agricultural region 1,french,percent,0.0,0.0
prince edward island,agricultural region 1,other,percent,0.0,0.0
prince edward island,agricultural region 2,english,number,5565.0,20.4
prince edward island,agricultural region 2,french,number,50.0,20.4
prince edward island,agricultural region 2,other,number,30.0,20.4
prince edward island,agricultural region 2,english,percent,98.7,20.4
prince edward island,agricultural region 2,french,percent,0.9,20.4
prince edward island,agricultural region 2,other,percent,0.5,20.4
prince edward island,agricultural region 3,english,number,4530.0,79.6
prince edward island,agricultural region 3,french,number,195.0,79.6
prince edward island,agricultural region 3,other,number,0.0,79.6
prince edward island,agricultural region 3,english,percent,95.9,79.6
prince edward island,agricultural region 3,french,percent,4.1,79.6
prince edward island,agricultural region 3,other,percent,0.0,79.6
nova scotia,agricultural region 1,english,number,7865.0,52.5
nova scotia,agricultural region 1,french,number,1120.0,52.5
nova scotia,agricultural region 1,other,number,0.0,52.5
nova scotia,agricultural region 1,english,percent,87.6,52.5
nova scotia,agricultural region 1,french,percent,12.5,52.5
nova scotia,agricultural region 1,other,percent,0.0,52.5
nova scotia,agricultural region 2,english,number,7935.0,4.0
nova scotia,agricultural region 2,french,number,85.0,4.0
nova scotia,agricultural region 2,other,number,0.0,4.0
nova scotia,agricultural region 2,english,percent,98.9,4.0
nova scotia,agricultural region 2,french,percent,1.1,4.0
nova scotia,agricultural region 2,other,percent,0.0,4.0
nova scotia,agricultural region 3,english,number,30415.0,19.2
nova scotia,agricultural region 3,french,number,410.0,19.2
nova scotia,agricultural region 3,other,number,65.0,19.2
nova scotia,agricultural region 3,english,percent,98.4,19.2
nova scotia,agricultural region 3,french,percent,1.3,19.2
nova scotia,agricultural region 3,other,percent,0.2,19.2
nova scotia,agricultural region 4,english,number,5640.0,2.6
nova scotia,agricultural region 4,french,number,55.0,2.6
nova scotia,agricultural region 4,other,number,0.0,2.6
nova scotia,agricultural region 4,english,percent,99.0,2.6
nova scotia,agricultural region 4,french,percent,1.0,2.6
nova scotia,agricultural region 4,other,percent,0.0,2.6
nova scotia,agricultural region 5,english,number,8140.0,21.8
nova scotia,agricultural region 5,french,number,465.0,21.8
nova scotia,agricultural region 5,other,number,0.0,21.8
nova scotia,agricultural region 5,english,percent,94.6,21.8
nova scotia,agricultural region 5,french,percent,5.4,21.8
nova scotia,agricultural region 5,other,percent,0.0,21.8
new brunswick,agricultural region 1,english,number,8455.0,19.4
new brunswick,agricultural region 1,french,number,3350.0,19.4
new brunswick,agricultural region 1,other,number,0.0,19.4
new brunswick,agricultural region 1,english,percent,71.5,19.4
new brunswick,agricultural region 1,french,percent,28.3,19.4
new brunswick,agricultural region 1,other,percent,0.0,19.4
new brunswick,agricultural region 2,english,number,12845.0,1.4
new brunswick,agricultural region 2,french,number,235.0,1.4
new brunswick,agricultural region 2,other,number,25.0,1.4
new brunswick,agricultural region 2,english,percent,98.0,1.4
new brunswick,agricultural region 2,french,percent,1.8,1.4
new brunswick,agricultural region 2,other,percent,0.2,1.4
new brunswick,agricultural region 3,english,number,9225.0,37.7
new brunswick,agricultural region 3,french,number,6505.0,37.7
new brunswick,agricultural region 3,other,number,0.0,37.7
new brunswick,agricultural region 3,english,percent,58.6,37.7
new brunswick,agricultural region 3,french,percent,41.3,37.7
new brunswick,agricultural region 3,other,percent,0.0,37.7
new brunswick,agricultural region 4,english,number,3975.0,41.5
new brunswick,agricultural region 4,french,number,7145.0,41.5
new brunswick,agricultural region 4,other,number,0.0,41.5
new brunswick,agricultural region 4,english,percent,35.7,41.5
new brunswick,agricultural region 4,french,percent,64.2,41.5
new brunswick,agricultural region 4,other,percent,0.0,41.5
