age_group,education_level,marital_status,sex,count
15,Total,Unmarried,Male,844803
15,Total,Unmarried,Female,740863
15,Total,With Spouse,Male,160
15,Total,With Spouse,Female,646
15,Total,Divorced,Male,1
15,Total,Divorced,Female,3
15,Total,Widowed,Male,1
15,Total,Widowed,Female,0
16,Total,Unmarried,Male,933657
16,Total,Unmarried,Female,816619
16,Total,With Spouse,Male,478
16,Total,With Spouse,Female,2190
16,Total,Divorced,Male,3
16,Total,Divorced,Female,20
16,Total,Widowed,Male,2
16,Total,Widowed,Female,2
17,Total,Unmarried,Male,824821
17,Total,Unmarried,Female,716750
17,Total,With Spouse,Male,1382
17,Total,With Spouse,Female,5126
17,Total,Divorced,Male,19
17,Total,Divorced,Female,45
17,Total,Widowed,Male,1
17,Total,Widowed,Female,5
18,Total,Unmarried,Male,752915
18,Total,Unmarried,Female,646197
18,Total,With Spouse,Male,3098
18,Total,With Spouse,Female,11020
18,Total,Divorced,Male,37
18,Total,Divorced,Female,111
18,Total,Widowed,Male,1
18,Total,Widowed,Female,11
19,Total,Unmarried,Male,769398
19,Total,Unmarried,Female,689659
19,Total,With Spouse,Male,6616
19,Total,With Spouse,Female,21446
19,Total,Divorced,Male,104
19,Total,Divorced,Female,185
19,Total,Widowed,Male,4
19,Total,Widowed,Female,16
20,Total,Unmarried,Male,772588
20,Total,Unmarried,Female,686292
20,Total,With Spouse,Male,13743
20,Total,With Spouse,Female,42799
20,Total,Divorced,Male,216
20,Total,Divorced,Female,437
20,Total,Widowed,Male,11
20,Total,Widowed,Female,30
21,Total,Unmarried,Male,700986
21,Total,Unmarried,Female,599815
21,Total,With Spouse,Male,26104
21,Total,With Spouse,Female,72669
21,Total,Divorced,Male,398
21,Total,Divorced,Female,801
21,Total,Widowed,Male,14
21,Total,Widowed,Female,44
22,Total,Unmarried,Male,704019
22,Total,Unmarried,Female,568170
22,Total,With Spouse,Male,54548
22,Total,With Spouse,Female,124761
22,Total,Divorced,Male,843
22,Total,Divorced,Female,1563
22,Total,Widowed,Male,24
22,Total,Widowed,Female,92
23,Total,Unmarried,Male,655912
23,Total,Unmarried,Female,505267
23,Total,With Spouse,Male,91842
23,Total,With Spouse,Female,181244
23,Total,Divorced,Male,1482
23,Total,Divorced,Female,2432
23,Total,Widowed,Male,41
23,Total,Widowed,Female,121
24,Total,Unmarried,Male,629268
24,Total,Unmarried,Female,456834
24,Total,With Spouse,Male,144873
24,Total,With Spouse,Female,256181
24,Total,Divorced,Male,2572
24,Total,Divorced,Female,4004
24,Total,Widowed,Male,54
24,Total,Widowed,Female,179
25,Total,Unmarried,Male,617366
25,Total,Unmarried,Female,414845
25,Total,With Spouse,Male,225211
25,Total,With Spouse,Female,359929
25,Total,Divorced,Male,4424
25,Total,Divorced,Female,5958
25,Total,Widowed,Male,95
25,Total,Widowed,Female,270
26,Total,Unmarried,Male,530136
26,Total,Unmarried,Female,329916
26,Total,With Spouse,Male,298955
26,Total,With Spouse,Female,435502
26,Total,Divorced,Male,6492
26,Total,Divorced,Female,7977
26,Total,Widowed,Male,116
26,Total,Widowed,Female,390
27,Total,Unmarried,Male,490692
27,Total,Unmarried,Female,277396
27,Total,With Spouse,Male,415655
27,Total,With Spouse,Female,566291
27,Total,Divorced,Male,9995
27,Total,Divorced,Female,11088
27,Total,Widowed,Male,175
27,Total,Widowed,Female,509
28,Total,Unmarried,Male,426183
28,Total,Unmarried,Female,219580
28,Total,With Spouse,Male,523749
28,Total,With Spouse,Female,662000
28,Total,Divorced,Male,14176
28,Total,Divorced,Female,14247
28,Total,Widowed,Male,255
28,Total,Widowed,Female,686
29,Total,Unmarried,Male,376509
29,Total,Unmarried,Female,179540
29,Total,With Spouse,Male,651617
29,Total,With Spouse,Female,776772
29,Total,Divorced,Male,19713
29,Total,Divorced,Female,18243
29,Total,Widowed,Male,329
29,Total,Widowed,Female,935
30,Total,Unmarried,Male,386298
30,Total,Unmarried,Female,174540
30,Total,With Spouse,Male,911350
30,Total,With Spouse,Female,1048928
30,Total,Divorced,Male,29837
30,Total,Divorced,Female,25968
30,Total,Widowed,Male,592
30,Total,Widowed,Female,1373
31,Total,Unmarried,Male,305168
31,Total,Unmarried,Female,131841
31,Total,With Spouse,Male,956967
31,Total,With Spouse,Female,1072645
31,Total,Divorced,Male,34680
31,Total,Divorced,Female,29612
31,Total,Widowed,Male,715
31,Total,Widowed,Female,1795
32,Total,Unmarried,Male,238005
32,Total,Unmarried,Female,102145
32,Total,With Spouse,Male,950633
32,Total,With Spouse,Female,1039220
32,Total,Divorced,Male,37388
32,Total,Divorced,Female,31549
32,Total,Widowed,Male,833
32,Total,Widowed,Female,2064
33,Total,Unmarried,Male,214816
33,Total,Unmarried,Female,88776
33,Total,With Spouse,Male,1072055
33,Total,With Spouse,Female,1141961
33,Total,Divorced,Male,45509
33,Total,Divorced,Female,37133
33,Total,Widowed,Male,982
33,Total,Widowed,Female,2688
34,Total,Unmarried,Male,161235
34,Total,Unmarried,Female,66624
34,Total,With Spouse,Male,963052
34,Total,With Spouse,Female,1007825
34,Total,Divorced,Male,43177
34,Total,Divorced,Female,34874
34,Total,Widowed,Male,1022
34,Total,Widowed,Female,2776
35,Total,Unmarried,Male,121137
35,Total,Unmarried,Female,49809
35,Total,With Spouse,Male,848834
35,Total,With Spouse,Female,867823
35,Total,Divorced,Male,39266
35,Total,Divorced,Female,31102
35,Total,Widowed,Male,1028
35,Total,Widowed,Female,2973
36,Total,Unmarried,Male,103953
36,Total,Unmarried,Female,43164
36,Total,With Spouse,Male,859775
36,Total,With Spouse,Female,868540
36,Total,Divorced,Male,40271
36,Total,Divorced,Female,32018
36,Total,Widowed,Male,1108
36,Total,Widowed,Female,3373
37,Total,Unmarried,Male,90227
37,Total,Unmarried,Female,38009
37,Total,With Spouse,Male,851994
37,Total,With Spouse,Female,849775
37,Total,Divorced,Male,41147
37,Total,Divorced,Female,32965
37,Total,Widowed,Male,1270
37,Total,Widowed,Female,3854
38,Total,Unmarried,Male,90956
38,Total,Unmarried,Female,38083
38,Total,With Spouse,Male,984703
38,Total,With Spouse,Female,976051
38,Total,Divorced,Male,49742
38,Total,Divorced,Female,39468
38,Total,Widowed,Male,1636
38,Total,Widowed,Female,5025
39,Total,Unmarried,Male,71684
39,Total,Unmarried,Female,28785
39,Total,With Spouse,Male,864343
39,Total,With Spouse,Female,856683
39,Total,Divorced,Male,43338
39,Total,Divorced,Female,34623
39,Total,Widowed,Male,1616
39,Total,Widowed,Female,5129
40,Total,Unmarried,Male,60272
40,Total,Unmarried,Female,23435
40,Total,With Spouse,Male,798786
40,Total,With Spouse,Female,788408
40,Total,Divorced,Male,40074
40,Total,Divorced,Female,32338
40,Total,Widowed,Male,1820
40,Total,Widowed,Female,5788
41,Total,Unmarried,Male,60206
41,Total,Unmarried,Female,21391
41,Total,With Spouse,Male,886403
41,Total,With Spouse,Female,868184
41,Total,Divorced,Male,45610
41,Total,Divorced,Female,36930
41,Total,Widowed,Male,2413
41,Total,Widowed,Female,7394
