year,team,stat_category,metric,value
2013,min,games_played,gp,16
2013,min,games_started,gs,6
2013,min,receiving,rec,45
2013,min,receiving,yds,469
2013,min,receiving,avg,10.4
2013,min,receiving,lng,79t
2013,min,receiving,td,4
2013,min,passing,att,12
2013,min,passing,yds,158
2013,min,passing,avg,13.2
2013,min,passing,lng,50t
2013,min,passing,td,3
2013,min,returns,ret,43
2013,min,returns,yds,"1,393"
2013,min,returns,avg,32.4
2013,min,returns,lng,109t
2013,min,returns,td,2
2013,min,fumbles,fum,0
2013,min,fumbles,lost,0
2014,min,games_played,gp,16
2014,min,games_started,gs,7
2014,min,receiving,rec,33
2014,min,receiving,yds,384
2014,min,receiving,avg,11.6
2014,min,receiving,lng,28
2014,min,receiving,td,1
2014,min,passing,att,10
2014,min,passing,yds,117
2014,min,passing,avg,11.7
2014,min,passing,lng,67t
2014,min,passing,td,1
2014,min,returns,ret,34
2014,min,returns,yds,871
2014,min,returns,avg,25.6
2014,min,returns,lng,51
2014,min,returns,td,0
2014,min,fumbles,fum,1
2014,min,fumbles,lost,1
2015,min,games_played,gp,16
2015,min,games_started,gs,1
2015,min,receiving,rec,2
2015,min,receiving,yds,10
2015,min,receiving,avg,5.0
2015,min,receiving,lng,9
2015,min,receiving,td,0
2015,min,passing,att,2
2015,min,passing,yds,15
2015,min,passing,avg,7.5
2015,min,passing,lng,9
2015,min,passing,td,0
2015,min,returns,ret,32
2015,min,returns,yds,"1,019"
2015,min,returns,avg,31.8
2015,min,returns,lng,101t
2015,min,returns,td,2
2015,min,fumbles,fum,1
2015,min,fumbles,lost,1
2016,min,games_played,gp,16
2016,min,games_started,gs,8
2016,min,receiving,rec,49
2016,min,receiving,yds,401
2016,min,receiving,avg,8.2
2016,min,receiving,lng,30
2016,min,receiving,td,2
2016,min,passing,att,7
2016,min,passing,yds,43
2016,min,passing,avg,6.1
2016,min,passing,lng,22
2016,min,passing,td,0
2016,min,returns,ret,26
2016,min,returns,yds,801
2016,min,returns,avg,30.8
2016,min,returns,lng,104t
2016,min,returns,td,1
2016,min,fumbles,fum,2
2016,min,fumbles,lost,0
2017,oak,games_played,gp,16
2017,oak,games_started,gs,2
2017,oak,receiving,rec,31
2017,oak,receiving,yds,309
2017,oak,receiving,avg,10.0
2017,oak,receiving,lng,59
2017,oak,receiving,td,0
2017,oak,passing,att,13
2017,oak,passing,yds,121
2017,oak,passing,avg,9.3
2017,oak,passing,lng,47t
2017,oak,passing,td,2
2017,oak,returns,ret,19
2017,oak,returns,yds,538
2017,oak,returns,avg,28.3
2017,oak,returns,lng,49
2017,oak,returns,td,0
2017,oak,fumbles,fum,3
2017,oak,fumbles,lost,0
2018,ne,games_played,gp,15
2018,ne,games_started,gs,5
2018,ne,receiving,rec,21
2018,ne,receiving,yds,247
2018,ne,receiving,avg,11.8
2018,ne,receiving,lng,55t
2018,ne,receiving,td,3
2018,ne,passing,att,42
2018,ne,passing,yds,228
2018,ne,passing,avg,5.4
2018,ne,passing,lng,27
2018,ne,passing,td,1
2018,ne,returns,ret,23
2018,ne,returns,yds,663
2018,ne,returns,avg,28.8
2018,ne,returns,lng,95t
2018,ne,returns,td,1
2018,ne,fumbles,fum,1
2018,ne,fumbles,lost,1
