occupation,age_group,parity,women_count,live_births_count
"Party and government organs, mass organizations, and
social organizations, enterprise and public institution leaders",15-64 years old,0,376767,56173
Professional and Technical Personnel,15-64 years old,0,3768659,1222151
Office clerks and related personnel,15-64 years old,0,1763530,480535
Social production service and daily service personnel,15-64 years old,0,9474681,1915946
"Farm, Forestry, Animal Husbandry, and Fishery Production and Support Staff",15-64 years old,0,5259471,306014
"Production, manufacturing, and related personnel",15-64 years old,0,4807673,624894
Other occupational categories that are difficult to classify,15-64 years old,0,62516,26261
"Party and government organs, mass organizations, and
social organizations, enterprise and public institution leaders",15-64 years old,1,376767,175995
Professional and Technical Personnel,15-64 years old,1,3768659,1689734
Office clerks and related personnel,15-64 years old,1,1763530,865320
Social production service and daily service personnel,15-64 years old,1,9474681,3604474
"Farm, Forestry, Animal Husbandry, and Fishery Production and Support Staff",15-64 years old,1,5259471,1233845
"Production, manufacturing, and related personnel",15-64 years old,1,4807673,1542944
Other occupational categories that are difficult to classify,15-64 years old,1,62516,16798
"Party and government organs, mass organizations, and
social organizations, enterprise and public institution leaders",15-64 years old,2,376767,124393
Professional and Technical Personnel,15-64 years old,2,3768659,792275
Office clerks and related personnel,15-64 years old,2,1763530,383186
Social production service and daily service personnel,15-64 years old,2,9474681,3279919
"Farm, Forestry, Animal Husbandry, and Fishery Production and Support Staff",15-64 years old,2,5259471,2672220
"Production, manufacturing, and related personnel",15-64 years old,2,4807673,2129863
Other occupational categories that are difficult to classify,15-64 years old,2,62516,15862
"Party and government organs, mass organizations, and
social organizations, enterprise and public institution leaders",15-64 years old,3,376767,16965
Professional and Technical Personnel,15-64 years old,3,3768659,54838
Office clerks and related personnel,15-64 years old,3,1763530,28942
Social production service and daily service personnel,15-64 years old,3,9474681,549303
"Farm, Forestry, Animal Husbandry, and Fishery Production and Support Staff",15-64 years old,3,5259471,774215
"Production, manufacturing, and related personnel",15-64 years old,3,4807673,414245
Other occupational categories that are difficult to classify,15-64 years old,3,62516,2876
"Party and government organs, mass organizations, and
social organizations, enterprise and public institution leaders",15-64 years old,4,376767,2628
Professional and Technical Personnel,15-64 years old,4,3768659,8136
Office clerks and related personnel,15-64 years old,4,1763530,4529
Social production service and daily service personnel,15-64 years old,4,9474681,98898
"Farm, Forestry, Animal Husbandry, and Fishery Production and Support Staff",15-64 years old,4,5259471,199104
"Production, manufacturing, and related personnel",15-64 years old,4,4807673,75528
Other occupational categories that are difficult to classify,15-64 years old,4,62516,572
"Party and government organs, mass organizations, and
social organizations, enterprise and public institution leaders",15-64 years old,5+,376767,613
Professional and Technical Personnel,15-64 years old,5+,3768659,1525
Office clerks and related personnel,15-64 years old,5+,1763530,1018
Social production service and daily service personnel,15-64 years old,5+,9474681,26141
"Farm, Forestry, Animal Husbandry, and Fishery Production and Support Staff",15-64 years old,5+,5259471,74073
"Production, manufacturing, and related personnel",15-64 years old,5+,4807673,20199
Other occupational categories that are difficult to classify,15-64 years old,5+,62516,147
