aircraft_name,quantity,service_period,notes
Junkers G-24,3,1928–1938,
Junkers F-13,4,1928–1945,
Junkers W-33,2,1928,
Junkers W-34,5,1931–1945,
Junkers Ju-46,2,1934–1945,
Junkers Ju 52/3m,16,1934–1945,some operated as floatplanes
Focke-Wulf Fw 200 Condor,2,1939–1947,
Focke-Wulf Fw58c Weihe,2,1940–1942,
Douglas DC-3/C-47,50,1945–1974,
Lockheed 12A,2,1945,
Beechcraft AT-11,5,1946–1968,
Douglas DC-4,3,1946–1952,
Convair 340,4,1954–1967,
Douglas C-39,1,1955–1961,
Fairchild C-82A Packet,10,1957–1970,
Convair 440,5,1958–1967,
Convair 240,10,1958–1967,
Sud Aviation SE-210 Caravelle VI,7,1962–1975,3 Received from Panair do Brasil
Consolidated PBY-5A/6A Catalina,3,1965–1969,Received from Panair do Brasil
NAMC YS-11/11A,11,1967–1977,
Boeing 727-100,8,1971–1993,
Boeing 737-200,6,1975–1993,
Airbus A300B4,2,1980–1993,
McDonnell Douglas MD-82,1,1982–1983,
