year,award_ceremony,award_category,recipient,outcome
2013,Korea Drama Awards,"Excellence Award, Actress",Eugene,Nominated
2013,Korea Drama Awards,Best Production Director,Joo Sung-woo,Nominated
2013,APAN Star Awards,"Excellence Award, Actress",Eugene,Nominated
2013,MBC Drama Awards,Drama of the Year,A Hundred Year Legacy,Won
2013,MBC Drama Awards,"Top Excellence Award, Actor in a Drama Serial",Lee Jung-jin,Won
2013,MBC Drama Awards,"Top Excellence Award, Actress in a Drama Serial",Eugene,Nominated
2013,MBC Drama Awards,"Top Excellence Award, Actress in a Drama Serial",Park Won-sook,Nominated
2013,MBC Drama Awards,"Golden Acting Award, Actor",Jung Bo-seok,Won
2013,MBC Drama Awards,Writer of the Year,Gu Hyun-sook,Won
2013,MBC Drama Awards,Lifetime Achievement Award,Park Won-sook,Won
2014,WorldFest-Houston International Film Festival,Bronze Remi Award for Dramatic TV Series,A Hundred Year Legacy,Won
