agency,period,amount
department of health and human services,49197,34222
department of energy,49197,14896
national aeronautics and space administration,49197,10704
national science foundation,49197,5938
department of agriculture,49197,2585
department of veterans affairs,49197,1346
department of commerce,49197,1794
department of transportation,49197,904
department of the interior,49197,953
patient-centered outcomes research trust fund,49197,463
department of homeland security,49197,724
smithsonian institution,49197,251
environmental protection agency,49197,497
department of education,49197,254
other,49197,561
department of health and human services,43616,33772
department of energy,43616,15006
national aeronautics and space administration,43616,10243
national science foundation,43616,6030
department of agriculture,43616,2487
department of veterans affairs,43616,1338
department of commerce,43616,1833
department of transportation,43616,929
department of the interior,43616,964
patient-centered outcomes research trust fund,43616,501
department of homeland security,43616,672
smithsonian institution,43616,242
environmental protection agency,43616,496
department of education,43616,243
other,43616,629
department of health and human services,57156,24742
department of energy,57156,12685
national aeronautics and space administration,57156,10651
national science foundation,57156,4177
department of agriculture,57156,2914
department of veterans affairs,57156,1345
department of commerce,57156,1361
department of transportation,57156,826
department of the interior,57156,759
patient-centered outcomes research trust fund,57156,622
department of homeland security,57156,548
smithsonian institution,57156,271
environmental protection agency,57156,269
department of education,57156,240
other,57156,490
department of health and human services,13540,-9030
department of energy,13540,-2321
national aeronautics and space administration,13540,408
national science foundation,13540,-1853
department of agriculture,13540,-573
department of veterans affairs,13540,7
department of commerce,13540,-472
department of transportation,13540,-103
department of the interior,13540,-205
patient-centered outcomes research trust fund,13540,121
department of homeland security,13540,-124
smithsonian institution,13540,29
environmental protection agency,13540,-227
department of education,13540,-3
other,13540,-139
department of health and human services,31,-27
department of energy,31,-15
national aeronautics and space administration,31,4
national science foundation,31,-31
department of agriculture,31,-23
department of veterans affairs,31,1
department of commerce,31,-26
department of transportation,31,-11
department of the interior,31,-21
patient-centered outcomes research trust fund,31,24
department of homeland security,31,-18
smithsonian institution,31,12
environmental protection agency,31,-46
department of education,31,-1
other,31,-22
