topic,category,cohort_id,language,percentage
,,1,French,86.1
,,1,English,84.6
,,2,French,82.1
,,2,English,78.3
,,3,French,92.8
,,3,English,76.6
,,1,French,7.5
,,1,English,8.0
,,2,French,14.9
,,2,English,17.8
,,3,French,7.2
,,3,English,23.4
,,1,French,6.4
,,1,English,7.2
,,2,French,0.0
,,2,English,3.8
,,3,French,0.0
,,3,English,0.0
religion,,1,French,0.0
religion,,1,English,8.3
religion,,2,French,0.0
religion,,2,English,12.7
religion,,3,French,0.0
religion,,3,English,0.0
religion,,1,French,93.6
religion,,1,English,15.0
religion,,2,French,92.5
religion,,2,English,19.1
religion,,3,French,96.4
religion,,3,English,59.4
religion,,1,French,2.7
religion,,1,English,7.8
religion,,2,French,0.0
religion,,2,English,0.0
religion,,3,French,0.0
religion,,3,English,0.0
religion,,1,French,0.0
religion,,1,English,0.0
religion,,2,French,0.0
religion,,2,English,0.0
religion,,3,French,0.0
religion,,3,English,0.0
religion,,1,French,0.0
religion,,1,English,11.5
religion,,2,French,0.0
religion,,2,English,25.5
religion,,3,French,0.0
religion,,3,English,21.9
religion,,1,French,0.0
religion,,1,English,37.4
religion,,2,French,0.0
religion,,2,English,25.5
religion,,3,French,0.0
religion,,3,English,0.0
religion,,1,French,0.0
religion,,1,English,0.0
religion,,2,French,0.0
religion,,2,English,0.0
religion,,3,French,0.0
religion,,3,English,0.0
religion,,1,French,0.0
religion,,1,English,0.0
religion,,2,French,0.0
religion,,2,English,0.0
religion,,3,French,0.0
religion,,3,English,0.0
religion,,1,French,3.7
religion,,1,English,18.3
religion,,2,French,0.0
religion,,2,English,15.9
religion,,3,French,0.0
religion,,3,English,7.8
