team,season,division,apps,goals
manchester united,2006-07,premier league,0,0
manchester united,2006-07,premier league,0,0
manchester united,2006-07,premier league,0,0
manchester united,2006-07,premier league,0,0
oxford united,2006-07,conference premier,22,1
oxford united,2006-07,conference premier,0,0
oxford united,2006-07,conference premier,0,0
oxford united,2006-07,conference premier,2,1
oxford united,2007-08,conference premier,19,0
oxford united,2007-08,conference premier,1,0
oxford united,2007-08,conference premier,0,0
oxford united,2007-08,conference premier,2,0
newport county,2008-09,conference south,41,8
newport county,2008-09,conference south,2,1
newport county,2008-09,conference south,0,0
newport county,2008-09,conference south,0,0
newport county,2009-10,conference south,38,8
newport county,2009-10,conference south,2,0
newport county,2009-10,conference south,0,0
newport county,2009-10,conference south,0,0
newport county,2010-11,conference premier,46,6
newport county,2010-11,conference premier,0,0
newport county,2010-11,conference premier,0,0
newport county,2010-11,conference premier,0,0
newport county,2011-12,conference premier,24,11
newport county,2011-12,conference premier,1,0
newport county,2011-12,conference premier,0,0
newport county,2011-12,conference premier,0,0
fleetwood town,2011-12,conference premier,10,2
fleetwood town,2011-12,conference premier,0,0
fleetwood town,2011-12,conference premier,0,0
fleetwood town,2011-12,conference premier,0,0
aldershot town,2012-13,league two,34,2
aldershot town,2012-13,league two,3,0
aldershot town,2012-13,league two,0,0
aldershot town,2012-13,league two,0,0
oxford united,2013-14,league two,40,4
oxford united,2013-14,league two,3,1
oxford united,2013-14,league two,1,0
oxford united,2013-14,league two,0,0
oxford united,2014-15,league two,29,2
oxford united,2014-15,league two,3,1
oxford united,2014-15,league two,1,0
oxford united,2014-15,league two,1,0
oxford united,2015-16,league two,13,0
oxford united,2015-16,league two,3,0
oxford united,2015-16,league two,2,0
oxford united,2015-16,league two,1,0
northampton town,2015-16,league two,15,1
northampton town,2015-16,league two,0,0
northampton town,2015-16,league two,0,0
northampton town,2015-16,league two,0,0
portsmouth,2016-17,league two,38,5
portsmouth,2016-17,league two,1,0
portsmouth,2016-17,league two,0,0
portsmouth,2016-17,league two,1,0
portsmouth,2017-18,league one,15,0
portsmouth,2017-18,league one,0,0
portsmouth,2017-18,league one,1,0
portsmouth,2017-18,league one,2,0
portsmouth,2018-19,league one,1,0
portsmouth,2018-19,league one,0,0
portsmouth,2018-19,league one,0,0
portsmouth,2018-19,league one,4,0
