religion,time_period,percentage
Roman Catholic,1,72.3
Calvinist,1,4.8
Lutheran,1,5.3
Jewish,1,16.6
Others,1,1.0
Without religion,1,0.0
No answer,1,0.0
Roman Catholic,2,69.4
Calvinist,2,6.1
Lutheran,2,5.5
Jewish,2,19.7
Others,2,1.3
Without religion,2,0.0
No answer,2,0.0
Roman Catholic,3,64.7
Calvinist,3,7.4
Lutheran,3,5.6
Jewish,3,21.0
Others,3,1.3
Without religion,3,0.0
No answer,3,0.0
Roman Catholic,4,60.7
Calvinist,4,8.9
Lutheran,4,5.3
Jewish,4,23.6
Others,4,1.5
Without religion,4,0.0
No answer,4,0.0
Roman Catholic,5,59.8
Calvinist,5,9.9
Lutheran,5,4.9
Jewish,5,23.1
Others,5,2.2
Without religion,5,0.0
No answer,5,0.0
Roman Catholic,6,59.1
Calvinist,6,10.9
Lutheran,6,4.8
Jewish,6,23.2
Others,6,2.0
Without religion,6,0.0
No answer,6,0.0
Roman Catholic,7,60.7
Calvinist,7,12.1
Lutheran,7,5.0
Jewish,7,20.3
Others,7,1.9
Without religion,7,0.0
No answer,7,0.0
Roman Catholic,8,63.1
Calvinist,8,13.6
Lutheran,8,5.3
Jewish,8,15.8
Others,8,1.6
Without religion,8,0.0
No answer,8,0.0
Roman Catholic,9,69.8
Calvinist,9,15.5
Lutheran,9,5.4
Jewish,9,6.4
Others,9,1.4
Without religion,9,0.0
No answer,9,0.0
Roman Catholic,10,45.8
Calvinist,10,12.6
Lutheran,10,2.6
Jewish,10,0.5
Others,10,3.9
Without religion,10,19.5
No answer,10,15.1
Roman Catholic,11,28.9
Calvinist,11,8.5
Lutheran,11,1.7
Jewish,11,0.4
Others,11,3.5
Without religion,11,22.9
No answer,11,34.1
