album,metadata,country,sales
free,released: october 1969 label: island format: lp,uk,65.0
fire and water,"released: 26 june 1970 label: island formats: lp, cs",uk,2.0
highway,"released: december 1970 label: island formats: lp, cs",uk,4.0
free at last,released: june 1972 label: island format: lp,uk,9.0
heartbreaker,released: january 1973 label: island format: lp,uk,7.0
free,released: october 1969 label: island format: lp,ger,86.0
fire and water,"released: 26 june 1970 label: island formats: lp, cs",ger,30.0
highway,"released: december 1970 label: island formats: lp, cs",ger,43.0
free at last,released: june 1972 label: island format: lp,ger,
heartbreaker,released: january 1973 label: island format: lp,ger,9.0
free,released: october 1969 label: island format: lp,nor,32.0
fire and water,"released: 26 june 1970 label: island formats: lp, cs",nor,19.0
highway,"released: december 1970 label: island formats: lp, cs",nor,
free at last,released: june 1972 label: island format: lp,nor,
heartbreaker,released: january 1973 label: island format: lp,nor,
free,released: october 1969 label: island format: lp,us,177.0
fire and water,"released: 26 june 1970 label: island formats: lp, cs",us,17.0
highway,"released: december 1970 label: island formats: lp, cs",us,190.0
free at last,released: june 1972 label: island format: lp,us,
heartbreaker,released: january 1973 label: island format: lp,us,47.0
