product_type,nominal_diameter_mm,unit,mass_per_unit_length_kg_per_km
Helical Rib Wire, 5.000, kg/km,
Helical Rib Wire, 0.055, kg/km,
Helical Rib Wire, 0.063, kg/km,
Helical Rib Wire, 7.000, kg/km,
Helical Rib Wire, 8.000, kg/km,
Helical Rib Wire, 8.999, kg/km,
Helical Rib Wire, 0.100, kg/km,
Helical Rib Wire, 0.11, kg/km,
Helical Rib Wire, 0.12, kg/km,
Helical Rib Wire, 0.140, kg/km,
Helical Rib Wire, 0.16, kg/km,
Helical Rib Wire, 0.179, kg/km,
Helical Rib Wire, 0.200, kg/km,
Helical Rib Wire, 0.22, kg/km,
Helical Rib Wire, 0.25, kg/km,
Helical Rib Wire, 0.280, kg/km,
Helical Rib Wire, 0.280, kg/km,
Helical Rib Wire, 0.320, kg/km,
Helical Rib Wire, 0.350, kg/km,
Helical Rib Wire, 0.400, kg/km,
Helical Rib Wire, 0.450, kg/km,
Helical Rib Wire, 0.5, kg/km,
Helical Rib Wire, 0.550, kg/km,
Helical Rib Wire, 0.550, kg/km,
Helical Rib Wire, 0.63, kg/km,
Helical Rib Wire, 0.700, kg/km,
Helical Rib Wire, 0.800, kg/km,
Helical Rib Wire, 0.900, kg/km,
Helical Rib Wire, 1, kg/km,
Helical Rib Wire, 1.100, kg/km,
Helical Rib Wire, 1.2, kg/km,
Helical Rib Wire, 1.400, kg/km,
Helical Rib Wire, 1.600, kg/km,
Helical Rib Wire, 1.8, kg/km,
Helical Rib Wire, 2, kg/km,
Helical Rib Wire, 2.200, kg/km,
Helical Rib Wire, 2.5, kg/km,
Helical Rib Wire, 2.800, kg/km,
Helical Rib Wire, 2.800, kg/km,
Helical Rib Wire, 3.200, kg/km,
Helical Rib Wire, 3.5, kg/km,
Helical Rib Wire, 4, kg/km,
Helical Rib Wire, 4.5, kg/km,
Helical Rib Wire, 5, kg/km,
Helical Rib Wire, 5.5, kg/km,
Helical Rib Wire, 5.5, kg/km,
Helical Rib Wire, 6.299, kg/km,
Helical Rib Wire, 7, kg/km,
Helical Rib Wire, 8, kg/km,
Helical Rib Wire, 9, kg/km,
Helical Rib Wire, 10, kg/km,
Helical Rib Wire, 11, kg/km,
Helical Rib Wire, 12, kg/km,
Helical Rib Wire, 14, kg/km,
Helical Rib Wire, 16, kg/km,
