project,project_phase,asset_type,assessment_context,metric_group,metric_subtype,value
Yunhe Jinshang,,,Opening Edition,Purchase Commitment,,18000.0
Yunhe Jinshang,,,Opening Edition,Signing,,21500.0
Yunhe Jinshang,,,Regional Version,Purchase Commitment,,20100.0
Yunhe Jinshang,,,Regional Version,Signing,,27000.0
Yunhe Jinshang,,,Purchase Bottom Line (Projects Excluding Offsetting),Already Committed,,2554.1153
Yunhe Jinshang,,,Purchase Bottom Line (Projects Excluding Offsetting),Expected Purchase,,6005.0
Yunhe Jinshang,,,Purchase Bottom Line (Projects Excluding Offsetting),0715 Sprint,,10800.7454
Yunhe Jinshang,,,Signing Baseline (Projects Excluding Offsetting),Already converted to signing,,2441.2187
Yunhe Jinshang,,,Signing Baseline (Projects Excluding Offsetting),Normal pending signing ①②③④ mutually exclusive,,23514.0
Yunhe Jinshang,,,Signing Baseline (Projects Excluding Offsetting),Normal pending signing,① Among them: Intended to withdraw and cancel,7267.0
Yunhe Jinshang,,,Signing Baseline (Projects Excluding Offsetting),Normal pending signing,② Among them: Signed but not transferred,1124.0
Yunhe Jinshang,,,Signing Baseline (Projects Excluding Offsetting),Normal pending signing,④ Among them: Trade-in signable + FX,8300.0
Yunhe Jinshang,,,Signing Baseline (Projects Excluding Offsetting),0715 Sprint Signing,,18436.5933
Gucui Yinxiu,,,Opening Edition,Purchase Commitment,,2140.0
Gucui Yinxiu,,,Opening Edition,Signing,,2600.0
Gucui Yinxiu,,,Regional Version,Purchase Commitment,,1400.0
Gucui Yinxiu,,,Regional Version,Signing,,2800.0
Gucui Yinxiu,,,Purchase Bottom Line (Projects Excluding Offsetting),Already Committed,,944.6054000000001
Gucui Yinxiu,,,Purchase Bottom Line (Projects Excluding Offsetting),Projected New Additions,,1350.0
Gucui Yinxiu,,,Purchase Bottom Line (Projects Excluding Offsetting),0715 Sprint,,2314.6157
Gucui Yinxiu,,,Signing Baseline (Projects Excluding Offsetting),Already converted to signing,,1909.0
Gucui Yinxiu,,,Signing Baseline (Projects Excluding Offsetting),Normal pending signing ①②③④ mutually exclusive,,478.0
Gucui Yinxiu,,,Signing Baseline (Projects Excluding Offsetting),Normal pending signing,① Among them: Intended to withdraw and cancel,0.0
Gucui Yinxiu,,,Signing Baseline (Projects Excluding Offsetting),Normal pending signing,② Among them: Signed but not transferred,0.0
Gucui Yinxiu,,,Signing Baseline (Projects Excluding Offsetting),Normal pending signing,③ Among them: to be signed and signable,0.0
Gucui Yinxiu,,,Signing Baseline (Projects Excluding Offsetting),Normal pending signing,④ Among them: Trade-in signable + FX,0.0
Gucui Yinxiu,,,Signing Baseline (Projects Excluding Offsetting),New and signed,,395.0
Gucui Yinxiu,,,Signing Baseline (Projects Excluding Offsetting),0715 Sprint Signing,,1938.7658
Cuiwan Zhongcheng,,,Opening Edition,Purchase Commitment,,9500.0
Cuiwan Zhongcheng,,,Opening Edition,Signing,,10400.0
Cuiwan Zhongcheng,,,Regional Version,Purchase Commitment,,11500.0
Cuiwan Zhongcheng,,,Regional Version,Signing,,12210.0
Cuiwan Zhongcheng,,,Purchase Bottom Line (Projects Excluding Offsetting),Already Committed,,3602.6584
Cuiwan Zhongcheng,,,Purchase Bottom Line (Projects Excluding Offsetting),Expected Purchase,,5733.0
Cuiwan Zhongcheng,,,Purchase Bottom Line (Projects Excluding Offsetting),0715 Sprint,,4945.893
Cuiwan Zhongcheng,,,Signing Baseline (Projects Excluding Offsetting),Already converted to signing,,2094.0
Cuiwan Zhongcheng,,,Signing Baseline (Projects Excluding Offsetting),Normal pending signing ①②③④ mutually exclusive,,6128.0
Cuiwan Zhongcheng,,,Signing Baseline (Projects Excluding Offsetting),Normal pending signing,① Among them: Intended to withdraw and cancel,1410.0
Cuiwan Zhongcheng,,,Signing Baseline (Projects Excluding Offsetting),Normal pending signing,② Among them: Signed but not transferred,0.0
Cuiwan Zhongcheng,,,Signing Baseline (Projects Excluding Offsetting),Normal pending signing,③ Among them: to be signed and signable,1994.0
Cuiwan Zhongcheng,,,Signing Baseline (Projects Excluding Offsetting),Normal pending signing,④ Among them: Trade-in signable + FX,2418.0
Cuiwan Zhongcheng,,,Signing Baseline (Projects Excluding Offsetting),0715 Sprint Signing,,6279.838400000001
Future Times,,,Opening Edition,Purchase Commitment,,700.0
Future Times,,,Opening Edition,Signing,,3880.0
