category,dimension_instance,percentage
$0.01 to $1.00,1,92.7
$0.01 to $100.00,1,2.2
$100.01 to $1000,1,1.8
t1ff < t4 by over $1000,1,2.6
t1ff > t4 by over $1000,1,0.7
$0.01 to $1.00,2,95.0
$0.01 to $100.00,2,1.9
$100.01 to $1000,2,1.5
t1ff < t4 by over $1000,2,0.9
t1ff > t4 by over $1000,2,0.7
$0.01 to $1.00,3,94.2
$0.01 to $100.00,3,1.7
$100.01 to $1000,3,1.8
t1ff < t4 by over $1000,3,1.5
t1ff > t4 by over $1000,3,0.8
$0.01 to $1.00,4,94.6
$0.01 to $100.00,4,1.6
$100.01 to $1000,4,1.9
t1ff < t4 by over $1000,4,1.2
t1ff > t4 by over $1000,4,0.6
$0.01 to $1.00,5,94.5
$0.01 to $100.00,5,1.6
$100.01 to $1000,5,1.8
t1ff < t4 by over $1000,5,1.3
t1ff > t4 by over $1000,5,0.9
$0.01 to $1.00,6,94.4
$0.01 to $100.00,6,1.8
$100.01 to $1000,6,1.7
t1ff < t4 by over $1000,6,1.3
t1ff > t4 by over $1000,6,0.9
$0.01 to $1.00,7,94.2
$0.01 to $100.00,7,1.8
$100.01 to $1000,7,1.8
t1ff < t4 by over $1000,7,1.5
t1ff > t4 by over $1000,7,0.7
$0.01 to $1.00,8,94.7
$0.01 to $100.00,8,1.4
$100.01 to $1000,8,1.9
t1ff < t4 by over $1000,8,1.3
t1ff > t4 by over $1000,8,0.7
$0.01 to $1.00,9,95.1
$0.01 to $100.00,9,1.3
$100.01 to $1000,9,1.6
t1ff < t4 by over $1000,9,1.3
t1ff > t4 by over $1000,9,0.8
$0.01 to $1.00,10,95.7
$0.01 to $100.00,10,1.0
$100.01 to $1000,10,1.5
t1ff < t4 by over $1000,10,1.2
t1ff > t4 by over $1000,10,0.6
$0.01 to $1.00,11,96.1
$0.01 to $100.00,11,0.8
$100.01 to $1000,11,1.3
t1ff < t4 by over $1000,11,1.2
t1ff > t4 by over $1000,11,0.6
$0.01 to $1.00,12,96.5
$0.01 to $100.00,12,1.0
$100.01 to $1000,12,1.1
t1ff < t4 by over $1000,12,0.9
t1ff > t4 by over $1000,12,0.5
