family_size,population_group,percentage
1 child,total aboriginal children,25.9
1 child,first nations children,24.5
1 child,metis children,29.3
1 child,inuit children,23.9
1 child,non-aboriginal children,28.6
2 children,total aboriginal children,36.3
2 children,first nations children,33.4
2 children,metis children,43.0
2 children,inuit children,33.9
2 children,non-aboriginal children,46.6
3 children,total aboriginal children,21.2
3 children,first nations children,21.8
3 children,metis children,19.7
3 children,inuit children,22.4
3 children,non-aboriginal children,18.1
4 or more children,total aboriginal children,16.6
4 or more children,first nations children,20.3
4 or more children,metis children,8.0
4 or more children,inuit children,19.8
4 or more children,non-aboriginal children,6.7
