component,adjustment_magnitude,value
actual employer social contributions,-25.0,-25.0
imputed employer social contributions,-25.0,-25.0
property income received,-25.0,
current transfers,-25.0,
current transfers,-25.0,
household disposable income,-25.0,
change in pension entitlements,-25.0,
actual employer social contributions,25.0,25.0
imputed employer social contributions,25.0,25.0
property income received,25.0,5.0
current transfers,25.0,-75.0
current transfers,25.0,20.0
household disposable income,25.0,-55.0
change in pension entitlements,25.0,55.0
actual employer social contributions,-5.0,
imputed employer social contributions,-5.0,
property income received,-5.0,-5.0
current transfers,-5.0,75.0
current transfers,-5.0,-20.0
household disposable income,-5.0,
change in pension entitlements,-5.0,-55.0
