season,club,league,competition,apps,goals
2015,Shonan Bellmare,J1 League,League,0,0
2015,Shonan Bellmare,J1 League,Emperor's Cup,0,0
2015,Shonan Bellmare,J1 League,J. League Cup,0,0
2016,Shonan Bellmare,J1 League,League,0,0
2016,Shonan Bellmare,J1 League,Emperor's Cup,0,0
2016,Shonan Bellmare,J1 League,J. League Cup,0,0
2017,Shonan Bellmare,J2 League,League,0,0
2017,Shonan Bellmare,J2 League,Emperor's Cup,0,0
2017,Shonan Bellmare,J2 League,J. League Cup,0,0
2017,Fukushima United FC,J3 League,League,0,0
2017,Fukushima United FC,J3 League,Emperor's Cup,0,0
2017,Fukushima United FC,J3 League,J. League Cup,0,0
