region,metric_id,value
Beijing,1,0.15
Tianjin,1,0.0
Hebei,1,8.97
Shanxi,1,4.01
Inner Mongolia,1,1.57
Liaoning,1,10.71
Jilin,1,17.87
Heilongjiang,1,3.36
Shanghai,1,44.0
Jiangsu,1,22.39
Zhejiang,1,32.48
Anhui,1,8.29
Fujian,1,11.89
Jiangxi,1,3.95
Shandong,1,26.28
Henan,1,18.93
Hubei,1,20.8
Hunan,1,22.35
Guangdong,1,12.18
Guangxi,1,4.43
Hainan,1,4.65
Chongqing,1,3.94
Sichuan,1,13.12
Guizhou,1,8.26
Yunnan,1,15.53
Tibet,1,0.0
Shaanxi,1,4.86
Gansu,1,4.67
Qinghai,1,0.22
Ningxia,1,4.24
Xinjiang,1,6.37
Beijing,2,1.83
Tianjin,2,0.58
Hebei,2,15.41
Shanxi,2,3.23
Inner Mongolia,2,6.23
Liaoning,2,22.63
Jilin,2,12.17
Heilongjiang,2,7.68
Shanghai,2,0.0
Jiangsu,2,37.59
Zhejiang,2,51.28
Anhui,2,18.92
Fujian,2,14.2
Jiangxi,2,5.97
Shandong,2,36.61
Henan,2,26.91
Hubei,2,14.14
Hunan,2,61.45
Guangdong,2,10.62
Guangxi,2,7.56
Hainan,2,0.23
Chongqing,2,16.21
Sichuan,2,26.91
Guizhou,2,7.84
Yunnan,2,11.74
Tibet,2,0.0
Shaanxi,2,16.65
Gansu,2,4.05
Qinghai,2,3.0
Ningxia,2,3.19
Xinjiang,2,2.42
Beijing,3,75.0
Tianjin,3,1.67
Hebei,3,50.78
Shanxi,3,10.39
Inner Mongolia,3,7.67
Liaoning,3,11.24
Jilin,3,34.23
Heilongjiang,3,3.5
Shanghai,3,
Jiangsu,3,136.24
Zhejiang,3,139.5
Anhui,3,15.42
Fujian,3,8.13
Jiangxi,3,14.85
Shandong,3,67.83
Henan,3,41.39
Hubei,3,20.61
Hunan,3,64.58
Guangdong,3,24.92
Guangxi,3,11.27
Hainan,3,1.1
Chongqing,3,17.33
Sichuan,3,54.44
Guizhou,3,26.27
Yunnan,3,17.26
Tibet,3,2.2
Shaanxi,3,14.48
Gansu,3,920.96
Qinghai,3,2.03
Ningxia,3,2.4
Xinjiang,3,14.5
Beijing,4,36.9
Tianjin,4,6.2
Hebei,4,35.47
Shanxi,4,5.83
Inner Mongolia,4,2.36
Liaoning,4,21.24
Jilin,4,12.66
Heilongjiang,4,7.89
Shanghai,4,
Jiangsu,4,266.83
Zhejiang,4,386.01
Anhui,4,27.05
Fujian,4,18.64
Jiangxi,4,82.33
Shandong,4,92.65
Henan,4,45.77
Hubei,4,210.51
Hunan,4,47.87
Guangdong,4,49.83
Guangxi,4,15.34
Hainan,4,2.0
Chongqing,4,27.44
Sichuan,4,42.27
Guizhou,4,10.8
Yunnan,4,1386.79
Tibet,4,
Shaanxi,4,11.25
Gansu,4,6.37
Qinghai,4,0.8
Ningxia,4,4.97
Xinjiang,4,15.79
Beijing,5,56.6
Tianjin,5,
Hebei,5,50.7
Shanxi,5,13.5
Inner Mongolia,5,2.6
Liaoning,5,36.6
Jilin,5,9.8
Heilongjiang,5,19.5
Shanghai,5,88.1
Jiangsu,5,310.6
