age_group,women_of_childbearing_age,birth_order,value_type,value
15,7133,First,number_of_births,0.0
15,7133,First,fertility_rate,0.0
15,7133,Second,number_of_births,0.0
15,7133,Second,fertility_rate,0.0
15,7133,Third and above,number_of_births,0.0
15,7133,Third and above,fertility_rate,0.0
16,5792,First,number_of_births,3.0
16,5792,First,fertility_rate,0.52
16,5792,Second,number_of_births,0.0
16,5792,Second,fertility_rate,0.0
16,5792,Third and above,number_of_births,0.0
16,5792,Third and above,fertility_rate,0.0
17,5050,First,number_of_births,15.0
17,5050,First,fertility_rate,2.97
17,5050,Second,number_of_births,0.0
17,5050,Second,fertility_rate,0.0
17,5050,Third and above,number_of_births,0.0
17,5050,Third and above,fertility_rate,0.0
18,3825,First,number_of_births,17.0
18,3825,First,fertility_rate,4.44
18,3825,Second,number_of_births,0.0
18,3825,Second,fertility_rate,0.0
18,3825,Third and above,number_of_births,0.0
18,3825,Third and above,fertility_rate,0.0
19,3272,First,number_of_births,73.0
19,3272,First,fertility_rate,22.31
19,3272,Second,number_of_births,1.0
19,3272,Second,fertility_rate,0.31
19,3272,Third and above,number_of_births,0.0
19,3272,Third and above,fertility_rate,0.0
20,3209,First,number_of_births,264.0
20,3209,First,fertility_rate,82.27
20,3209,Second,number_of_births,13.0
20,3209,Second,fertility_rate,4.05
20,3209,Third and above,number_of_births,1.0
20,3209,Third and above,fertility_rate,0.31
21,3538,First,number_of_births,400.0
21,3538,First,fertility_rate,113.06
21,3538,Second,number_of_births,16.0
21,3538,Second,fertility_rate,4.52
21,3538,Third and above,number_of_births,2.0
21,3538,Third and above,fertility_rate,0.57
22,4146,First,number_of_births,533.0
22,4146,First,fertility_rate,128.56
22,4146,Second,number_of_births,40.0
22,4146,Second,fertility_rate,9.65
22,4146,Third and above,number_of_births,4.0
22,4146,Third and above,fertility_rate,0.96
23,4055,First,number_of_births,513.0
23,4055,First,fertility_rate,126.51
23,4055,Second,number_of_births,44.0
23,4055,Second,fertility_rate,10.85
23,4055,Third and above,number_of_births,10.0
23,4055,Third and above,fertility_rate,2.47
24,3323,First,number_of_births,397.0
24,3323,First,fertility_rate,119.47
24,3323,Second,number_of_births,50.0
24,3323,Second,fertility_rate,15.05
24,3323,Third and above,number_of_births,2.0
24,3323,Third and above,fertility_rate,0.6
25,3723,First,number_of_births,354.0
25,3723,First,fertility_rate,95.08
25,3723,Second,number_of_births,81.0
25,3723,Second,fertility_rate,21.76
25,3723,Third and above,number_of_births,6.0
25,3723,Third and above,fertility_rate,1.61
26,3485,First,number_of_births,259.0
26,3485,First,fertility_rate,74.32
26,3485,Second,number_of_births,127.0
26,3485,Second,fertility_rate,36.44
26,3485,Third and above,number_of_births,15.0
26,3485,Third and above,fertility_rate,4.3
27,3363,First,number_of_births,188.0
27,3363,First,fertility_rate,55.9
27,3363,Second,number_of_births,131.0
27,3363,Second,fertility_rate,38.95
27,3363,Third and above,number_of_births,12.0
27,3363,Third and above,fertility_rate,3.57
28,3818,First,number_of_births,141.0
28,3818,First,fertility_rate,36.93
28,3818,Second,number_of_births,167.0
28,3818,Second,fertility_rate,43.74
28,3818,Third and above,number_of_births,16.0
28,3818,Third and above,fertility_rate,4.19
29,4298,First,number_of_births,125.0
29,4298,First,fertility_rate,29.08
29,4298,Second,number_of_births,188.0
29,4298,Second,fertility_rate,43.74
29,4298,Third and above,number_of_births,29.0
29,4298,Third and above,fertility_rate,6.75
30,4856,First,number_of_births,89.0
30,4856,First,fertility_rate,18.33
30,4856,Second,number_of_births,197.0
30,4856,Second,fertility_rate,40.57
30,4856,Third and above,number_of_births,19.0
30,4856,Third and above,fertility_rate,3.91
31,5066,First,number_of_births,57.0
31,5066,First,fertility_rate,11.25
31,5066,Second,number_of_births,189.0
31,5066,Second,fertility_rate,37.31
31,5066,Third and above,number_of_births,17.0
31,5066,Third and above,fertility_rate,3.36
32,5320,First,number_of_births,40.0
32,5320,First,fertility_rate,7.52
32,5320,Second,number_of_births,162.0
32,5320,Second,fertility_rate,30.45
32,5320,Third and above,number_of_births,21.0
32,5320,Third and above,fertility_rate,3.95
