section,metric,year,value
,total population,2013,29188
,number of volunteers,2013,12716
volunteer hours,total annual volunteer hours,2013,1957
volunteer hours,average annual volunteer hours,2013,154
,total population,2010,28206
,number of volunteers,2010,13249
volunteer hours,total annual volunteer hours,2010,2063
volunteer hours,average annual volunteer hours,2010,156
,total population,2007,27000
,number of volunteers,2007,12444
volunteer hours,total annual volunteer hours,2007,2062
volunteer hours,average annual volunteer hours,2007,166
,total population,2004,26021
,number of volunteers,2004,11773
volunteer hours,total annual volunteer hours,2004,1978
volunteer hours,average annual volunteer hours,2004,168
