municipality,parish_or_location,church_name,locality,built_year,image_filename
Frosta,Frosta,Logtun Church (Historic church),Logtun,1500s,None
Levanger,Alstadhaug,Alstadhaug Church,Alstadhaug,1180,Alstadhaug kirke 001.JPG
Levanger,Ekne,Ekne Church,Ekne,1893,None
Levanger,Levanger Church,1902,-,-,None
Levanger,Bamberg Church,1998,-,-,None
Levanger,Markabygd,Markabygda Church,Markabygd,1887,None
Levanger,Okkenhaug,Okkenhaug Chapel,Okkenhaug,1893,None
Levanger,Ytterøy,Ytterøy Church,Ytterøy,1890,None
Levanger,Åsen,Åsen Church,Åsen,1904,Åsen kyrkje.JPG
Verdal,Stiklestad,Stiklestad Church,Stiklestad,1180,None
Verdal,Stiklestad,Verdalsøra Chapel,Verdalsøra,1969,None
Verdal,Vera,Vera Church,Vera,1899,None
Verdal,Vinne,Vinne Church,Vinne,1817,None
Verdal,Vuku,Vuku Church,Vuku,1655,None
