date,city,district,address,land_use_code_1,land_use_name_1,land_use_code_2,land_use_name_2,area_total,area_approved,floor_area_ratio,transaction_price,sale_status,final_sale_price,sale_date
2015-08-05,Beijing City,Chaoyang District,"Beijing Chaoyang District Sunhe Township Xidian Village 2902-l01, 2902-l02 Plot",a61,Institutional Elderly Care Facilities Land,r2,Class II Residential Land,69123,89860,,196000,Not Sold,0,
2015-08-05,Beijing City,Chaoyang District,"Beijing Chaoyang District Sunhe Township Xidian Village 2902-l01, 2902-l02 Plot",a61,Institutional Elderly Care Facilities Land,r2,Class II Residential Land,69123,89860,,196000,Not Sold,0,
2015-08-03,Beijing City,Chaoyang District,Beijing Chaoyang District Dongba Nanqu 1106-657 Plot,f1,residential mixed public building land,,,63913,159783,,305000,Not Sold,0,
2015-07-30,Beijing City,Chaoyang District,"Beijing Chaoyang District Sunhe Township Beidian West Village 2902-18, 2902-19, 2902-27 Plot",f1,residential mixed public building land,r2,second-class residential land,121096,143685,,432200,Not Sold,0,
2015-07-28,Beijing City,Fengtai District,Beijing Fengtai District Nanyuan Town Shiliuzhuang Village 0517-659 and other plots,f1,residential mixed public building land,a33,basic education land,84985,166387,,335000,Not Sold,0,
2015-07-03,Beijing City,Daxing District,Beijing Economic-Technological Development Zone Ludong District E6M-1 Plot,,Industrial,,,106518,213036,,18534,Not Sold,0,
2015-06-12,Beijing City,Fangshan District,"Fangshan District, Beijing City, Gongchen Subdistrict, Plot 16-01-07 and other plots",b4,Comprehensive commercial,,financial,112608,226086,,227000,Already Sold,317800,2015-07-16
2015-06-12,Beijing City,Fangshan District,"Fangshan District, Beijing, Gongchen Street, 16-03-04, 16-01-05 and other plots",r2,second category residential land,b4,comprehensive commercial and financial services land,103406,176437,1.7,111000,Already Sold,157000,2015-07-16
2015-06-11,Beijing City,Fengtai District,Beijing Fengtai District Huaxiang Sihenzhuang (Zhongguancun Science Park Fengtai Park East Area Phase III) Plot 1516-12-a,b4,comprehensive commercial,,financial,27500,110000,4.0,129000,Already Sold,176000,2015-07-15
2015-06-01,Beijing City,Daxing District,"Daxing District, Beijing, Yinghai Town Area, Plot DX08-0002-0301",f1,residential mixed public building land,,,61031,152577,2.5,173000,Already Sold,259500,2015-07-07
2015-05-29,Beijing City,Daxing District,Beijing Daxing District Yinghai Town District DX08-0002-0304 and other plots,f1,residential mixed public building land,a33,basic education land,57932,137735,2.38,152000,Already Sold,228000,2015-07-03
2015-05-28,Beijing City,Daxing District,"Panggezhuang Town, Daxing District, Beijing City, PGZ01-04, PGZ01-05 plots",f3,other multi-functional land use,f2,public building mixed residential land use,118127,198800,,117000,Already Sold,200000,2015-07-02
2015-05-27,Beijing City,Daxing District,"Pgz02-34 Plot, Panguezhuang Town, Daxing District, Beijing",b4,comprehensive commercial,,financial,24464,48928,,28200,Already Sold,46800,2015-07-01
2015-05-26,Beijing City,Daxing District,"Panggezhuang Town, Daxing District, Beijing City, PGZ01-01, PGZ01-02 Plot",f3,other multi-functional land use,f2,public building mixed residential land use,158280,266222,1.68,151000,Already Sold,241000,2015-06-30
2015-05-25,Beijing City,Daxing District,"Daxing District New Town Northern Area dx00-0301-6001 Plot, Beijing Municipality",f3,Other Multi-functional Land Use,,,38024,106468,,87000,Already Sold,97000,2015-06-30
2015-05-22,Beijing City,Daxing District,"Daxing District, Beijing City, Caiyu Town District No. 6-1 Land Level One Development Project Block 01-0044",b4,comprehensive commercial,,financial,13921,16705,,10500,Already Sold,12200,2015-06-26
2015-05-21,Beijing City,Daxing District,"Xianghai Town, Daxing District, Beijing City, Jiangchang Village, Lot 02-1-1",r2,second-class residential land,,,13542,18958,1.4,15000,Already Sold,22500,2015-06-25
2015-03-31,Beijing City,Miyun County,"Miyun County, Beijing, Shilipu Town, Shuangjing Village, North Side, MY00-0204-L002, 6006, L001 Plot",r2,second-class residential land,a33,basic education land,96640,142550,,53700,Already Sold,72500,2015-05-05
2015-03-26,Beijing City,Fengtai District,Beijing Fengtai District Xiaotun West Road Plot,r2,second-class residential land,r53,kindergarteen and nursery land,93400,290000,3.1,0,Already Sold,485745,2015-04-20
2015-03-23,Beijing City,Haidian District,Beijing Haidian Northern Area Overall Development Zhongguancun Yongfeng Industrial Park HD-0402-0030 Block,f1,residential mixed public building land,,,65219,208702,3.2,378700,Already Sold,564000,2015-04-27
2015-03-23,Beijing City,Fengtai District,"Lize Road, Fengtai District, Beijing City, E-01, E-05, E-06 Land Parcels",c2,commercial and financial land,,,35709,336000,,504000,Already Sold,504000,2015-04-27
2015-03-05,Beijing City,Tongzhou District,Beijing Tongzhou District Taihu Town 4-1-020 and other plots F2 public building mixed residential land and 4-1-034 and other plots,f2,public facility mixed residential land,f3,other multi-functional land,144005,258968,1.8,0,Already Sold,200000,2015-03-30
2015-03-04,Beijing City,Shunyi District,Shunyi District Gaoliying Town Zhongguancun Lvkong International 3-2-4 (South Area) Plot,m1,industrial land for first category,,,13289,10631,,1597,Already Sold,1597,2015-04-08
2015-03-04,Beijing City,Shunyi District,Shunyi District Gaoliying Town Zhongguancun Lvkong International 5-3-2 Plot,m1,industrial land for first category,,,56803,45442,,7121,Already Sold,7121,2015-04-08
2015-02-13,Beijing City,Tongzhou District,Beijing Tongzhou District Songzhuang Town 0301-1201 Plot,f3,Other Multi-functional Land Use,,,65873,164683,,78000,Already Sold,108000,2015-03-24
2015-02-04,Beijing City,Shunyi District,Shunyi District Zhaoquanying B5-02 Plot,m1,industrial land for first category,,,71328,57063,,8968,Already Sold,8968,2015-03-16
