industry_cn,industry_en,section_header,metric,unit,value
Coal Mining and Washing Industry,Coal Mining and Dressing,,Number of Enterprises | (piece) | Number of | (unit),(unit),24.0
Coal Mining and Washing Industry,Coal Mining and Dressing,,Total industrial output value | Gross | Output,,48.39
Coal Mining and Washing Industry,Coal Mining and Dressing,,Added Value | added,,21.18
Coal Mining and Washing Industry,Coal Mining and Dressing,,Total Assets | Total | Assets,,101.54
Coal Mining and Washing Industry,Coal Mining and Dressing,,Current assets | Total | Circulating | Funds,,35.5
Coal Mining and Washing Industry,Coal Mining and Dressing,,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,37.09
Coal Mining and Washing Industry,Coal Mining and Dressing,,Fixed Assets | original price | Original | of Fixed | Assets,,68.77
Coal Mining and Washing Industry,Coal Mining and Dressing,,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),35.98
Coal Mining and Washing Industry,Coal Mining and Dressing,,Total Liabilities | Total | Liabilities,,72.09
Coal Mining and Washing Industry,Coal Mining and Dressing,,Current Liabilities | Total | Liquid | Liabilities,,43.41
Coal Mining and Washing Industry,Coal Mining and Dressing,,Owner's equity | Equity | Creditors' | Equity,,29.36
Coal Mining and Washing Industry,Coal Mining and Dressing,,Main business operations | Income | Main | Business | Revenue,,46.44
Coal Mining and Washing Industry,Coal Mining and Dressing,,Main business operations | Cost | Main | Business | Cost,,35.04
Coal Mining and Washing Industry,Coal Mining and Dressing,,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.57
Coal Mining and Washing Industry,Coal Mining and Dressing,,Profit Total | Total | Profits,,0.55
Coal Mining and Washing Industry,Coal Mining and Dressing,,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,4.25
Coal Mining and Washing Industry,Coal Mining and Dressing,,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),8.08
Petroleum and Natural Gas Extraction Industry,Petroleum and Natural Gas Extraction,,Number of Enterprises | (piece) | Number of | (unit),(unit),10.0
Petroleum and Natural Gas Extraction Industry,Petroleum and Natural Gas Extraction,,Total industrial output value | Gross | Output,,239.72
Petroleum and Natural Gas Extraction Industry,Petroleum and Natural Gas Extraction,,Added Value | added,,89.57
Petroleum and Natural Gas Extraction Industry,Petroleum and Natural Gas Extraction,,Total Assets | Total | Assets,,436.91
Petroleum and Natural Gas Extraction Industry,Petroleum and Natural Gas Extraction,,Current assets | Total | Circulating | Funds,,112.11
Petroleum and Natural Gas Extraction Industry,Petroleum and Natural Gas Extraction,,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,91.41
Petroleum and Natural Gas Extraction Industry,Petroleum and Natural Gas Extraction,,Fixed Assets | original price | Original | of Fixed | Assets,,229.05
Petroleum and Natural Gas Extraction Industry,Petroleum and Natural Gas Extraction,,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),123.99
Petroleum and Natural Gas Extraction Industry,Petroleum and Natural Gas Extraction,,Total Liabilities | Total | Liabilities,,179.36
Petroleum and Natural Gas Extraction Industry,Petroleum and Natural Gas Extraction,,Current Liabilities | Total | Liquid | Liabilities,,72.02
Petroleum and Natural Gas Extraction Industry,Petroleum and Natural Gas Extraction,,Owner's equity | Equity | Creditors' | Equity,,255.99
Petroleum and Natural Gas Extraction Industry,Petroleum and Natural Gas Extraction,,Main business operations | Income | Main | Business | Revenue,,286.48
Petroleum and Natural Gas Extraction Industry,Petroleum and Natural Gas Extraction,,Main business operations | Cost | Main | Business | Cost,,227.03
Petroleum and Natural Gas Extraction Industry,Petroleum and Natural Gas Extraction,,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,5.18
Petroleum and Natural Gas Extraction Industry,Petroleum and Natural Gas Extraction,,Profit Total | Total | Profits,,16.32
Petroleum and Natural Gas Extraction Industry,Petroleum and Natural Gas Extraction,,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,9.3
Petroleum and Natural Gas Extraction Industry,Petroleum and Natural Gas Extraction,,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),8.85
Ferrous Metal Ore Mining and Dressing Industry,Ferrous Metals Mining and Dressing,,Number of Enterprises | (piece) | Number of | (unit),(unit),6.0
Ferrous Metal Ore Mining and Dressing Industry,Ferrous Metals Mining and Dressing,,Total industrial output value | Gross | Output,,19.06
Ferrous Metal Ore Mining and Dressing Industry,Ferrous Metals Mining and Dressing,,Added Value | added,,9.37
Ferrous Metal Ore Mining and Dressing Industry,Ferrous Metals Mining and Dressing,,Total Assets | Total | Assets,,17.93
Ferrous Metal Ore Mining and Dressing Industry,Ferrous Metals Mining and Dressing,,Current assets | Total | Circulating | Funds,,11.16
Ferrous Metal Ore Mining and Dressing Industry,Ferrous Metals Mining and Dressing,,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,8.43
Ferrous Metal Ore Mining and Dressing Industry,Ferrous Metals Mining and Dressing,,Fixed Assets | original price | Original | of Fixed | Assets,,5.4
Ferrous Metal Ore Mining and Dressing Industry,Ferrous Metals Mining and Dressing,,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),2.86
Ferrous Metal Ore Mining and Dressing Industry,Ferrous Metals Mining and Dressing,,Total Liabilities | Total | Liabilities,,11.63
Ferrous Metal Ore Mining and Dressing Industry,Ferrous Metals Mining and Dressing,,Current Liabilities | Total | Liquid | Liabilities,,10.1
