team,season,competition,apps,goals
hibernian,1977-78,scottish premier division,6,0
hibernian,1977-78,scottish premier division,0,0
hibernian,1977-78,scottish premier division,2,1
rangers,1975-76,scottish premier division,26,10
rangers,1975-76,scottish premier division,5,3
rangers,1975-76,scottish premier division,4,0
rangers,1976-77,scottish premier division,7,0
rangers,1976-77,scottish premier division,0,0
rangers,1976-77,scottish premier division,5,1
rangers,1977-78,scottish premier division,0,0
rangers,1977-78,scottish premier division,0,0
rangers,1977-78,scottish premier division,2,0
philadelphia fury,1978,nasl,17,3
leicester city,1978-79,second division,33,4
leicester city,1978-79,second division,2,2
leicester city,1978-79,second division,0,0
leicester city,1979-80,second division,36,5
leicester city,1979-80,second division,2,1
leicester city,1979-80,second division,2,0
leicester city,1980-81,first division,22,3
leicester city,1980-81,first division,1,1
leicester city,1980-81,first division,2,0
chesterfield,1981-82,third division,44,13
chesterfield,1981-82,third division,2,1
chesterfield,1981-82,third division,1,0
chesterfield,1982-83,third division,40,10
chesterfield,1982-83,third division,1,0
chesterfield,1982-83,third division,5,0
chesterfield,1983-84,fourth division,3,0
chesterfield,1983-84,fourth division,0,0
chesterfield,1983-84,fourth division,1,0
port vale,1983-84,third division,27,7
port vale,1983-84,third division,1,0
port vale,1983-84,third division,0,0
