club,season,division,competition,apps,goals
Vojvodina,2015–16,SuperLiga,SuperLiga,0,0
Vojvodina,2015–16,SuperLiga,First League,0,0
Vojvodina,2015–16,SuperLiga,Other,0,0
Vojvodina,2016–17,SuperLiga,SuperLiga,1,0
Vojvodina,2016–17,SuperLiga,First League,0,0
Vojvodina,2016–17,SuperLiga,Serbian League Vojvodina,0,0
Vojvodina,2016–17,SuperLiga,Other,1,0
Vojvodina,2017–18,SuperLiga,SuperLiga,4,0
Vojvodina,2017–18,SuperLiga,First League,0,0
Vojvodina,2017–18,SuperLiga,Serbian League Vojvodina,0,0
Vojvodina,2017–18,SuperLiga,Other,4,0
ČSK Čelarevo (loan),2017–18,First League,SuperLiga,8,0
ČSK Čelarevo (loan),2017–18,First League,First League,0,0
ČSK Čelarevo (loan),2017–18,First League,Other,8,0
Cement Beočin (loan),2018–19,Serbian League Vojvodina,SuperLiga,16,1
Cement Beočin (loan),2018–19,Serbian League Vojvodina,Serbian League Vojvodina,16,1
