subgroup_type,subgroup_label,group_id,year,percentage
sex,men,1,2003,58.0
sex,men,1,2008,49.0
sex,men,1,2013,44.0
sex,men,2,2003,57.0
sex,men,2,2008,55.0
sex,men,2,2013,50.0
sex,women,1,2003,53.0
sex,women,1,2008,46.0
sex,women,1,2013,43.0
sex,women,2,2003,64.0
sex,women,2,2008,61.0
sex,women,2,2013,57.0
age group,15 to 24 years,1,2003,84.0
age group,15 to 24 years,1,2008,77.0
age group,15 to 24 years,1,2013,73.0
age group,15 to 24 years,2,2003,89.0
age group,15 to 24 years,2,2008,87.0
age group,15 to 24 years,2,2013,76.0
age group,25 to 34 years,1,2003,57.0
age group,25 to 34 years,1,2008,46.0
age group,25 to 34 years,1,2013,45.0
age group,25 to 34 years,2,2003,71.0
age group,25 to 34 years,2,2008,69.0
age group,25 to 34 years,2,2013,62.0
age group,35 to 44 years,1,2003,50.0
age group,35 to 44 years,1,2008,45.0
age group,35 to 44 years,1,2013,38.0
age group,35 to 44 years,2,2003,57.0
age group,35 to 44 years,2,2008,58.0
age group,35 to 44 years,2,2013,54.0
age group,45 to 54 years,1,2003,48.0
age group,45 to 54 years,1,2008,42.0
age group,45 to 54 years,1,2013,36.0
age group,45 to 54 years,2,2003,51.0
age group,45 to 54 years,2,2008,49.0
age group,45 to 54 years,2,2013,47.0
age group,55 to 64 years,1,2003,47.0
age group,55 to 64 years,1,2008,38.0
age group,55 to 64 years,1,2013,35.0
age group,55 to 64 years,2,2003,47.0
age group,55 to 64 years,2,2008,44.0
age group,55 to 64 years,2,2013,44.0
age group,65 to 74 years,1,2003,50.0
age group,65 to 74 years,1,2008,38.0
age group,65 to 74 years,1,2013,36.0
age group,65 to 74 years,2,2003,46.0
age group,65 to 74 years,2,2008,41.0
age group,65 to 74 years,2,2013,44.0
age group,75 years and older,1,2003,44.0
age group,75 years and older,1,2008,37.0
age group,75 years and older,1,2013,41.0
age group,75 years and older,2,2003,40.0
age group,75 years and older,2,2008,38.0
age group,75 years and older,2,2013,40.0
province,newfoundland and labrador,1,2003,75.0
province,newfoundland and labrador,1,2008,61.0
province,newfoundland and labrador,1,2013,57.0
province,newfoundland and labrador,2,2003,73.0
province,newfoundland and labrador,2,2008,63.0
province,newfoundland and labrador,2,2013,56.0
province,prince edward island,1,2003,69.0
province,prince edward island,1,2008,60.0
province,prince edward island,1,2013,51.0
province,prince edward island,2,2003,65.0
province,prince edward island,2,2008,62.0
province,prince edward island,2,2013,55.0
province,nova scotia,1,2003,68.0
province,nova scotia,1,2008,54.0
province,nova scotia,1,2013,48.0
province,nova scotia,2,2003,66.0
province,nova scotia,2,2008,62.0
province,nova scotia,2,2013,57.0
province,new brunswick,1,2003,67.0
province,new brunswick,1,2008,56.0
province,new brunswick,1,2013,51.0
province,new brunswick,2,2003,64.0
province,new brunswick,2,2008,58.0
province,new brunswick,2,2013,53.0
province,quebec,1,2003,49.0
province,quebec,1,2008,45.0
province,quebec,1,2013,42.0
province,quebec,2,2003,50.0
province,quebec,2,2008,50.0
province,quebec,2,2013,51.0
province,ontario,1,2003,55.0
province,ontario,1,2008,47.0
province,ontario,1,2013,42.0
province,ontario,2,2003,63.0
province,ontario,2,2008,60.0
province,ontario,2,2013,54.0
province,manitoba,1,2003,59.0
province,manitoba,1,2008,49.0
province,manitoba,1,2013,44.0
province,manitoba,2,2003,60.0
province,manitoba,2,2008,59.0
province,manitoba,2,2013,53.0
province,saskatchewan,1,2003,65.0
province,saskatchewan,1,2008,54.0
province,saskatchewan,1,2013,47.0
province,saskatchewan,2,2003,65.0
province,saskatchewan,2,2008,60.0
province,saskatchewan,2,2013,51.0
province,alberta,1,2003,57.0
province,alberta,1,2008,48.0
province,alberta,1,2013,44.0
province,alberta,2,2003,64.0
province,alberta,2,2008,61.0
province,alberta,2,2013,53.0
province,british columbia,1,2003,58.0
province,british columbia,1,2008,48.0
province,british columbia,1,2013,47.0
province,british columbia,2,2003,65.0
province,british columbia,2,2008,61.0
province,british columbia,2,2013,58.0
