section_header,question_item,response_category,subgroup_id,percent,ci_lower,ci_upper
,,yes,1,85.0,71.0,93.0
,,yes,2,89.0,87.0,91.0
,,yes,3,92.0,88.0,94.0
,,yes,4,86.0,83.0,89.0
,,no,1,,,
,,no,2,6.0,4.0,8.0
,,no,3,5.0,3.0,9.0
,,no,4,7.0,5.0,10.0
,,don't know,1,,,
,,don't know,2,4.0,3.0,6.0
,,don't know,3,,,
,,don't know,4,6.0,4.0,9.0
what sexual assault is and how to recognize it,what sexual assault is and how to recognize it,yes,1,82.0,67.0,91.0
what sexual assault is and how to recognize it,what sexual assault is and how to recognize it,yes,2,87.0,85.0,90.0
what sexual assault is and how to recognize it,what sexual assault is and how to recognize it,yes,3,91.0,87.0,94.0
what sexual assault is and how to recognize it,what sexual assault is and how to recognize it,yes,4,83.0,80.0,86.0
what sexual assault is and how to recognize it,what sexual assault is and how to recognize it,no,1,,,
what sexual assault is and how to recognize it,what sexual assault is and how to recognize it,no,2,8.0,6.0,10.0
what sexual assault is and how to recognize it,what sexual assault is and how to recognize it,no,3,6.0,3.0,10.0
what sexual assault is and how to recognize it,what sexual assault is and how to recognize it,no,4,11.0,8.0,14.0
what sexual assault is and how to recognize it,what sexual assault is and how to recognize it,don't know,1,,,
what sexual assault is and how to recognize it,what sexual assault is and how to recognize it,don't know,2,5.0,3.0,7.0
what sexual assault is and how to recognize it,what sexual assault is and how to recognize it,don't know,3,,,
what sexual assault is and how to recognize it,what sexual assault is and how to recognize it,don't know,4,5.0,4.0,8.0
what harassment is and how to recognize it,what harassment is and how to recognize it,yes,1,85.0,71.0,93.0
what harassment is and how to recognize it,what harassment is and how to recognize it,yes,2,89.0,86.0,91.0
what harassment is and how to recognize it,what harassment is and how to recognize it,yes,3,93.0,89.0,95.0
what harassment is and how to recognize it,what harassment is and how to recognize it,yes,4,85.0,81.0,88.0
what harassment is and how to recognize it,what harassment is and how to recognize it,no,1,,,
what harassment is and how to recognize it,what harassment is and how to recognize it,no,2,6.0,5.0,9.0
what harassment is and how to recognize it,what harassment is and how to recognize it,no,3,,,
what harassment is and how to recognize it,what harassment is and how to recognize it,no,4,9.0,7.0,12.0
what harassment is and how to recognize it,what harassment is and how to recognize it,don't know,1,,,
what harassment is and how to recognize it,what harassment is and how to recognize it,don't know,2,5.0,3.0,7.0
what harassment is and how to recognize it,what harassment is and how to recognize it,don't know,3,,,
what harassment is and how to recognize it,what harassment is and how to recognize it,don't know,4,5.0,4.0,8.0
school's confidential resources for harassment and sexual assault and how to locate them,school's confidential resources for harassment and sexual assault and how to locate them,yes,1,73.0,58.0,84.0
school's confidential resources for harassment and sexual assault and how to locate them,school's confidential resources for harassment and sexual assault and how to locate them,yes,2,85.0,82.0,88.0
school's confidential resources for harassment and sexual assault and how to locate them,school's confidential resources for harassment and sexual assault and how to locate them,yes,3,90.0,85.0,93.0
school's confidential resources for harassment and sexual assault and how to locate them,school's confidential resources for harassment and sexual assault and how to locate them,yes,4,80.0,76.0,84.0
school's confidential resources for harassment and sexual assault and how to locate them,school's confidential resources for harassment and sexual assault and how to locate them,no,1,,,
school's confidential resources for harassment and sexual assault and how to locate them,school's confidential resources for harassment and sexual assault and how to locate them,no,2,9.0,7.0,11.0
school's confidential resources for harassment and sexual assault and how to locate them,school's confidential resources for harassment and sexual assault and how to locate them,no,3,6.0,4.0,9.0
school's confidential resources for harassment and sexual assault and how to locate them,school's confidential resources for harassment and sexual assault and how to locate them,no,4,12.0,9.0,15.0
school's confidential resources for harassment and sexual assault and how to locate them,school's confidential resources for harassment and sexual assault and how to locate them,don't know,1,,,
school's confidential resources for harassment and sexual assault and how to locate them,school's confidential resources for harassment and sexual assault and how to locate them,don't know,2,5.0,3.0,7.0
school's confidential resources for harassment and sexual assault and how to locate them,school's confidential resources for harassment and sexual assault and how to locate them,don't know,3,,,
school's confidential resources for harassment and sexual assault and how to locate them,school's confidential resources for harassment and sexual assault and how to locate them,don't know,4,6.0,4.0,9.0
"options to help prevent harassment and sexual assault, including bystander action","options to help prevent harassment and sexual assault, including bystander action",yes,1,72.0,57.0,83.0
"options to help prevent harassment and sexual assault, including bystander action","options to help prevent harassment and sexual assault, including bystander action",yes,2,85.0,82.0,87.0
"options to help prevent harassment and sexual assault, including bystander action","options to help prevent harassment and sexual assault, including bystander action",yes,3,90.0,86.0,93.0
"options to help prevent harassment and sexual assault, including bystander action","options to help prevent harassment and sexual assault, including bystander action",yes,4,79.0,75.0,83.0
"options to help prevent harassment and sexual assault, including bystander action","options to help prevent harassment and sexual assault, including bystander action",no,1,,,
"options to help prevent harassment and sexual assault, including bystander action","options to help prevent harassment and sexual assault, including bystander action",no,2,10.0,8.0,12.0
"options to help prevent harassment and sexual assault, including bystander action","options to help prevent harassment and sexual assault, including bystander action",no,3,6.0,4.0,10.0
"options to help prevent harassment and sexual assault, including bystander action","options to help prevent harassment and sexual assault, including bystander action",no,4,13.0,10.0,16.0
"options to help prevent harassment and sexual assault, including bystander action","options to help prevent harassment and sexual assault, including bystander action",don't know,1,,,
"options to help prevent harassment and sexual assault, including bystander action","options to help prevent harassment and sexual assault, including bystander action",don't know,2,5.0,4.0,7.0
"options to help prevent harassment and sexual assault, including bystander action","options to help prevent harassment and sexual assault, including bystander action",don't know,3,,,
"options to help prevent harassment and sexual assault, including bystander action","options to help prevent harassment and sexual assault, including bystander action",don't know,4,7.0,5.0,10.0
procedures for dealing with reported incidents of harassment and sexual assault,procedures for dealing with reported incidents of harassment and sexual assault,yes,1,73.0,58.0,84.0
procedures for dealing with reported incidents of harassment and sexual assault,procedures for dealing with reported incidents of harassment and sexual assault,yes,2,83.0,80.0,86.0
procedures for dealing with reported incidents of harassment and sexual assault,procedures for dealing with reported incidents of harassment and sexual assault,yes,3,86.0,82.0,90.0
procedures for dealing with reported incidents of harassment and sexual assault,procedures for dealing with reported incidents of harassment and sexual assault,yes,4,80.0,76.0,83.0
procedures for dealing with reported incidents of harassment and sexual assault,procedures for dealing with reported incidents of harassment and sexual assault,no,1,,,
procedures for dealing with reported incidents of harassment and sexual assault,procedures for dealing with reported incidents of harassment and sexual assault,no,2,10.0,8.0,13.0
procedures for dealing with reported incidents of harassment and sexual assault,procedures for dealing with reported incidents of harassment and sexual assault,no,3,9.0,6.0,14.0
procedures for dealing with reported incidents of harassment and sexual assault,procedures for dealing with reported incidents of harassment and sexual assault,no,4,12.0,9.0,16.0
procedures for dealing with reported incidents of harassment and sexual assault,procedures for dealing with reported incidents of harassment and sexual assault,don't know,1,,,
procedures for dealing with reported incidents of harassment and sexual assault,procedures for dealing with reported incidents of harassment and sexual assault,don't know,2,6.0,4.0,8.0
procedures for dealing with reported incidents of harassment and sexual assault,procedures for dealing with reported incidents of harassment and sexual assault,don't know,3,,,
procedures for dealing with reported incidents of harassment and sexual assault,procedures for dealing with reported incidents of harassment and sexual assault,don't know,4,7.0,5.0,9.0
services available at school for victims of harassment and sexual assault,services available at school for victims of harassment and sexual assault,yes,1,74.0,59.0,85.0
services available at school for victims of harassment and sexual assault,services available at school for victims of harassment and sexual assault,yes,2,84.0,81.0,87.0
services available at school for victims of harassment and sexual assault,services available at school for victims of harassment and sexual assault,yes,3,86.0,81.0,90.0
