year_period,category_id,metric,value
2010-2011,1,aircraft movements,1460.0
2010-2011,1,% change,0.1
2010-2011,2,aircraft movements,49623.0
2010-2011,2,% change,1.5
2010-2011,3,aircraft movements,3635.0
2010-2011,3,% change,59.4
2010-2011,4,aircraft movements,54718.0
2010-2011,4,% change,3.6
2011-2012,1,aircraft movements,1404.0
2011-2012,1,% change,3.8
2011-2012,2,aircraft movements,50491.0
2011-2012,2,% change,1.7
2011-2012,3,aircraft movements,3299.0
2011-2012,3,% change,9.2
2011-2012,4,aircraft movements,55194.0
2011-2012,4,% change,0.9
2012-2013,1,aircraft movements,1739.0
2012-2013,1,% change,23.9
2012-2013,2,aircraft movements,43875.0
2012-2013,2,% change,13.1
2012-2013,3,aircraft movements,4059.0
2012-2013,3,% change,23.0
2012-2013,4,aircraft movements,49673.0
2012-2013,4,% change,10.0
2013-2014,1,aircraft movements,2134.0
2013-2014,1,% change,22.7
2013-2014,2,aircraft movements,42928.0
2013-2014,2,% change,2.2
2013-2014,3,aircraft movements,4497.0
2013-2014,3,% change,10.9
2013-2014,4,aircraft movements,49559.0
2013-2014,4,% change,0.2
2014-2015,1,aircraft movements,2216.0
2014-2015,1,% change,3.8
2014-2015,2,aircraft movements,42325.0
2014-2015,2,% change,1.4
2014-2015,3,aircraft movements,4814.0
2014-2015,3,% change,7.1
2014-2015,4,aircraft movements,49355.0
2014-2015,4,% change,0.4
2015-2016,1,aircraft movements,2132.0
2015-2016,1,% change,3.8
2015-2016,2,aircraft movements,44544.0
2015-2016,2,% change,5.3
2015-2016,3,aircraft movements,5630.0
2015-2016,3,% change,17.0
2015-2016,4,aircraft movements,52316.0
2015-2016,4,% change,6.0
2016-2017,1,aircraft movements,2780.0
2016-2017,1,% change,30.4
2016-2017,2,aircraft movements,46466.0
2016-2017,2,% change,4.3
2016-2017,3,aircraft movements,5789.0
2016-2017,3,% change,2.3
2016-2017,4,aircraft movements,55030.0
2016-2017,4,% change,5.2
2017-2018,1,aircraft movements,2217.0
2017-2018,1,% change,25.4
2017-2018,2,aircraft movements,46480.0
2017-2018,2,% change,0.0
2017-2018,3,aircraft movements,5369.0
2017-2018,3,% change,7.8
2017-2018,4,aircraft movements,54066.0
2017-2018,4,% change,1.8
