transaction_id,supplier,quantity,transaction_date,hospital_name,product_type,product_model,packaging_spec,unit_price,supplier_id,hospital_name_duplicate
207271,"Harbin Lelian Technology Development Co., Ltd.",240,2023-08-29 00:00:00.000000,Daqing Longnan Hospital,Hollow Fiber Dialyzer,F15,24-piece pack,50.0,90528492,Daqing Longnan Hospital
202317,"Sichuan Jindong Pharmaceutical (Group) Co., Ltd.",240,2024-06-11 00:00:00.000000,Yingjing County People's Hospital,Hollow Fiber Dialyzer,F16,24-piece pack,54.0,90616051,Yingjing County People's Hospital
206367,"Jiangsu Meitebao Medical Device Co., Ltd.",720,2024-05-12 00:00:00.000000,Tahe County Traditional Chinese Medicine Hospital,Hollow Fiber Dialyzer,HF15,24-piece pack,69.0,90607418,Tahe County Traditional Chinese Medicine Hospital
206806,"Guangxi Zhenqing Trading Co., Ltd.",168,2022-09-07 00:00:00.000000,Ningming County Traditional Chinese Medicine Hospital,Hollow Fiber Dialyzer,HF14,24-pack,65.0,90432747,Ningming County Traditional Chinese Medicine Hospital
200610,"Chongqing Xinliedian Medical Equipment Co., Ltd.",120,2023-08-12 00:00:00.000000,Fengdu County People's Hospital,Hollow Fiber Dialyzer,HF16,24-pack,60.0,90523303,Fengdu County People's Hospital
204856,"Jiangsu Haiheng Medical Equipment Technology Co., Ltd.",1200,2020-08-26 00:00:00.000000,Huai'an Huaiyin Hospital,Hollow Fiber Dialyzer,F16,None,40.1,90264316,Huai'an Huaiyin Hospital
103229,Chifeng Songshan Traditional Chinese and Mongolian Medicine Hospital,24,2024-06-24 00:00:00.000000,Huai'an Huaiyin Hospital,Hemodialysis Filter,HDF16,None,170.0,90621617,Huai'an Huaiyin Hospital
203922,"Shanghai Puji Medical Device Co., Ltd.",240,2019-09-25 00:00:00.000000,Shanghai Tenth People's Hospital,Hollow Fiber Dialyzer,HF15,None,70.0,90207184,Shanghai Tenth People's Hospital
203922,"Shanghai Puji Medical Device Co., Ltd.",24,2021-09-28 00:00:00.000000,Shanghai Jing'an District Central Hospital (Jing'an Branch of Fudan University Huashan Hospital),Hollow Fiber Dialyzer,HF15,24-piece pack,70.0,90352651,Shanghai Jing'an District Central Hospital (Jing'an Branch of Fudan University Huashan Hospital)
206965,"Heilongjiang Youzhongtai Technology Co., Ltd.",1200,2024-06-28 00:00:00.000000,Yichun Forestry Administration Bureau Central Hospital,Hollow Fiber Dialyzer,HF18,24-pack,65.0,90622245,Yichun Forestry Administration Bureau Central Hospital
200667,"Aksu Gan Business Import and Export Trade Co., Ltd.",48,2019-12-16 00:00:00.000000,"The Second People's Hospital of Aksu Prefecture, Xinjiang Uygur Autonomous Region",Hollow Fiber Dialyzer,HF15,None,130.2,90221158,"The Second People's Hospital of Aksu Prefecture, Xinjiang Uygur Autonomous Region"
203198,"Xizang Borui Shanjiang Pharmaceutical Co., Ltd.",12,2019-12-23 00:00:00.000000,Huitong County People's Hospital,Hollow Fiber Dialyzer,HF18,None,80.0,90223130,Huitong County People's Hospital
203481,"Gansu Dezhong United Trade Co., Ltd.",48,2024-05-26 00:00:00.000000,Zhangye Second People's Hospital,Hollow Fiber Dialyzer,F15,24-piece pack,60.0,90611708,Zhangye Second People's Hospital
103962,Xian Jiaotong University First Affiliated Hospital Yulin Hospital,444,2021-03-29 00:00:00.000000,Zhangye Second People's Hospital,Hollow Fiber Dialyzer,F18,None,98.5,90308355,Zhangye Second People's Hospital
204626,"Tianjin Changsheng Medical Technology Co., Ltd.",96,2021-09-28 00:00:00.000000,Chengdu Wuhou District Jiuxing Nephropathy Hospital,Hollow Fiber Dialyzer,HF15,24-piece pack,57.0,90352695,Chengdu Wuhou District Jiuxing Nephropathy Hospital
209458,"Shandong Erl MedTech Co., Ltd.",24,2024-05-27 00:00:00.000000,Zoucheng City Integrated Traditional Chinese and Western Medicine Hospital,Hollow Fiber Dialyzer,F16,24-piece pack,48.0,90611782,Zoucheng City Integrated Traditional Chinese and Western Medicine Hospital
107256,Wenxi County Traditional Chinese Medicine Hospital,240,2022-03-14 00:00:00.000000,Zoucheng City Integrated Traditional Chinese and Western Medicine Hospital,Hollow Fiber Dialyzer,HF16,24-pack,72.0,90388900,Zoucheng City Integrated Traditional Chinese and Western Medicine Hospital
106061,Anhui Provincial Hospital (South Campus),-2400,2022-11-28 00:00:00.000000,Zoucheng City Integrated Traditional Chinese and Western Medicine Hospital,Hollow Fiber Dialyzer,HF18,24-pack,72.0,30358256,Zoucheng City Integrated Traditional Chinese and Western Medicine Hospital
100396,"Jiashan County First People's Hospital, Zhejiang Province",600,2022-01-13 00:00:00.000000,Zoucheng City Integrated Traditional Chinese and Western Medicine Hospital,Hollow Fiber Dialyzer,F16,24-piece pack,79.2,90379530,Zoucheng City Integrated Traditional Chinese and Western Medicine Hospital
202493,"Shanghai Hongjia Medical Device Co., Ltd.",48,2022-09-15 00:00:00.000000,Qingpu District Central Hospital of Shanghai,Hollow Fiber Dialyzer,F14,24-pack,51.0,90434322,Qingpu District Central Hospital of Shanghai
202024,"Renfu Medicine Enshi Co., Ltd.",420,2019-09-27 00:00:00.000000,Hubei Minzu University Affiliated Minzu Hospital,Hollow Fiber Dialyzer,F15,None,60.0,90208185,Hubei Minzu University Affiliated Minzu Hospital
200285,"Huazhong Hubei Pharmaceutical Co., Ltd.",720,2023-05-28 00:00:00.000000,Honghu Second People's Hospital,Hollow Fiber Dialyzer,HF14,24-pack,55.0,90501137,Honghu Second People's Hospital
202070,"Shaanxi Xinchang Pharmaceutical Technology Co., Ltd.",24,2021-01-08 00:00:00.000000,Bin County People's Hospital,Hollow Fiber Dialyzer,HF18,None,75.0,90296476,Bin County People's Hospital
204152,"Hunan Kangshimin Medicine Health Industry Co., Ltd.",600,2022-12-06 00:00:00.000000,"Huaihua Like Kang Hospital Co., Ltd.",Hollow Fiber Dialyzer,MF14,24-pack,42.0,90456371,"Huaihua Like Kang Hospital Co., Ltd."
200939,"Linyi Huijie Trade Co., Ltd.",360,2020-04-28 00:00:00.000000,Lanling County People's Hospital,Hollow Fiber Dialyzer,HF15,None,75.0,90242354,Lanling County People's Hospital
102955,Shenyang Seventh People's Hospital,180,2019-11-11 00:00:00.000000,Lanling County People's Hospital,Hollow Fiber Dialyzer,F15,None,90.0,90214553,Lanling County People's Hospital
208411,"Henan Zhukang Medical Technology Co., Ltd.",480,2024-04-29 00:00:00.000000,Kaifeng Central Hospital,Hollow Fiber Dialyzer,HF15,24-piece pack,45.0,90604640,Kaifeng Central Hospital
204120,"Shangyao Keyuan Xinhai Tongliao Pharmaceutical Co., Ltd.",3312,2022-12-25 00:00:00.000000,Tongliao Shengkang Hospital (Limited Partnership),Hollow Fiber Dialyzer,HF15,24-piece pack,60.0,90463587,Tongliao Shengkang Hospital (Limited Partnership)
102741,Foshan Shunde District Third People's Hospital (Foshan Shunde District Beijiao Hospital),96,2021-01-27 00:00:00.000000,Tongliao Shengkang Hospital (Limited Partnership),Hollow Fiber Dialyzer,F16,None,95.0,90300939,Tongliao Shengkang Hospital (Limited Partnership)
205195,"Jiangxi Qiu Su Trade Co., Ltd.",360,2021-04-01 00:00:00.000000,The 928th Hospital of the Joint Logistics Support Force of the Chinese People's Liberation Army,Hollow Fiber Dialyzer,F14,None,50.0,90309607,The 928th Hospital of the Joint Logistics Support Force of the Chinese People's Liberation Army
203232,"Qingdao Puresen Pharmaceutical Technology Co., Ltd.",300,2020-06-28 00:00:00.000000,Bozhou District Hospital of Zibo City,Hollow Fiber Dialyzer,F15,None,60.0,90253572,Bozhou District Hospital of Zibo City
200593,"Yunnan Huajie Medical Device Co., Ltd.",1200,2022-04-27 00:00:00.000000,Zhenkang County People's Hospital,Hollow Fiber Dialyzer,MF14,24-pack,50.0,90400325,Zhenkang County People's Hospital
203058,"Hainan Jiawei Medical Devices Co., Ltd.",600,2022-03-09 00:00:00.000000,Dongfang City People's Hospital,Hollow Fiber Dialyzer,MF14,24-pack,50.0,90388288,Dongfang City People's Hospital
204508,"Jiujiang Luyan Medicine Co., Ltd.",444,2020-08-29 00:00:00.000000,Jiujiang University Affiliated Hospital,Hollow Fiber Dialyzer,F13,None,39.0,90265281,Jiujiang University Affiliated Hospital
201137,"Yunnan Qianren Technology Co., Ltd.",480,2021-09-23 00:00:00.000000,Pu'er City Simao District People's Hospital,Hollow Fiber Dialyzer,F16,24-piece pack,46.0,90349457,Pu'er City Simao District People's Hospital
102739,Foshan Shunde District Fifth People's Hospital (Foshan Shunde District Longjiang Hospital),120,2019-01-10 00:00:00.000000,Pu'er City Simao District People's Hospital,Hollow Fiber Dialyzer,HF18,None,170.0,90168440,Pu'er City Simao District People's Hospital
100709,Shijiazhuang Traditional Chinese Medicine Hospital,288,2022-04-23 00:00:00.000000,Pu'er City Simao District People's Hospital,Hollow Fiber Dialyzer,HF18,24-pack,135.0,90397618,Pu'er City Simao District People's Hospital
202657,"Hebei Nuosheng Medical Device Sales Co., Ltd.",576,2024-03-09 00:00:00.000000,Xinle City Hospital,Hollow Fiber Dialyzer,F14,24-pack,44.0,90586666,Xinle City Hospital
102446,Shanghai Fengxian District Fengcheng Hospital,120,2019-02-19 00:00:00.000000,Xinle City Hospital,Hollow Fiber Dialyzer,F15,None,86.0,90172211,Xinle City Hospital
207083,"Zhangjiakou Puqiao Medical Device Sales Co., Ltd.",840,2022-08-29 00:00:00.000000,Huai'an Puyang Hospital,Hollow Fiber Dialyzer,HF18,24-pack,67.5,90430159,Huai'an Puyang Hospital
107151,Lingchuan County People's Hospital,600,2021-09-25 00:00:00.000000,Huai'an Puyang Hospital,Hollow Fiber Dialyzer,HF16,24-pack,72.0,90350668,Huai'an Puyang Hospital
103954,Baoji Central Hospital,60,2020-01-11 00:00:00.000000,Huai'an Puyang Hospital,Hollow Fiber Dialyzer,HF18,None,135.0,90227367,Huai'an Puyang Hospital
203265,"Qingdao Jinnan Pharmaceutical Co., Ltd.",240,2023-06-16 00:00:00.000000,Qingdao Huangdao District People's Hospital,Hemodialysis Filter,HDF16,None,106.0,90506696,Qingdao Huangdao District People's Hospital
200320,"Jiangsu Yuankang Trading Co., Ltd.",120,2019-11-12 00:00:00.000000,Taizhou City Traditional Chinese Medicine Hospital,Hollow Fiber Dialyzer,HF14,None,57.0,90214617,Taizhou City Traditional Chinese Medicine Hospital
106587,"BoLi County JiRen Hospital Co., Ltd.",1,2021-01-13 00:00:00.000000,Taizhou City Traditional Chinese Medicine Hospital,Hollow Fiber Dialyzer,HF18,None,80.0,90297335,Taizhou City Traditional Chinese Medicine Hospital
102450,Xining Second People's Hospital,240,2022-03-21 00:00:00.000000,Taizhou City Traditional Chinese Medicine Hospital,Hollow Fiber Dialyzer,HF15,24-piece pack,135.0,90390552,Taizhou City Traditional Chinese Medicine Hospital
203532,"Guangdong Dailaowusi Medical Device Co., Ltd.",240,2019-03-27 00:00:00.000000,Huazhou City Traditional Chinese Medicine Hospital,Hollow Fiber Dialyzer,HF18,None,80.0,90177608,Huazhou City Traditional Chinese Medicine Hospital
207221,"Tianjin Yuzheng Medical Device Technology Co., Ltd.",96,2023-06-30 00:00:00.000000,Tianjin Beichen District Traditional Chinese Medicine Hospital,Hollow Fiber Dialyzer,MF16,24-pack,60.0,90510569,Tianjin Beichen District Traditional Chinese Medicine Hospital
200982,"Sinopharm Group Hebei Medical Device Co., Ltd.",480,2020-06-18 00:00:00.000000,The Beidaihe Rehabilitation and Convalescence Center of the Joint Logistics Support Force of the Chinese People's Liberation Army,Hollow Fiber Dialyzer,HF18,None,75.0,90250876,The Beidaihe Rehabilitation and Convalescence Center of the Joint Logistics Support Force of the Chinese People's Liberation Army
100408,Changxing County Traditional Chinese Medicine Hospital,480,2023-11-21 00:00:00.000000,The Beidaihe Rehabilitation and Convalescence Center of the Joint Logistics Support Force of the Chinese People's Liberation Army,Hollow Fiber Dialyzer,F16,24-piece pack,79.2,90554414,The Beidaihe Rehabilitation and Convalescence Center of the Joint Logistics Support Force of the Chinese People's Liberation Army
103533,The Second Affiliated Hospital of the Navy Medical University of the Chinese People's Liberation Army,24,2019-04-18 00:00:00.000000,The Beidaihe Rehabilitation and Convalescence Center of the Joint Logistics Support Force of the Chinese People's Liberation Army,Hollow Fiber Dialyzer,HF18,None,105.0,90180793,The Beidaihe Rehabilitation and Convalescence Center of the Joint Logistics Support Force of the Chinese People's Liberation Army
204190,"Hebei Renren Medical Device Logistics Co., Ltd.",240,2023-02-20 00:00:00.000000,Rongjiang County Traditional Chinese Medicine Hospital,Hollow Fiber Dialyzer,HF16,24-pack,63.0,90472635,Rongjiang County Traditional Chinese Medicine Hospital
102001,Xian Central Hospital,-72,2021-11-08 00:00:00.000000,Rongjiang County Traditional Chinese Medicine Hospital,Hollow Fiber Dialyzer,F18,24-piece pack,98.5,100008379,Rongjiang County Traditional Chinese Medicine Hospital
201249,"Guangxi Ouwen Medical Technology Group Co., Ltd.",144,2022-03-21 00:00:00.000000,Huanjiang Maonan Autonomous County People's Hospital,Hollow Fiber Dialyzer,F14,24-pack,55.0,90390508,Huanjiang Maonan Autonomous County People's Hospital
206593,"Qiqihar Tuguan Huatang Trading Co., Ltd.",336,2021-12-25 00:00:00.000000,Yian County People's Hospital,Hollow Fiber Dialyzer,MF14,24-pack,60.0,90374928,Yian County People's Hospital
