ethnic_group,ethnic_group_modern,period,count,percentage
Romanian,,1,43671,31.0
Romanian,,2,118919,46.0
Romanian,,3,216425,56.8
Romanian,,4,282844,64.7
Romanian,,5,514331,86.6
Romanian,,6,622996,88.7
Romanian,,7,784934,90.9
Romanian,,8,926608,90.8
Romanian,,9,883620,90.9
Bulgarian,,1,24915,17.0
Bulgarian,,2,38439,14.0
Bulgarian,,3,51149,13.4
Bulgarian,,4,42070,9.6
Bulgarian,,5,749,0.13
Bulgarian,,6,524,0.07
Bulgarian,,7,415,0.05
Bulgarian,,8,311,0.03
Bulgarian,,9,135,0.01
Turkish,,1,18624,13.0
Turkish,,2,12146,4.0
Turkish,,3,20092,5.3
Turkish,,4,21748,5.0
Turkish,,5,11994,2.0
Turkish,,6,16209,2.3
Turkish,,7,21666,2.5
Turkish,,8,27685,2.7
Turkish,,9,27580,2.8
Tatar,,1,29476,21.0
Tatar,,2,28670,11.0
Tatar,,3,21350,5.6
Tatar,,4,15546,3.6
Tatar,,5,20239,3.4
Tatar,,6,21939,3.1
Tatar,,7,22875,2.65
Tatar,,8,24185,2.4
Tatar,,9,23409,2.4
Russian-Lipovan,,1,8250,6.0
Russian-Lipovan,,2,12801,5.0
Russian-Lipovan,,3,35859,9.4
Russian-Lipovan,,4,26210,6.0
Russian-Lipovan,,5,29944,5.0
Russian-Lipovan,,6,30509,4.35
Russian-Lipovan,,7,24098,2.8
Russian-Lipovan,,8,26154,2.6
Russian-Lipovan,,9,21623,2.2
Ruthenian,(Ukrainian from 1956),1,455,0.3
Ruthenian,(Ukrainian from 1956),2,13680,5.0
Ruthenian,(Ukrainian from 1956),3,35859,9.4
Ruthenian,(Ukrainian from 1956),4,33,0.01
Ruthenian,(Ukrainian from 1956),5,7025,1.18
Ruthenian,(Ukrainian from 1956),6,5154,0.73
Ruthenian,(Ukrainian from 1956),7,2639,0.3
Ruthenian,(Ukrainian from 1956),8,4101,0.4
Ruthenian,(Ukrainian from 1956),9,1465,0.1
Dobrujan Germans,,1,2461,1.7
Dobrujan Germans,,2,8566,3.0
Dobrujan Germans,,3,7697,2.0
Dobrujan Germans,,4,12023,2.75
Dobrujan Germans,,5,735,0.12
Dobrujan Germans,,6,599,0.09
Dobrujan Germans,,7,648,0.08
Dobrujan Germans,,8,677,0.07
Dobrujan Germans,,9,398,0.04
Greek,,1,4015,2.8
Greek,,2,8445,3.0
Greek,,3,9999,2.6
Greek,,4,7743,1.8
Greek,,5,1399,0.24
Greek,,6,908,0.13
Greek,,7,635,0.07
Greek,,8,1230,0.12
Greek,,9,2270,0.23
Roma,,1,702,0.5
Roma,,2,2252,0.87
Roma,,3,3263,0.9
Roma,,4,3831,0.88
Roma,,5,1176,0.2
Roma,,6,378,0.05
Roma,,7,2565,0.3
Roma,,8,5983,0.59
Roma,,9,8295,0.85
