sex_cn,sex_en,income_bracket_cn,income_bracket_en,year,count
男,Male,"< 2,000","< 2,000",2011,255
男,Male,"< 2,000","< 2,000",2016,180
男,Male,"< 2,000","< 2,000",2021,343
Male,,"2,000 – 3,999","2,000 – 3,999",2011,532
Male,,"2,000 – 3,999","2,000 – 3,999",2016,146
Male,,"2,000 – 3,999","2,000 – 3,999",2021,335
Male,,"4,000 – 5,999","4,000 – 5,999",2011,1293
Male,,"4,000 – 5,999","4,000 – 5,999",2016,257
Male,,"4,000 – 5,999","4,000 – 5,999",2021,187
Male,,"6,000 – 7,999","6,000 – 7,999",2011,1841
Male,,"6,000 – 7,999","6,000 – 7,999",2016,546
Male,,"6,000 – 7,999","6,000 – 7,999",2021,164
Male,,"8,000 – 9,999","8,000 – 9,999",2011,2039
Male,,"8,000 – 9,999","8,000 – 9,999",2016,1294
Male,,"8,000 – 9,999","8,000 – 9,999",2021,664
Male,,"10,000 – 14,999","10,000 – 14,999",2011,3642
Male,,"10,000 – 14,999","10,000 – 14,999",2016,3740
Male,,"10,000 – 14,999","10,000 – 14,999",2021,2219
Male,,"15,000 – 19,999","15,000 – 19,999",2011,2357
Male,,"15,000 – 19,999","15,000 – 19,999",2016,3156
Male,,"15,000 – 19,999","15,000 – 19,999",2021,2394
Male,,"20,000 – 24,999","20,000 – 24,999",2011,1358
Male,,"20,000 – 24,999","20,000 – 24,999",2016,1909
Male,,"20,000 – 24,999","20,000 – 24,999",2021,2262
Male,,"25,000 – 29,999","25,000 – 29,999",2011,1045
Male,,"25,000 – 29,999","25,000 – 29,999",2016,1216
Male,,"25,000 – 29,999","25,000 – 29,999",2021,1552
Male,,"30,000 – 39,999","30,000 – 39,999",2011,1406
Male,,"30,000 – 39,999","30,000 – 39,999",2016,1674
Male,,"30,000 – 39,999","30,000 – 39,999",2021,2100
Male,,"40,000 – 59,999","40,000 – 59,999",2011,862
Male,,"40,000 – 59,999","40,000 – 59,999",2016,1336
Male,,"40,000 – 59,999","40,000 – 59,999",2021,1888
Male,,"≥ 60,000","≥ 60,000",2011,1035
Male,,"≥ 60,000","≥ 60,000",2016,1429
Male,,"≥ 60,000","≥ 60,000",2021,1905
女,Female,"< 2,000","< 2,000",2011,1299
女,Female,"< 2,000","< 2,000",2016,854
女,Female,"< 2,000","< 2,000",2021,2193
Female,,"2,000 – 3,999","2,000 – 3,999",2011,3023
Female,,"2,000 – 3,999","2,000 – 3,999",2016,480
Female,,"2,000 – 3,999","2,000 – 3,999",2021,854
Female,,"4,000 – 5,999","4,000 – 5,999",2011,7846
Female,,"4,000 – 5,999","4,000 – 5,999",2016,861
Female,,"4,000 – 5,999","4,000 – 5,999",2021,1128
Female,,"6,000 – 7,999","6,000 – 7,999",2011,10575
Female,,"6,000 – 7,999","6,000 – 7,999",2016,3046
Female,,"6,000 – 7,999","6,000 – 7,999",2021,1373
Female,,"8,000 – 9,999","8,000 – 9,999",2011,9029
Female,,"8,000 – 9,999","8,000 – 9,999",2016,5488
Female,,"8,000 – 9,999","8,000 – 9,999",2021,4359
Female,,"10,000 – 14,999","10,000 – 14,999",2011,10386
Female,,"10,000 – 14,999","10,000 – 14,999",2016,20218
Female,,"10,000 – 14,999","10,000 – 14,999",2021,13770
Female,,"15,000 – 19,999","15,000 – 19,999",2011,5968
Female,,"15,000 – 19,999","15,000 – 19,999",2016,7881
Female,,"15,000 – 19,999","15,000 – 19,999",2021,9551
Female,,"20,000 – 24,999","20,000 – 24,999",2011,4251
Female,,"20,000 – 24,999","20,000 – 24,999",2016,4729
Female,,"20,000 – 24,999","20,000 – 24,999",2021,6232
Female,,"25,000 – 29,999","25,000 – 29,999",2011,2583
Female,,"25,000 – 29,999","25,000 – 29,999",2016,2456
Female,,"25,000 – 29,999","25,000 – 29,999",2021,3052
Female,,"30,000 – 39,999","30,000 – 39,999",2011,3573
Female,,"30,000 – 39,999","30,000 – 39,999",2016,3428
Female,,"30,000 – 39,999","30,000 – 39,999",2021,4852
Female,,"40,000 – 59,999","40,000 – 59,999",2011,2737
Female,,"40,000 – 59,999","40,000 – 59,999",2016,3935
Female,,"40,000 – 59,999","40,000 – 59,999",2021,4030
Female,,"≥ 60,000","≥ 60,000",2011,2744
Female,,"≥ 60,000","≥ 60,000",2016,3139
Female,,"≥ 60,000","≥ 60,000",2021,4772
