activity,wave,participation_rate
fundraising,43,40
sitting on a committee or board,43,34
teaching or mentoring,43,29
counselling or providing advice,43,30
"collecting, serving or delivering food or other goods",43,22
"office work, bookkeeping",43,20
other activities,43,19
"coaching, referring or officiating",43,24
driving,43,19
providing health care or support,43,15
environmental protection,43,17
maintenance or repair,43,23
canvassing,43,10
"first-aid, fire-fighting, or search and rescue",43,7
fundraising,48,49
sitting on a committee or board,48,33
teaching or mentoring,48,28
counselling or providing advice,48,22
"collecting, serving or delivering food or other goods",48,28
"office work, bookkeeping",48,25
other activities,48,21
"coaching, referring or officiating",48,11
driving,48,15
providing health care or support,48,19
environmental protection,48,15
maintenance or repair,48,10
canvassing,48,10
"first-aid, fire-fighting, or search and rescue",48,4
