team,season,division,season_period,metric,value
,,,1,apps,
,,,1,goals,
,,,2,apps,
,,,2,goals,
,,,3,apps,
,,,3,goals,
,,,4,apps,
,,,4,goals,
,,,5,apps,
,,,5,goals,
port vale,1981-82,fourth division,1,apps,12
port vale,1981-82,fourth division,1,goals,1
port vale,1981-82,fourth division,2,apps,0
port vale,1981-82,fourth division,2,goals,0
port vale,1981-82,fourth division,3,apps,1
port vale,1981-82,fourth division,3,goals,0
port vale,1981-82,fourth division,4,apps,0
port vale,1981-82,fourth division,4,goals,0
port vale,1981-82,fourth division,5,apps,13
port vale,1981-82,fourth division,5,goals,1
port vale,1982-83,fourth division,1,apps,4
port vale,1982-83,fourth division,1,goals,0
port vale,1982-83,fourth division,2,apps,0
port vale,1982-83,fourth division,2,goals,0
port vale,1982-83,fourth division,3,apps,1
port vale,1982-83,fourth division,3,goals,0
port vale,1982-83,fourth division,4,apps,0
port vale,1982-83,fourth division,4,goals,0
port vale,1982-83,fourth division,5,apps,5
port vale,1982-83,fourth division,5,goals,0
port vale,1983-84,third division,1,apps,7
port vale,1983-84,third division,1,goals,0
port vale,1983-84,third division,2,apps,0
port vale,1983-84,third division,2,goals,0
port vale,1983-84,third division,3,apps,1
port vale,1983-84,third division,3,goals,0
port vale,1983-84,third division,4,apps,0
port vale,1983-84,third division,4,goals,0
port vale,1983-84,third division,5,apps,8
port vale,1983-84,third division,5,goals,0
port vale,1984-85,fourth division,1,apps,0
port vale,1984-85,fourth division,1,goals,0
port vale,1984-85,fourth division,2,apps,0
port vale,1984-85,fourth division,2,goals,0
port vale,1984-85,fourth division,3,apps,0
port vale,1984-85,fourth division,3,goals,0
port vale,1984-85,fourth division,4,apps,0
port vale,1984-85,fourth division,4,goals,0
port vale,1984-85,fourth division,5,apps,0
port vale,1984-85,fourth division,5,goals,0
port vale,1985-86,fourth division,1,apps,2
port vale,1985-86,fourth division,1,goals,1
port vale,1985-86,fourth division,2,apps,0
port vale,1985-86,fourth division,2,goals,0
port vale,1985-86,fourth division,3,apps,0
port vale,1985-86,fourth division,3,goals,0
port vale,1985-86,fourth division,4,apps,1
port vale,1985-86,fourth division,4,goals,0
port vale,1985-86,fourth division,5,apps,3
port vale,1985-86,fourth division,5,goals,1
