[SUCCESS] 1000.xlsx  (122.2s)
[SUCCESS] 1001.xlsx  (142.6s)
[SUCCESS] 1003.xlsx  (57.9s)
[SUCCESS] 1007.xlsx  (86.1s)
[SUCCESS] 100_totto11809-4.xlsx  (88.8s)
[SUCCESS] 1010.xlsx  (157.9s)
[SUCCESS] 1011.xlsx  (46.4s)
[SUCCESS] 1014.xlsx  (98.5s)
[SUCCESS] 1015.xlsx  (151.7s)
[SUCCESS] 1021.xlsx  (64.1s)
[SUCCESS] 1030.xlsx  (116.4s)
[SUCCESS] 1033.xlsx  (84.5s)
[SUCCESS] 103_totto12290-4.xlsx  (72.7s)
[SUCCESS] 1042.xlsx  (85.7s)
[SUCCESS] 1044.xlsx  (85.6s)
[SUCCESS] 1049.xlsx  (78.5s)
[SUCCESS] 1054.xlsx  (79.8s)
[SUCCESS] 1056.xlsx  (41.5s)
[SUCCESS] 1059.xlsx  (89.0s)
[SUCCESS] 1061.xlsx  (46.6s)
[SUCCESS] 1064.xlsx  (130.2s)
[SUCCESS] 1065.xlsx  (156.6s)
[SUCCESS] 1066.xlsx  (38.2s)
[SUCCESS] 1072.xlsx  (41.4s)
[SUCCESS] 1078.xlsx  (76.1s)
[FAILED] 1082.xlsx  (152.0s)  ERROR: 'The following id_vars or value_vars are not present in the DataFrame: [0, 1, 2, 3, 4]'
[SUCCESS] 1085.xlsx  (72.3s)
[SUCCESS] 1087.xlsx  (67.8s)
[SUCCESS] 1090.xlsx  (58.9s)
[SUCCESS] 1093.xlsx  (49.8s)
[SUCCESS] 1102.xlsx  (170.9s)
[SUCCESS] 1104.xlsx  (78.7s)
[SUCCESS] 110_totto12985-4.xlsx  (191.7s)
[SUCCESS] 1110.xlsx  (133.2s)
[SUCCESS] 1111.xlsx  (90.7s)
[SUCCESS] 1112.xlsx  (68.4s)
[SUCCESS] 1115.xlsx  (141.6s)
[SUCCESS] 1117.xlsx  (88.6s)
[FAILED] 1118.xlsx  (154.4s)  ERROR: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[SUCCESS] 111_55_fs17-ib-19314-tab006.xlsx  (69.1s)
[SUCCESS] 1123.xlsx  (61.8s)
[SUCCESS] 1128.xlsx  (70.4s)
[SUCCESS] 1129.xlsx  (185.3s)
[SUCCESS] 1132.xlsx  (87.1s)
[SUCCESS] 1133.xlsx  (107.1s)
[SUCCESS] 1135.xlsx  (138.3s)
[SUCCESS] 113_totto13254-4.xlsx  (73.3s)
[SUCCESS] 1140.xlsx  (80.6s)
[SUCCESS] 1141.xlsx  (120.9s)
[SUCCESS] 1149.xlsx  (83.0s)
[SUCCESS] 1150.xlsx  (80.3s)
[SUCCESS] 1151.xlsx  (150.6s)
[SUCCESS] 1153.xlsx  (108.1s)
[SUCCESS] 115_totto13399-4.xlsx  (64.6s)
[SUCCESS] 1176.xlsx  (169.0s)
[SUCCESS] 1177.xlsx  (71.7s)
[SUCCESS] 1178.xlsx  (77.5s)
[SUCCESS] 1179.xlsx  (66.6s)
[SUCCESS] 1180.xlsx  (98.5s)
[SUCCESS] 1181.xlsx  (104.3s)
[SUCCESS] 1184.xlsx  (47.6s)
[FAILED] 1188.xlsx  (116.4s)  ERROR: 'The following id_vars or value_vars are not present in the DataFrame: [0, 1, 2]'
[SUCCESS] 1191.xlsx  (82.6s)
[SUCCESS] 1195.xlsx  (155.3s)
[SUCCESS] 119_totto13952-4.xlsx  (59.2s)
[SUCCESS] 11_112_tab2.xlsx  (50.5s)
[SUCCESS] 12.xlsx  (68.9s)
[SUCCESS] 120_totto14117-4.xlsx  (94.5s)
[SUCCESS] 1211.xlsx  (71.4s)
[SUCCESS] 1212.xlsx  (100.6s)
[SUCCESS] 1213.xlsx  (125.0s)
[SUCCESS] 1214.xlsx  (163.4s)
[SUCCESS] 1217.xlsx  (103.2s)
[SUCCESS] 121_totto14203-3.xlsx  (69.2s)
[SUCCESS] 1224.xlsx  (103.8s)
[FAILED] 1225.xlsx  (249.6s)  ERROR: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[SUCCESS] 1226.xlsx  (144.7s)
[SUCCESS] 122_totto14413-3.xlsx  (47.7s)
[FAILED] 1231.xlsx  (108.3s)  ERROR: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[SUCCESS] 1233.xlsx  (155.0s)
[SUCCESS] 1237 (2).xlsx  (137.4s)
[SUCCESS] 1237.xlsx  (130.5s)
[SUCCESS] 1241.xlsx  (91.8s)
[SUCCESS] 1243.xlsx  (90.8s)
[SUCCESS] 1245.xlsx  (71.0s)
[SUCCESS] 1250.xlsx  (103.9s)
[SUCCESS] 1251.xlsx  (49.3s)
[SUCCESS] 1255.xlsx  (163.3s)
[SUCCESS] 1258.xlsx  (116.5s)
[SUCCESS] 1260.xlsx  (84.1s)
[SUCCESS] 1261.xlsx  (63.0s)
[SUCCESS] 1262.xlsx  (83.3s)
[SUCCESS] 1264.xlsx  (72.8s)
[SUCCESS] 1265.xlsx  (49.2s)
[SUCCESS] 1266.xlsx  (52.4s)
[SUCCESS] 1276.xlsx  (102.3s)
[SUCCESS] 1277.xlsx  (56.4s)
[SUCCESS] 1283.xlsx  (72.4s)
[FAILED] 1288.xlsx  (95.5s)  ERROR: the first argument must be callable
[SUCCESS] 1289.xlsx  (69.8s)
