club,season,division,period_id,apps,goals
san martin,2008-09,primera division,1,1.0,0.0
san martin,2008-09,primera division,2,0.0,0.0
san martin,2008-09,primera division,3,,
san martin,2008-09,primera division,4,,
san martin,2008-09,primera division,5,,
san martin,2009-10,primera b nacional,1,1.0,0.0
san martin,2009-10,primera b nacional,2,0.0,0.0
san martin,2009-10,primera b nacional,3,,
san martin,2009-10,primera b nacional,4,,
san martin,2009-10,primera b nacional,5,,
san martin,2010-11,primera b nacional,1,3.0,0.0
san martin,2010-11,primera b nacional,2,0.0,0.0
san martin,2010-11,primera b nacional,3,,
san martin,2010-11,primera b nacional,4,,
san martin,2010-11,primera b nacional,5,,
san martin,2011-12,torneo argentino a,1,0.0,0.0
san martin,2011-12,torneo argentino a,2,0.0,0.0
san martin,2011-12,torneo argentino a,3,,
san martin,2011-12,torneo argentino a,4,,
san martin,2011-12,torneo argentino a,5,,
san jorge,2011-12,torneo argentino b,1,31.0,1.0
san jorge,2011-12,torneo argentino b,2,0.0,0.0
san jorge,2011-12,torneo argentino b,3,,
san jorge,2011-12,torneo argentino b,4,,
san jorge,2011-12,torneo argentino b,5,,
san jorge,2012-13,torneo argentino a,1,30.0,6.0
san jorge,2012-13,torneo argentino a,2,1.0,0.0
san jorge,2012-13,torneo argentino a,3,,
san jorge,2012-13,torneo argentino a,4,,
san jorge,2012-13,torneo argentino a,5,,
guarani antonio franco,2013-14,torneo argentino a,1,24.0,3.0
guarani antonio franco,2013-14,torneo argentino a,2,0.0,0.0
guarani antonio franco,2013-14,torneo argentino a,3,,
guarani antonio franco,2013-14,torneo argentino a,4,,
guarani antonio franco,2013-14,torneo argentino a,5,,
guarani antonio franco,2014,primera b nacional,1,20.0,1.0
guarani antonio franco,2014,primera b nacional,2,0.0,0.0
guarani antonio franco,2014,primera b nacional,3,,
guarani antonio franco,2014,primera b nacional,4,,
guarani antonio franco,2014,primera b nacional,5,,
guarani antonio franco,2015,primera b nacional,1,35.0,3.0
guarani antonio franco,2015,primera b nacional,2,0.0,0.0
guarani antonio franco,2015,primera b nacional,3,,
guarani antonio franco,2015,primera b nacional,4,,
guarani antonio franco,2015,primera b nacional,5,,
juventud unida,2016,primera b nacional,1,7.0,0.0
juventud unida,2016,primera b nacional,2,0.0,0.0
juventud unida,2016,primera b nacional,3,,
juventud unida,2016,primera b nacional,4,,
juventud unida,2016,primera b nacional,5,,
juventud unida,2016-17,primera b nacional,1,39.0,1.0
juventud unida,2016-17,primera b nacional,2,3.0,0.0
juventud unida,2016-17,primera b nacional,3,,
juventud unida,2016-17,primera b nacional,4,,
juventud unida,2016-17,primera b nacional,5,,
agropecuario,2017-18,primera b nacional,1,23.0,5.0
agropecuario,2017-18,primera b nacional,2,0.0,0.0
agropecuario,2017-18,primera b nacional,3,,
agropecuario,2017-18,primera b nacional,4,,
agropecuario,2017-18,primera b nacional,5,,
agropecuario,2018-19,primera b nacional,1,8.0,0.0
agropecuario,2018-19,primera b nacional,2,1.0,0.0
agropecuario,2018-19,primera b nacional,3,,
agropecuario,2018-19,primera b nacional,4,,
agropecuario,2018-19,primera b nacional,5,,
