source,entity
Adalgisa,Carmen
Adalgisa,Masha
Adalgisa,Ruggiero
Adalgisa,Eustazio
Adalgisa,Alcina
Adalgisa,Sesto
Adalgisa,Dorabella
Adalgisa,Donna Elvira
Adalgisa,Zerlina
Adalgisa,Maria
Adalgisa,Rosina
Adalgisa,Angelina
Adalgisa,Isabella
Adalgisa,Edoardo
Adalgisa,Melibea
Adalgisa,Olga
Adalgisa,Polina
Adalgisa,Juditha
Adalgisa,Magdalena
Norma,Carmen
Norma,Three Sisters
Norma,Alcina
Norma,Rinaldo
Norma,Orlando paladino
Norma,La clemenza di Tito
Norma,Così fan tutte
Norma,Don Giovanni
Norma,Don Giovanni
Norma,Boris Godunov
Norma,Il barbiere di Siviglia
Norma,La Cenerentola
Norma,L'italiana in Algeri
Norma,Matilde di Shabran
Norma,Il viaggio a Reims
Norma,Evgeniy Onegin
Norma,The Queen of Spades
Norma,Juditha triumphans
Norma,Die Meistersinger von Nürnberg
Bellini,Bizet
Bellini,Péter Eötvös
Bellini,Handel
Bellini,Handel
Bellini,Haydn
Bellini,Mozart
Bellini,Mozart
Bellini,Mozart
Bellini,Mozart
Bellini,Mussorgsky
Bellini,Rossini
Bellini,Rossini
Bellini,Rossini
Bellini,Rossini
Bellini,Rossini
Bellini,Tchaikovsky
Bellini,Tchaikovsky
Bellini,Vivaldi
Bellini,Richard Wagner
