section,category,instance,population_type,metric_type,value
age group,19 to 24,1,cohort,number,1141795.0
age group,19 to 24,1,cohort,percent,11.2
age group,19 to 24,1,in-scope,number,1141995.0
age group,19 to 24,1,in-scope,percent,11.2
age group,19 to 24,2,cohort,number,1131940.0
age group,19 to 24,2,cohort,percent,10.4
age group,19 to 24,2,in-scope,number,1131885.0
age group,19 to 24,2,in-scope,percent,10.4
age group,25 to 44,1,cohort,number,4593575.0
age group,25 to 44,1,cohort,percent,45.0
age group,25 to 44,1,in-scope,number,4593895.0
age group,25 to 44,1,in-scope,percent,45.0
age group,25 to 44,2,cohort,number,4727645.0
age group,25 to 44,2,cohort,percent,43.6
age group,25 to 44,2,in-scope,number,4727545.0
age group,25 to 44,2,in-scope,percent,43.6
age group,45 to 64,1,cohort,number,3053565.0
age group,45 to 64,1,cohort,percent,29.9
age group,45 to 64,1,in-scope,number,3053435.0
age group,45 to 64,1,in-scope,percent,29.9
age group,45 to 64,2,cohort,number,3120510.0
age group,45 to 64,2,cohort,percent,28.8
age group,45 to 64,2,in-scope,number,3120590.0
age group,45 to 64,2,in-scope,percent,28.8
age group,65 to 84,1,cohort,number,1342960.0
age group,65 to 84,1,cohort,percent,13.2
age group,65 to 84,1,in-scope,number,1342775.0
age group,65 to 84,1,in-scope,percent,13.2
age group,65 to 84,2,cohort,number,1712415.0
age group,65 to 84,2,cohort,percent,15.8
age group,65 to 84,2,in-scope,number,1712690.0
age group,65 to 84,2,in-scope,percent,15.8
age group,85 and older,1,cohort,number,74620.0
age group,85 and older,1,cohort,percent,0.7
age group,85 and older,1,in-scope,number,74615.0
age group,85 and older,1,in-scope,percent,0.7
age group,85 and older,2,cohort,number,149605.0
age group,85 and older,2,cohort,percent,1.4
age group,85 and older,2,in-scope,number,149655.0
age group,85 and older,2,in-scope,percent,1.4
marital status,not married or common-law,1,cohort,number,3120945.0
marital status,not married or common-law,1,cohort,percent,30.6
marital status,not married or common-law,1,in-scope,number,3199100.0
marital status,not married or common-law,1,in-scope,percent,31.3
marital status,not married or common-law,2,cohort,number,3712885.0
marital status,not married or common-law,2,cohort,percent,34.2
marital status,not married or common-law,2,in-scope,number,3758655.0
marital status,not married or common-law,2,in-scope,percent,34.7
marital status,married or common-law,1,cohort,number,7085565.0
marital status,married or common-law,1,cohort,percent,69.4
marital status,married or common-law,1,in-scope,number,7007610.0
marital status,married or common-law,1,in-scope,percent,68.7
marital status,married or common-law,2,cohort,number,7129230.0
marital status,married or common-law,2,cohort,percent,65.8
marital status,married or common-law,2,in-scope,number,7083715.0
marital status,married or common-law,2,in-scope,percent,65.3
highest level of education,less than secondary diploma,1,cohort,number,3176250.0
highest level of education,less than secondary diploma,1,cohort,percent,31.1
highest level of education,less than secondary diploma,1,in-scope,number,3176275.0
highest level of education,less than secondary diploma,1,in-scope,percent,31.1
highest level of education,less than secondary diploma,2,cohort,number,3452265.0
highest level of education,less than secondary diploma,2,cohort,percent,31.8
highest level of education,less than secondary diploma,2,in-scope,number,3452445.0
highest level of education,less than secondary diploma,2,in-scope,percent,31.8
highest level of education,secondary diploma or higher,1,cohort,number,7030260.0
highest level of education,secondary diploma or higher,1,cohort,percent,68.9
highest level of education,secondary diploma or higher,1,in-scope,number,7030435.0
