[SUCCESS] 1082.xlsx  (69.0s)
[SUCCESS] 1118.xlsx  (92.7s)
[SUCCESS] 1188.xlsx  (183.9s)
[SUCCESS] 1225.xlsx  (136.1s)
[SUCCESS] 1231.xlsx  (150.4s)
[SUCCESS] 1288.xlsx  (93.6s)
[FAILED] 1291.xlsx  (120.3s)  ERROR: "The following id_vars or value_vars are not present in the DataFrame: ['activity', 1, 2, 3, 4]"
[SUCCESS] 1325.xlsx  (91.7s)
[SUCCESS] 1375.xlsx  (61.6s)
[SUCCESS] 2010_Land_Dev_Project_Detail.xlsx  (100.3s)
[SUCCESS] Childbearing_Table_of_Women_of_Childbearing_Age_in_Hunan.xlsx  (143.9s)
[SUCCESS] Common_Formulas_and_Data_for_Saturated_Water_and_Steam.xlsx  (111.3s)
[SUCCESS] Computerized_Accounting.xls.xlsx  (115.2s)
[FAILED] csv_201-csv_48.xlsx  (134.9s)  ERROR: '[12] not found in axis'
[SUCCESS] csv_202-csv_196.xlsx  (85.9s)
[SUCCESS] csv_203-csv_59.xlsx  (114.3s)
[SUCCESS] csv_203-csv_597.xlsx  (114.3s)
[SUCCESS] csv_203-csv_623.xlsx  (94.4s)
[SUCCESS] csv_203-csv_654.xlsx  (219.8s)
[SUCCESS] csv_204-csv_581.xlsx  (119.2s)
[SUCCESS] Deflection_Value_Record_Table.xlsx  (111.1s)
[SUCCESS] Demographic_Statistics_1.xlsx  (103.9s)
[SUCCESS] Demographic_Statistics_2.xlsx  (200.2s)
[FAILED] Employment_Population_Statistics_Table_1.xlsx  (159.3s)  ERROR: Missing columns: id_vars [0, 'gender'], value_vars []
[SUCCESS] Employment_Population_Statistics_Table_2.xlsx  (164.5s)
[SUCCESS] fetaqa_1476.xlsx  (77.9s)
[SUCCESS] fetaqa_15326.xlsx  (118.1s)
[SUCCESS] fetaqa_17588.xlsx  (76.1s)
[FAILED] fetaqa_712.xlsx  (122.4s)  ERROR: 'The following id_vars or value_vars are not present in the DataFrame: [0, 1, 2, 3, 4]'
[SUCCESS] Garbage_Station_Renovation_Details.xlsx  (206.3s)
[SUCCESS] Global_Per_Capita_GNI_Data.xlsx  (133.5s)
[SUCCESS] Home_Renovation_Budget_Table_Template.xlsx  (170.9s)
[SUCCESS] Home_Renovation_Owner's_Self_Budget_Table.xlsx  (126.2s)
[SUCCESS] Household_Population_Statistics_Table.xlsx  (160.0s)
[SUCCESS] Household_Size_Statistics.xlsx  (85.5s)
[SUCCESS] Housing_Condition_Statistics_Table_1.xlsx  (145.7s)
[SUCCESS] Housing_Cost_Distribution_Table.xlsx  (127.3s)
[SUCCESS] Housing_Source_Statistics.xlsx  (87.5s)
[SUCCESS] Hunan_Employment_Population_Statistics_1.xlsx  (65.4s)
[SUCCESS] Hunan_Only-Child_Data.xlsx  (118.2s)
[SUCCESS] Hunan_Only_Child_Data_1.xlsx  (52.6s)
[SUCCESS] Industrial_Economic_Indicators_2021_2.xlsx  (150.5s)
[SUCCESS] Lubrication_Table.xlsx  (153.2s)
[SUCCESS] Maternal_Fertility_Data_Table_1.xlsx  (107.2s)
[SUCCESS] Natural_Gas_Balance_Data.xlsx  (236.3s)
[FAILED] Population_Education_Statistics_Table.xlsx  (81.7s)  ERROR: Request timed out.
[SUCCESS] Project_Revenue_Summary_Analysis_Table_1.xlsx  (253.2s)
[SUCCESS] Rural_Housing_Statistics.xlsx  (111.6s)
[SUCCESS] Same_Condition_Temperature_Table.xlsx  (113.8s)
[SUCCESS] Shandong_Budget_Expenditure_Table.xlsx  (167.8s)
[SUCCESS] Shandong_Foreign_Trade_Data_2023.xlsx  (74.6s)
[SUCCESS] State-owned_Holding_Industrial_Indicators.xlsx  (166.5s)
[SUCCESS] Statistical_Data_on_the_Source_of_Livelihood_for_the_Population.xlsx  (200.0s)
[SUCCESS] Statistics_on_the_Number_of_Children_Educated_by_Women.xlsx  (141.5s)
[SUCCESS] Survival_Statistics_of_Women's_Children.xlsx  (111.8s)
[SUCCESS] Table_of_Population_Education_Distribution.xlsx  (76.9s)
[SUCCESS] Urban_Employment_Wage_Data.xlsx  (134.3s)
