municipality_id,municipality_name,province,administrative_type,land_area_km2,year,population
1,Toronto,Ontario,city,630.21,2016,2615060
2,Montreal,Quebec,ville,365.13,2016,1649519
3,Calgary,Alberta,city,825.29,2016,1096833
4,Ottawa,Ontario,city,2790.22,2016,883391
5,Edmonton,Alberta,city,684.37,2016,812201
6,Mississauga,Ontario,city,292.4,2016,713443
7,Winnipeg,Manitoba,city,464.08,2016,663617
8,Vancouver,British Columbia,city,114.97,2016,603502
9,Brampton,Ontario,city,266.34,2016,523911
10,Hamilton,Ontario,city,1117.23,2016,519949
11,Quebec City,Quebec,ville,454.1,2016,516622
12,Surrey,British Columbia,city,316.41,2016,468251
13,Laval,Quebec,ville,247.09,2016,401553
14,Halifax,Nova Scotia,regional municipality,5490.28,2016,390096
15,London,Ontario,city,420.57,2016,366151
16,Markham,Ontario,city,212.58,2016,301709
17,Vaughan,Ontario,city,273.52,2016,288301
18,Gatineau,Quebec,ville,342.98,2016,265349
19,Longueuil,Quebec,ville,115.59,2016,231409
20,Burnaby,British Columbia,city,90.61,2016,223218
21,Saskatoon,Saskatchewan,city,209.56,2016,222189
22,Kitchener,Ontario,city,136.79,2016,219153
23,Windsor,Ontario,city,146.32,2016,210891
24,Regina,Saskatchewan,city,145.45,2016,193100
25,Richmond,British Columbia,city,129.27,2016,190473
26,Richmond Hill,Ontario,town,100.95,2016,185541
27,Oakville,Ontario,town,138.88,2016,182520
28,Burlington,Ontario,city,185.66,2016,175779
29,Greater Sudbury,Ontario,city,3227.38,2016,160274
30,Sherbrooke,Quebec,ville,353.49,2016,154601
31,Oshawa,Ontario,city,145.68,2016,149607
32,Saguenay,Quebec,ville,1126.48,2016,144746
33,Lévis,Quebec,ville,449.31,2016,138769
34,Barrie,Ontario,city,77.39,2016,135711
35,Abbotsford,British Columbia,city,375.55,2016,133497
36,St. Catharines,Ontario,city,96.11,2016,131400
37,Trois-Rivières,Quebec,ville,288.9,2016,131338
38,Cambridge,Ontario,city,113.0,2016,126748
39,Coquitlam,British Columbia,city,122.3,2016,126456
40,Kingston,Ontario,city,451.17,2016,123363
41,Whitby,Ontario,town,146.53,2016,122022
