year,district,value
1949,Municipal District,45.96
1952,Municipal District,48.8
1957,Municipal District,57.93
1962,Municipal District,60.28
1965,Municipal District,72.24
1970,Municipal District,92.13
1975,Municipal District,97.64
1978,Municipal District,98.51
1980,Municipal District,103.0
1985,Municipal District,112.57
1990,Municipal District,113.95
1995,Municipal District,101.07
1996,Municipal District,99.29
1997,Municipal District,98.27
1998,Municipal District,98.79
1999,Municipal District,96.9
2000,Municipal District,95.34
2001,Municipal District,95.5
2002,Municipal District,94.36
2003,Municipal District,92.5
2004,Municipal District,90.48
2005,Municipal District,89.88
2006,Municipal District,88.59
2007,Municipal District,89.9
2008,Municipal District,89.76
2009,Municipal District,84.68
2010,Municipal District,74.88
2011,Municipal District,73.31
2012,Municipal District,70.82
2013,Municipal District,69.71
2014,Municipal District,68.7
1949,Changshu,30.24
1952,Changshu,30.47
1957,Changshu,32.48
1962,Changshu,33.87
1965,Changshu,38.71
1970,Changshu,48.02
1975,Changshu,49.47
1978,Changshu,52.83
1980,Changshu,54.2
1985,Changshu,57.1
1990,Changshu,57.44
1995,Changshu,50.02
1996,Changshu,50.97
1997,Changshu,49.43
1998,Changshu,48.67
1999,Changshu,50.43
2000,Changshu,49.76
2001,Changshu,49.47
2002,Changshu,49.37
2003,Changshu,49.96
2004,Changshu,49.24
2005,Changshu,48.83
2006,Changshu,48.52
2007,Changshu,44.63
2008,Changshu,43.87
2009,Changshu,42.92
2010,Changshu,42.42
2011,Changshu,40.89
2012,Changshu,39.74
2013,Changshu,39.16
2014,Changshu,38.78
1949,Zhangjiagang,20.54
1952,Zhangjiagang,20.79
1957,Zhangjiagang,24.6
1962,Zhangjiagang,23.51
1965,Zhangjiagang,28.78
1970,Zhangjiagang,36.45
1975,Zhangjiagang,36.77
1978,Zhangjiagang,41.78
1980,Zhangjiagang,40.94
1985,Zhangjiagang,44.62
1990,Zhangjiagang,37.52
1995,Zhangjiagang,32.96
1996,Zhangjiagang,32.11
1997,Zhangjiagang,32.05
1998,Zhangjiagang,31.9
1999,Zhangjiagang,31.4
2000,Zhangjiagang,30.17
2001,Zhangjiagang,30.16
2002,Zhangjiagang,30.2
2003,Zhangjiagang,30.35
2004,Zhangjiagang,30.6
2005,Zhangjiagang,30.54
2006,Zhangjiagang,30.92
2007,Zhangjiagang,31.14
2008,Zhangjiagang,33.1
2009,Zhangjiagang,33.49
2010,Zhangjiagang,33.68
2011,Zhangjiagang,32.55
2012,Zhangjiagang,31.61
2013,Zhangjiagang,31.16
2014,Zhangjiagang,30.7
1949,Kunshan,12.66
1952,Kunshan,14.74
1957,Kunshan,16.07
1962,Kunshan,15.72
1965,Kunshan,18.21
1970,Kunshan,23.91
1975,Kunshan,25.55
1978,Kunshan,26.3
1980,Kunshan,26.83
1985,Kunshan,30.19
1990,Kunshan,29.69
1995,Kunshan,26.29
1996,Kunshan,26.06
1997,Kunshan,25.36
1998,Kunshan,24.73
1999,Kunshan,23.19
2000,Kunshan,22.16
2001,Kunshan,21.52
2002,Kunshan,21.29
2003,Kunshan,21.33
2004,Kunshan,22.3
2005,Kunshan,23.14
2006,Kunshan,22.73
2007,Kunshan,22.96
2008,Kunshan,22.6
2009,Kunshan,22.47
2010,Kunshan,22.5
2011,Kunshan,21.39
2012,Kunshan,21.21
2013,Kunshan,20.9
2014,Kunshan,20.85
1949,Taicang,15.53
1952,Taicang,15.55
1957,Taicang,15.3
1962,Taicang,16.84
1965,Taicang,18.88
1970,Taicang,21.71
1975,Taicang,24.2
1978,Taicang,25.13
1980,Taicang,25.77
1985,Taicang,24.76
1990,Taicang,21.91
1995,Taicang,20.62
1996,Taicang,20.02
1997,Taicang,19.72
1998,Taicang,19.05
1999,Taicang,17.5
2000,Taicang,16.32
2001,Taicang,15.57
2002,Taicang,15.33
2003,Taicang,15.28
2004,Taicang,14.98
2005,Taicang,14.81
2006,Taicang,16.14
2007,Taicang,16.86
2008,Taicang,16.61
2009,Taicang,16.43
2010,Taicang,16.94
2011,Taicang,16.63
2012,Taicang,16.16
2013,Taicang,15.92
2014,Taicang,15.73
