team,season,division,period_id,metric_type,value
rangers,2001-02,premier league,1,apps,1
rangers,2001-02,premier league,1,goals,0
rangers,2001-02,premier league,2,apps,0
rangers,2001-02,premier league,2,goals,0
rangers,2001-02,premier league,3,apps,0
rangers,2001-02,premier league,3,goals,0
rangers,2001-02,premier league,4,apps,0
rangers,2001-02,premier league,4,goals,0
rangers,2001-02,premier league,5,apps,1
rangers,2001-02,premier league,5,goals,0
brechin city,2003-04,first division,1,apps,15
brechin city,2003-04,first division,1,goals,0
brechin city,2003-04,first division,2,apps,0
brechin city,2003-04,first division,2,goals,0
brechin city,2003-04,first division,3,apps,0
brechin city,2003-04,first division,3,goals,0
brechin city,2003-04,first division,4,apps,0
brechin city,2003-04,first division,4,goals,0
brechin city,2003-04,first division,5,apps,15
brechin city,2003-04,first division,5,goals,0
partick thistle,2004-05,first division,1,apps,27
partick thistle,2004-05,first division,1,goals,0
partick thistle,2004-05,first division,2,apps,2
partick thistle,2004-05,first division,2,goals,0
partick thistle,2004-05,first division,3,apps,2
partick thistle,2004-05,first division,3,goals,1
partick thistle,2004-05,first division,4,apps,2
partick thistle,2004-05,first division,4,goals,0
partick thistle,2004-05,first division,5,apps,33
partick thistle,2004-05,first division,5,goals,1
stranraer,2005-06,first division,1,apps,22
stranraer,2005-06,first division,1,goals,0
stranraer,2005-06,first division,2,apps,1
stranraer,2005-06,first division,2,goals,0
stranraer,2005-06,first division,3,apps,2
stranraer,2005-06,first division,3,goals,0
stranraer,2005-06,first division,4,apps,1
stranraer,2005-06,first division,4,goals,0
stranraer,2005-06,first division,5,apps,26
stranraer,2005-06,first division,5,goals,0
ross county,2006-07,first division,1,apps,36
ross county,2006-07,first division,1,goals,2
ross county,2006-07,first division,2,apps,1
ross county,2006-07,first division,2,goals,0
ross county,2006-07,first division,3,apps,2
ross county,2006-07,first division,3,goals,0
ross county,2006-07,first division,4,apps,3
ross county,2006-07,first division,4,goals,1
ross county,2006-07,first division,5,apps,42
ross county,2006-07,first division,5,goals,3
ross county,2007-08,second division,1,apps,34
ross county,2007-08,second division,1,goals,2
