region,household_size,metric_type,value
Tianjin,125490007.0,number_of_households,1167393.0
Tianjin,125490007.0,proportion,23.99
Tianjin,146690059.0,number_of_households,1727332.0
Tianjin,146690059.0,proportion,35.49
Tianjin,103700982.0,number_of_households,1209181.0
Tianjin,103700982.0,proportion,24.84
Tianjin,65100986.0,number_of_households,511932.0
Tianjin,65100986.0,proportion,10.52
Tianjin,30513352.0,number_of_households,167772.0
Tianjin,30513352.0,proportion,3.45
Tianjin,15125667.0,number_of_households,65668.0
Tianjin,15125667.0,proportion,1.35
Tianjin,4589308.0,number_of_households,11920.0
Tianjin,4589308.0,proportion,0.24
Tianjin,1557638.0,number_of_households,3353.0
Tianjin,1557638.0,proportion,0.07
Tianjin,655060.0,number_of_households,1165.0
Tianjin,655060.0,proportion,0.02
Tianjin,734364.0,number_of_households,1400.0
Tianjin,734364.0,proportion,0.03
Hebei,125490007.0,number_of_households,5082767.0
Hebei,125490007.0,proportion,19.99
Hebei,146690059.0,number_of_households,7970304.0
Hebei,146690059.0,proportion,31.34
Hebei,103700982.0,number_of_households,5515397.0
Hebei,103700982.0,proportion,21.69
Hebei,65100986.0,number_of_households,3942333.0
Hebei,65100986.0,proportion,15.5
Hebei,30513352.0,number_of_households,1612428.0
Hebei,30513352.0,proportion,6.34
Hebei,15125667.0,number_of_households,921110.0
Hebei,15125667.0,proportion,3.62
Hebei,4589308.0,number_of_households,262348.0
Hebei,4589308.0,proportion,1.03
Hebei,1557638.0,number_of_households,71919.0
Hebei,1557638.0,proportion,0.28
Hebei,655060.0,number_of_households,25660.0
Hebei,655060.0,proportion,0.1
Hebei,734364.0,number_of_households,25343.0
Hebei,734364.0,proportion,0.1
Shanxi,125490007.0,number_of_households,3057920.0
Shanxi,125490007.0,proportion,23.99
Shanxi,146690059.0,number_of_households,4052452.0
Shanxi,146690059.0,proportion,31.79
Shanxi,103700982.0,number_of_households,2966829.0
Shanxi,103700982.0,proportion,23.28
Shanxi,65100986.0,number_of_households,1766944.0
Shanxi,65100986.0,proportion,13.86
Shanxi,30513352.0,number_of_households,562979.0
Shanxi,30513352.0,proportion,4.42
Shanxi,15125667.0,number_of_households,253691.0
Shanxi,15125667.0,proportion,1.99
Shanxi,4589308.0,number_of_households,54906.0
Shanxi,4589308.0,proportion,0.43
Shanxi,1557638.0,number_of_households,16458.0
Shanxi,1557638.0,proportion,0.13
Shanxi,655060.0,number_of_households,6177.0
Shanxi,655060.0,proportion,0.05
Shanxi,734364.0,number_of_households,7786.0
Shanxi,734364.0,proportion,0.06
Inner Mongolia,125490007.0,number_of_households,2209731.0
Inner Mongolia,125490007.0,proportion,23.3
Inner Mongolia,146690059.0,number_of_households,3565544.0
Inner Mongolia,146690059.0,proportion,37.6
Inner Mongolia,103700982.0,number_of_households,2389562.0
Inner Mongolia,103700982.0,proportion,25.2
Inner Mongolia,65100986.0,number_of_households,950775.0
Inner Mongolia,65100986.0,proportion,10.03
Inner Mongolia,30513352.0,number_of_households,257424.0
Inner Mongolia,30513352.0,proportion,2.71
Inner Mongolia,15125667.0,number_of_households,91271.0
Inner Mongolia,15125667.0,proportion,0.96
Inner Mongolia,4589308.0,number_of_households,14473.0
Inner Mongolia,4589308.0,proportion,0.15
Inner Mongolia,1557638.0,number_of_households,3070.0
Inner Mongolia,1557638.0,proportion,0.03
Inner Mongolia,655060.0,number_of_households,955.0
Inner Mongolia,655060.0,proportion,0.01
Inner Mongolia,734364.0,number_of_households,1152.0
Inner Mongolia,734364.0,proportion,0.01
Liaoning,125490007.0,number_of_households,4647274.0
Liaoning,125490007.0,proportion,26.61
Liaoning,146690059.0,number_of_households,6444633.0
Liaoning,146690059.0,proportion,36.9
Liaoning,103700982.0,number_of_households,4180433.0
Liaoning,103700982.0,proportion,23.93
Liaoning,65100986.0,number_of_households,1438393.0
Liaoning,65100986.0,proportion,8.23
Liaoning,30513352.0,number_of_households,535394.0
Liaoning,30513352.0,proportion,3.07
Liaoning,15125667.0,number_of_households,175193.0
Liaoning,15125667.0,proportion,1.0
Liaoning,4589308.0,number_of_households,32067.0
Liaoning,4589308.0,proportion,0.18
Liaoning,1557638.0,number_of_households,7723.0
Liaoning,1557638.0,proportion,0.04
Liaoning,655060.0,number_of_households,2508.0
Liaoning,655060.0,proportion,0.01
Liaoning,734364.0,number_of_households,3493.0
Liaoning,734364.0,proportion,0.02
Jilin,125490007.0,number_of_households,2313775.0
Jilin,125490007.0,proportion,24.54
Jilin,146690059.0,number_of_households,3496744.0
Jilin,146690059.0,proportion,37.09
Jilin,103700982.0,number_of_households,2292234.0
Jilin,103700982.0,proportion,24.32
Jilin,65100986.0,number_of_households,866072.0
Jilin,65100986.0,proportion,9.19
Jilin,30513352.0,number_of_households,329271.0
Jilin,30513352.0,proportion,3.49
Jilin,15125667.0,number_of_households,103878.0
Jilin,15125667.0,proportion,1.1
Jilin,4589308.0,number_of_households,18584.0
Jilin,4589308.0,proportion,0.2
Jilin,1557638.0,number_of_households,4171.0
Jilin,1557638.0,proportion,0.04
Jilin,655060.0,number_of_households,1137.0
Jilin,655060.0,proportion,0.01
Jilin,734364.0,number_of_households,956.0
Jilin,734364.0,proportion,0.01
Heilongjiang,125490007.0,number_of_households,3806499.0
Heilongjiang,125490007.0,proportion,29.23
Heilongjiang,146690059.0,number_of_households,4721066.0
Heilongjiang,146690059.0,proportion,36.25
Heilongjiang,103700982.0,number_of_households,2969241.0
Heilongjiang,103700982.0,proportion,22.8
Heilongjiang,65100986.0,number_of_households,1054009.0
Heilongjiang,65100986.0,proportion,8.09
Heilongjiang,30513352.0,number_of_households,349169.0
Heilongjiang,30513352.0,proportion,2.68
Heilongjiang,15125667.0,number_of_households,92959.0
Heilongjiang,15125667.0,proportion,0.71
Heilongjiang,4589308.0,number_of_households,19285.0
Heilongjiang,4589308.0,proportion,0.15
Heilongjiang,1557638.0,number_of_households,6154.0
Heilongjiang,1557638.0,proportion,0.05
Heilongjiang,655060.0,number_of_households,2084.0
Heilongjiang,655060.0,proportion,0.02
Heilongjiang,734364.0,number_of_households,4221.0
Heilongjiang,734364.0,proportion,0.03
Shanghai,125490007.0,number_of_households,2736214.0
Shanghai,125490007.0,proportion,28.37
Shanghai,146690059.0,number_of_households,3332304.0
Shanghai,146690059.0,proportion,34.55
Shanghai,103700982.0,number_of_households,2159011.0
Shanghai,103700982.0,proportion,22.39
Shanghai,65100986.0,number_of_households,815316.0
Shanghai,65100986.0,proportion,8.45
Shanghai,30513352.0,number_of_households,449473.0
Shanghai,30513352.0,proportion,4.66
Shanghai,15125667.0,number_of_households,121950.0
Shanghai,15125667.0,proportion,1.26
Shanghai,4589308.0,number_of_households,21041.0
Shanghai,4589308.0,proportion,0.22
Shanghai,1557638.0,number_of_households,5870.0
