occupation_type,language,category_id,percent
did not work in 2010,french-language workers,1,0.0
did not work in 2010,english-language workers,1,0.0
did not work in 2010,french-language workers,2,0.0
did not work in 2010,english-language workers,2,0.0
did not work in 2010,french-language workers,3,0.0
did not work in 2010,english-language workers,3,0.0
employee,french-language workers,1,86.1
employee,english-language workers,1,81.1
employee,french-language workers,2,73.1
employee,english-language workers,2,49.0
employee,french-language workers,3,84.1
employee,english-language workers,3,81.3
unpaid family worker,french-language workers,1,0.0
unpaid family worker,english-language workers,1,1.1
unpaid family worker,french-language workers,2,0.0
unpaid family worker,english-language workers,2,4.5
unpaid family worker,french-language workers,3,2.6
unpaid family worker,english-language workers,3,0.0
"self-employed, incorporated",french-language workers,1,7.0
"self-employed, incorporated",english-language workers,1,4.3
"self-employed, incorporated",french-language workers,2,22.4
"self-employed, incorporated",english-language workers,2,7.6
"self-employed, incorporated",french-language workers,3,5.6
"self-employed, incorporated",english-language workers,3,0.0
"self-employed, non-incorporated",french-language workers,1,5.3
"self-employed, non-incorporated",english-language workers,1,13.1
"self-employed, non-incorporated",french-language workers,2,0.0
"self-employed, non-incorporated",english-language workers,2,40.1
"self-employed, non-incorporated",french-language workers,3,8.7
"self-employed, non-incorporated",english-language workers,3,14.1
