cyclone_name,season,category_description,max_sustained_wind,min_pressure
Hina,1984–85,Category 5 severe tropical cyclone,220 km/h (135 mph),910 hPa (26.87 inHg)
Fran,1991–92,Category 5 severe tropical cyclone,205 km/h (125 mph),920 hPa (27.17 inHg)
Ron,1997–98,Category 5 severe tropical cyclone,230 km/h (145 mph),900 hPa (26.58 inHg)
Susan,1997–98,Category 5 severe tropical cyclone,230 km/h (145 mph),900 hPa (26.58 inHg)
Beni,2002–03,Category 5 severe tropical cyclone,205 km/h (125 mph),920 hPa (27.17 inHg)
Dovi,2002–03,Category 5 severe tropical cyclone,205 km/h (125 mph),920 hPa (27.17 inHg)
Erica,2002–03,Category 5 severe tropical cyclone,215 km/h (130 mph),915 hPa (27.02 inHg)
Zoe,2002–03,Category 5 severe tropical cyclone,240 km/h (150 mph),890 hPa (26.28 inHg)
Heta,2003–04,Category 5 severe tropical cyclone,215 km/h (130 mph),915 hPa (27.02 inHg)
Meena,2004–05,Category 5 severe tropical cyclone,215 km/h (130 mph),915 hPa (27.02 inHg)
Olaf,2004–05,Category 5 severe tropical cyclone,215 km/h (130 mph),915 hPa (27.02 inHg)
Percy,2004–05,Category 5 severe tropical cyclone,230 km/h (145 mph),900 hPa (26.58 inHg)
Ului,2009–10,Category 5 severe tropical cyclone,215 km/h (130 mph),915 hPa (27.02 inHg)
Pam,2014–15,Category 5 severe tropical cyclone,250 km/h (155 mph),896 hPa (26.46 inHg)
Winston,2015–16,Category 5 severe tropical cyclone,280 km/h (175 mph),884 hPa (26.10 inHg)
