sector_cn,sector_en,demographic,metric,value
Agriculture,Farming,total,headcount,1553.424
Agriculture,Farming,female,headcount,609.67
Agriculture,Farming,total,total_wages,466.18343
Forestry,Forestry,total,headcount,622.088
Forestry,Forestry,female,headcount,174.079
Forestry,Forestry,total,total_wages,213.38885
Animal husbandry,Animal Husbandry,total,headcount,150.325
Animal husbandry,Animal Husbandry,female,headcount,57.304
Animal husbandry,Animal Husbandry,total,total_wages,48.36888
Fishing,Fishery,total,headcount,31.953
Fishing,Fishery,female,headcount,8.366
Fishing,Fishery,total,total_wages,14.31099
"Agriculture, Forestry, Animal Husbandry, and Fisheries Services",Service in Support of Agriculture,total,headcount,274.418
"Agriculture, Forestry, Animal Husbandry, and Fisheries Services",Service in Support of Agriculture,female,headcount,85.108
"Agriculture, Forestry, Animal Husbandry, and Fisheries Services",Service in Support of Agriculture,total,total_wages,139.88723
COAL MINING AND WASHING INDUSTRY,Mining and Washing of Coal,total,headcount,3307.085
COAL MINING AND WASHING INDUSTRY,Mining and Washing of Coal,female,headcount,511.147
COAL MINING AND WASHING INDUSTRY,Mining and Washing of Coal,total,total_wages,1891.7546
OIL AND NATURAL GAS EXTRACTION INDUSTRY,Extraction of Petroleum and Natural Gas,total,headcount,689.457
OIL AND NATURAL GAS EXTRACTION INDUSTRY,Extraction of Petroleum and Natural Gas,female,headcount,221.71
OIL AND NATURAL GAS EXTRACTION INDUSTRY,Extraction of Petroleum and Natural Gas,total,total_wages,611.3
FERROUS METAL MINING AND SELECTION INDUSTRY,Mining and Processing of Ferrous Metal Ores,total,headcount,208.56
FERROUS METAL MINING AND SELECTION INDUSTRY,Mining and Processing of Ferrous Metal Ores,female,headcount,35.117
FERROUS METAL MINING AND SELECTION INDUSTRY,Mining and Processing of Ferrous Metal Ores,total,total_wages,113.65304
NON-FERROUS METAL MINING AND SELECTION INDUSTRY,Mining and Processing of Non-Ferrous Metal Ores,total,headcount,238.627
NON-FERROUS METAL MINING AND SELECTION INDUSTRY,Mining and Processing of Non-Ferrous Metal Ores,female,headcount,46.269
NON-FERROUS METAL MINING AND SELECTION INDUSTRY,Mining and Processing of Non-Ferrous Metal Ores,total,total_wages,121.78421
NON-METALLIC MINERAL MINING AND SELECTION INDUSTRY,Mining and Processing of Non-metal Ores,total,headcount,180.239
NON-METALLIC MINERAL MINING AND SELECTION INDUSTRY,Mining and Processing of Non-metal Ores,female,headcount,40.068
NON-METALLIC MINERAL MINING AND SELECTION INDUSTRY,Mining and Processing of Non-metal Ores,total,total_wages,87.039
MINING SUPPORT ACTIVITIES,Support Activities for Mining,total,headcount,283.4
MINING SUPPORT ACTIVITIES,Support Activities for Mining,female,headcount,73.759
MINING SUPPORT ACTIVITIES,Support Activities for Mining,total,total_wages,211.64788
OTHER MINING INDUSTRIES,Mining of Other Ores,total,headcount,1.809
OTHER MINING INDUSTRIES,Mining of Other Ores,total,total_wages,0.94636
Processing of Agricultural and sideline Food Products,Processing of Food from Agricultural Products,total,headcount,1794.626
Processing of Agricultural and sideline Food Products,Processing of Food from Agricultural Products,female,headcount,753.613
Processing of Agricultural and sideline Food Products,Processing of Food from Agricultural Products,total,total_wages,819.89613
FOOD MANUFACTURING INDUSTRY,Manufacture of Foods,total,headcount,1238.379
FOOD MANUFACTURING INDUSTRY,Manufacture of Foods,female,headcount,602.2
FOOD MANUFACTURING INDUSTRY,Manufacture of Foods,total,total_wages,643.41438
"ALCOHOLIC BEVERAGES, DRINKS AND REFINED TEA MANUFACTURING","Manufacture of Liquor, Beverages and Refined Tea",total,headcount,993.036
"ALCOHOLIC BEVERAGES, DRINKS AND REFINED TEA MANUFACTURING","Manufacture of Liquor, Beverages and Refined Tea",female,headcount,375.563
"ALCOHOLIC BEVERAGES, DRINKS AND REFINED TEA MANUFACTURING","Manufacture of Liquor, Beverages and Refined Tea",total,total_wages,536.08882
Tobacco Product Manufacturing,Manufacture of Tobacco,total,headcount,210.793
Tobacco Product Manufacturing,Manufacture of Tobacco,female,headcount,69.915
Tobacco Product Manufacturing,Manufacture of Tobacco,total,total_wages,293.80959
TEXTILE INDUSTRY,Manufacture of Textile,total,headcount,1948.594
TEXTILE INDUSTRY,Manufacture of Textile,female,headcount,1154.82
TEXTILE INDUSTRY,Manufacture of Textile,total,total_wages,903.0949
"TEXTILE, APPAREL, AND ACCESSORY INDUSTRY","Manufacture of Textile, Wearing Apparel and Accessories",total,headcount,2380.961
"TEXTILE, APPAREL, AND ACCESSORY INDUSTRY","Manufacture of Textile, Wearing Apparel and Accessories",female,headcount,1624.442
"TEXTILE, APPAREL, AND ACCESSORY INDUSTRY","Manufacture of Textile, Wearing Apparel and Accessories",total,total_wages,1125.50642
"Leather, Fur, Feather and Their Products and","Manufacture of Leather, Fur, Feather and Related Products",total,headcount,1533.269
"Leather, Fur, Feather and Their Products and","Manufacture of Leather, Fur, Feather and Related Products",female,headcount,910.395
"Leather, Fur, Feather and Their Products and","Manufacture of Leather, Fur, Feather and Related Products",total,total_wages,691.09029
"Wood processing and wood, bamboo, rattan, and palm","Processing of Timber, Manufacture of Wood, Bamboo, Rattan,",total,headcount,391.423
"Wood processing and wood, bamboo, rattan, and palm","Processing of Timber, Manufacture of Wood, Bamboo, Rattan,",female,headcount,154.016
"Wood processing and wood, bamboo, rattan, and palm","Processing of Timber, Manufacture of Wood, Bamboo, Rattan,",total,total_wages,167.54827
Furniture Manufacturing Industry,Manufacture of Furniture,total,headcount,557.444
Furniture Manufacturing Industry,Manufacture of Furniture,female,headcount,196.225
Furniture Manufacturing Industry,Manufacture of Furniture,total,total_wages,284.01626
PAPERMAKING AND PAPER PRODUCTS INDUSTRY,Manufacture of Paper and Paper Products,total,headcount,654.716
PAPERMAKING AND PAPER PRODUCTS INDUSTRY,Manufacture of Paper and Paper Products,female,headcount,239.211
PAPERMAKING AND PAPER PRODUCTS INDUSTRY,Manufacture of Paper and Paper Products,total,total_wages,348.99021
PRINTING AND RECORDING MEDIA REPRODUCTION INDUSTRY,Printing and Reproduction of Recording Media,total,headcount,586.904
PRINTING AND RECORDING MEDIA REPRODUCTION INDUSTRY,Printing and Reproduction of Recording Media,female,headcount,252.11
PRINTING AND RECORDING MEDIA REPRODUCTION INDUSTRY,Printing and Reproduction of Recording Media,total,total_wages,319.27306
"Cultural and educational, handicrafts, sports, and entertainment products","Manufacture of Articles for Culture, Education, Arts and Crafts,",total,headcount,1268.787
"Cultural and educational, handicrafts, sports, and entertainment products","Manufacture of Articles for Culture, Education, Arts and Crafts,",female,headcount,728.117
"Cultural and educational, handicrafts, sports, and entertainment products","Manufacture of Articles for Culture, Education, Arts and Crafts,",total,total_wages,605.76321
"PETROLEUM REFINING, COKE OVEN AND NUCLEAR FUEL","Processing of Petroleum, Coking and Processing of Nuclear Fuel",total,headcount,643.045
"PETROLEUM REFINING, COKE OVEN AND NUCLEAR FUEL","Processing of Petroleum, Coking and Processing of Nuclear Fuel",female,headcount,172.666
"PETROLEUM REFINING, COKE OVEN AND NUCLEAR FUEL","Processing of Petroleum, Coking and Processing of Nuclear Fuel",total,total_wages,466.38685
CHEMICAL RAW MATERIALS AND CHEMICAL PRODUCTS MANUFACTURING,Manufacture of Raw Chemical Materials and Chemical Products,total,headcount,2613.421
CHEMICAL RAW MATERIALS AND CHEMICAL PRODUCTS MANUFACTURING,Manufacture of Raw Chemical Materials and Chemical Products,female,headcount,792.18
CHEMICAL RAW MATERIALS AND CHEMICAL PRODUCTS MANUFACTURING,Manufacture of Raw Chemical Materials and Chemical Products,total,total_wages,1631.53355
PHARMACEUTICAL MANUFACTURING,Manufacture of Medicines,total,headcount,1622.727
PHARMACEUTICAL MANUFACTURING,Manufacture of Medicines,female,headcount,761.258
PHARMACEUTICAL MANUFACTURING,Manufacture of Medicines,total,total_wages,1021.04573
CHEMICAL FIBER MANUFACTURING INDUSTRY,Manufacture of Chemical Fibres,total,headcount,254.006
CHEMICAL FIBER MANUFACTURING INDUSTRY,Manufacture of Chemical Fibres,female,headcount,95.933
CHEMICAL FIBER MANUFACTURING INDUSTRY,Manufacture of Chemical Fibres,total,total_wages,142.77729
RUBBER AND PLASTICS MANUFACTURING INDUSTRY,Manufacture of Rubber and Plastics Products,total,headcount,1806.222
RUBBER AND PLASTICS MANUFACTURING INDUSTRY,Manufacture of Rubber and Plastics Products,female,headcount,745.788
RUBBER AND PLASTICS MANUFACTURING INDUSTRY,Manufacture of Rubber and Plastics Products,total,total_wages,963.42867
NON-METALLIC MINERAL PRODUCTS INDUSTRY,Manufacture of Non-metallic Mineral Products,total,headcount,2392.051
