award_category,movie,nominee_or_item,nominee_context,value_raw
Best Director,Pencet Sana Pencet Sini,Arizal,Pencet Sana Pencet Sini,Arizal (Pencet Sana Pencet Sini)
Most Favourite Movie,Pencet Sana Pencet Sini,Catatan Si Emon,,Catatan Si Emon
Most Favourite Actor,Pencet Sana Pencet Sini,Onky Alexander,Catatan Tante Sonya,Onky Alexander (Catatan Tante Sonya)
Most Favorite Actress,Pencet Sana Pencet Sini,Ayu Azhari,Catatan Tante Sonya,Ayu Azhari (Catatan Tante Sonya)
Most Favourite Supporting Actor,Pencet Sana Pencet Sini,Didi Petet,Catatan Si Emon,Didi Petet (Catatan Si Emon)
Most Favourite Supporting Actress,Pencet Sana Pencet Sini,Cornelia Agatha,Lupus,Cornelia Agatha (Lupus)
Best Crying Scene,Pencet Sana Pencet Sini,Nita Tilana,Surat Untuk Bidadari,Nita Tilana (Surat Untuk Bidadari)
Most Favourite Heart Melting Moment,Pencet Sana Pencet Sini,Onky Alexander and Paramitha Rusady,Catatan Si Boy,Onky Alexander and Paramitha Rusady (Catatan Si Boy)
Best Song in the Movie,Pencet Sana Pencet Sini,Kisah Cinta Kita,James F.Sundah and Krisdayanti,Kisah Cinta Kita - James F.Sundah and Krisdayanti
Most Favourite Rising Star,Pencet Sana Pencet Sini,Krisdayanti,Lupus V,Krisdayanti (Lupus V)
Lifetime Achievement,Pencet Sana Pencet Sini,Christine Hakim,,Christine Hakim
Best Scary Scene,Pencet Sana Pencet Sini,Hantu Tinta,,Hantu Tinta
Best Running Scene,Pencet Sana Pencet Sini,,,
Best Director,Arisan,Nia Dinata,Arisan,Nia Dinata (Arisan)
Most Favourite Movie,Arisan,Eiffel I'm in Love,,Eiffel I'm in Love
Most Favourite Actor,Arisan,Samuel Rizal,Eiffel I'm In Love,Samuel Rizal (Eiffel I'm In Love)
Most Favorite Actress,Arisan,Nirina Zubir,30 hari Mencari Cinta,Nirina Zubir(30 hari Mencari Cinta)
Most Favourite Supporting Actor,Arisan,Surya Saputra,Arisan,Surya Saputra (Arisan)
Most Favourite Supporting Actress,Arisan,Titi Kamal,Eiffel I'm In Love,Titi Kamal (Eiffel I'm In Love)
Best Crying Scene,Arisan,Winky Wiryawan,Mengejar Matahari,Winky Wiryawan (Mengejar Matahari)
Most Favourite Heart Melting Moment,Arisan,Vino Bastian and Maria Agnes,30 hari Mencari Cinta,Vino Bastian and Maria Agnes (30 hari Mencari Cinta)
Best Song in the Movie,Arisan,Mengejar Matahari,Ari Lasso,Mengejar Matahari - Ari Lasso
Most Favourite Rising Star,Arisan,,,
Lifetime Achievement,Arisan,,,
Best Scary Scene,Arisan,,,
Best Running Scene,Arisan,,,
Best Director,Janji Joni,Garin Nugroho,Rindu Kami Padamu,Garin Nugroho (Rindu Kami Padamu)
Most Favourite Movie,Janji Joni,Ungu Violet,,Ungu Violet
Most Favourite Actor,Janji Joni,Nicholas Saputra,Janji Joni,Nicholas Saputra (Janji Joni)
Most Favorite Actress,Janji Joni,Dian Sastrowardoyo,Ungu Violet,Dian Sastrowardoyo (Ungu Violet)
