club,season,division,apps,goals
brentford,1997-98,second division,2.0,0.0
brentford,1997-98,second division,0.0,0.0
brentford,1997-98,second division,0.0,0.0
brentford,1997-98,second division,0.0,0.0
hastings united,2002-03,southern league premier division,13.0,3.0
hastings united,2002-03,southern league premier division,0.0,0.0
hastings united,2002-03,southern league premier division,0.0,0.0
hastings united,2003-04,southern league first division east,18.0,4.0
hastings united,2003-04,southern league first division east,0.0,0.0
hastings united,2003-04,southern league first division east,0.0,0.0
eastbourne borough,2003-04,southern league premier division,8.0,0.0
eastbourne borough,2003-04,southern league premier division,8.0,0.0
eastbourne borough,2004-05,conference south,9.0,0.0
eastbourne borough,2004-05,conference south,0.0,0.0
eastbourne borough,2004-05,conference south,0.0,0.0
folkestone invicta,2004-05,isthmian league premier division,9.0,1.0
folkestone invicta,2004-05,isthmian league premier division,9.0,1.0
folkestone invicta,2005-06,,39.0,3.0
folkestone invicta,2005-06,,1.0,0.0
folkestone invicta,2005-06,,1.0,0.0
folkestone invicta,2006-07,,6.0,0.0
folkestone invicta,2006-07,,6.0,0.0
horsham,2006-07,isthmian league premier division,29.0,1.0
horsham,2006-07,isthmian league premier division,1.0,0.0
horsham,2006-07,isthmian league premier division,1.0,0.0
horsham,2007-08,,27.0,0.0
horsham,2007-08,,3.0,0.0
horsham,2007-08,,3.0,0.0
