age,measure_type,value
      0,Male,2296.0
      1,Male,2070.0
      2,Male,2027.0
      3,Male,2099.0
      4,Male,2148.0
      5,Male,2066.0
      6,Male,2044.0
      7,Male,2133.0
      8,Male,1994.0
      9,Male,1899.0
      10,Male,2094.0
      11,Male,1673.0
      12,Male,1881.0
      13,Male,1875.0
      14,Male,2075.0
      15,Male,2288.0
      16,Male,1666.0
      17,Male,1198.0
      18,Male,897.0
      19,Male,602.0
      20,Male,445.0
      21,Male,431.0
      22,Male,514.0
      23,Male,642.0
      24,Male,566.0
      25,Male,484.0
      26,Male,526.0
      27,Male,500.0
      28,Male,489.0
      29,Male,601.0
    30,Male,985.0
      30,Male,985.0
      0,Female,2146.0
      1,Female,1835.0
      2,Female,1737.0
      3,Female,1695.0
      4,Female,1760.0
      5,Female,1561.0
      6,Female,1451.0
      7,Female,1312.0
      8,Female,1115.0
      9,Female,1077.0
      10,Female,1143.0
      11,Female,967.0
      12,Female,1017.0
      13,Female,911.0
      14,Female,948.0
      15,Female,1092.0
      16,Female,844.0
      17,Female,700.0
      18,Female,534.0
      19,Female,366.0
      20,Female,362.0
      21,Female,361.0
      22,Female,488.0
      23,Female,719.0
      24,Female,557.0
      25,Female,542.0
      26,Female,567.0
      27,Female,583.0
      28,Female,548.0
      29,Female,680.0
    30,Female,1179.0
      30,Female,1179.0
      0,Sex ratio,106.99
      1,Sex ratio,112.81
      2,Sex ratio,116.7
      3,Sex ratio,123.83
      4,Sex ratio,122.05
      5,Sex ratio,132.35
      6,Sex ratio,140.87
      7,Sex ratio,162.58
      8,Sex ratio,178.83
      9,Sex ratio,176.32
      10,Sex ratio,183.2
      11,Sex ratio,173.01
      12,Sex ratio,184.96
      13,Sex ratio,205.82
      14,Sex ratio,218.88
      15,Sex ratio,209.52
      16,Sex ratio,197.39
      17,Sex ratio,171.14
      18,Sex ratio,167.98
      19,Sex ratio,164.48
      20,Sex ratio,122.93
      21,Sex ratio,119.39
      22,Sex ratio,105.33
      23,Sex ratio,89.29
      24,Sex ratio,101.62
      25,Sex ratio,89.3
      26,Sex ratio,92.77
      27,Sex ratio,85.76
      28,Sex ratio,89.23
      29,Sex ratio,88.38
    30,Sex ratio,83.55
      30,Sex ratio,83.55
