material_type,designation,nominal_depth,flange_width,web_thickness,leg_thickness
Hot-rolled channel steel,6.3,63,40.0,4.8,
Hot-rolled channel steel,8,80,43.0,5.0,
Hot-rolled channel steel,10,100,48.0,5.3,
Hot-rolled channel steel,12.6,126,53.0,5.5,
Hot-rolled channel steel,14a,140,58.0,6.0,
Hot-rolled channel steel,14b,140,60.0,8.0,
Hot-rolled channel steel,16a,160,63.0,6.5,
Hot-rolled channel steel,16,160,63.0,8.5,
Hot-rolled channel steel,18a,180,68.0,7.0,
Hot-rolled channel steel,18,180,70.0,9.0,
Hot-rolled channel steel,20a,200,73.0,7.0,
Hot-rolled channel steel,20,200,75.0,9.0,
Hot-rolled channel steel,22a,220,77.0,7.0,
Hot-rolled channel steel,22,220,79.0,9.0,
Hot-rolled channel steel,25a,250,78.0,7.0,
Hot-rolled channel steel,25b,250,80.0,9.0,
Hot-rolled channel steel,25c,250,82.0,11.0,
Hot-rolled channel steel,28a,280,82.0,7.5,
Hot-rolled channel steel,28b,280,84.0,9.5,
Hot-rolled channel steel,28c,280,86.0,11.5,
Hot-rolled channel steel,32a,320,88.0,8.0,
Hot-rolled channel steel,32b,320,90.0,10.0,
Hot-rolled channel steel,32c,320,92.0,12.0,
Hot-rolled channel steel,36a,360,96.0,9.0,
Hot-rolled channel steel,36b,360,98.0,11.0,
Hot-rolled channel steel,36c,360,100.0,13.0,
Hot-rolled channel steel,40a,400,100.0,10.5,
Hot-rolled channel steel,40b,400,102.0,12.5,
Hot-rolled channel steel,40c,400,104.0,14.5,
Hot-rolled channel steel,6.5,65,40.0,4.3,
Hot-rolled channel steel,12,120,53.0,5.5,
Hot-rolled channel steel,24a,240,78.0,7.0,
Hot-rolled channel steel,24b,240,80.0,9.0,
Hot-rolled channel steel,24c,240,80.0,11.0,
Hot-rolled channel steel,27a,270,82.0,7.5,
Hot-rolled channel steel,27b,270,84.0,9.5,
Hot-rolled channel steel,27c,270,86.0,11.5,
Hot-rolled channel steel,30a,300,85.0,7.5,
Hot-rolled channel steel,30b,300,87.0,9.5,
Hot-rolled channel steel,30c,300,89.0,11.5,
Hot-rolled channel steel,10,100,45.0,4.0,
Hot-rolled channel steel,12,120,55.0,4.2,
Hot-rolled channel steel,14,140,60.0,4.4,
Hot-rolled channel steel,16,160,65.0,4.6,
Hot-rolled channel steel,18,180,70.0,4.8,
Hot-rolled channel steel,20,200,75.0,4.8,
Hot-rolled channel steel,22,80,5.4,9.7,
Hot-rolled channel steel,25,250,85.0,5.8,
Hot-rolled channel steel,28,280,90.0,6.0,
Hot-rolled channel steel,32,320,95.0,6.2,
Hot-rolled channel steel,36,360,105.0,6.5,
Hot-rolled channel steel,40,400,115.0,7.0,
